HabCode;Criterium;Indicator;AnalyseVariabele;Voorwaarde;Soortengroep;Vegetatielaag;TypeSoortengroep;Eenheid;Drempelwaarde;Indicatortype;Drempelwaarde2;Meting;Combinatie;VersieLSVI
2310;verstoring;invasieve_exoten;invasieve_exoten;bedekking invasieve exoten;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie3
2310;verstoring;invasieve_exoten;invasieve_exoten;;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie2
2310;vegetatie;sleutelsoorten;sleutelsoorten_andere;aantal sleutelsoorten;sleutelsoorten_andere;;inclusief;aantal;2;positief;;vegetatieplot;EN;versie3
2310;vegetatie;sleutelsoorten;sleutelsoorten_andere;;sleutelsoorten_andere;;inclusief;aantal;1;positief;;vegetatieplot;EN;versie2
2310;habitatstructuur;ouderdomstructuur_struikhei;climaxOfDegradatieStadium;climax of degeneratiestadium;;;inclusief;aantalTalrijk;1;positief;;structuurplot;EN;versie3
2310;habitatstructuur;dwergstruiken;dwergstruiken;bedekking dwergstruiken;;;inclusief;bedekking;50;positief;;vegetatieplot;;versie3
2310;vegetatie;sleutelsoorten;struikhei;aanwezigheid specifieke sleutelsoorten;;;inclusief;aan/afwezig;1;positief;;vegetatieplot;EN;versie3
2310;verstoring;vergrassing;vergrassing;bedekking vergrassing;;;inclusief;bedekking;50;negatief;;vegetatieplot;;versie3
2310;verstoring;verruiging;verruiging;bedekking verruiging;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie3
2310;habitatstructuur;dwergstruiken;dwergstruiken;;;;inclusief;bedekking;45;positief;;vegetatieplot;;versie2
2310;habitatstructuur;moslaag;moslaag;;;;inclusief;bedekking;1;positief;;structuurplot;;versie2
2310;habitatstructuur;naakte_bodem;naakte_bodem;;;;inclusief;bedekking;10;positief;;structuurplot;;versie2
2310;habitatstructuur;horizontale_structuur;openVegetatieOfKaalZand;;;;inclusief;bedekking;10;positief;;structuurplot;;versie3
2310;habitatstructuur;ouderdomstructuur_struikhei;ouderdomstadia;aantal ouderdomsstadia;;;inclusief;aantalTalrijk;2;positief;;structuurplot;EN;versie3
2310;habitatstructuur;ouderdomstructuur_struikhei;ouderdomstadia;;;;inclusief;aan/afwezig;2;positief;;structuurplot;;versie2
2310;vegetatie;sleutelsoorten;struikhei;;;;inclusief;aan/afwezig;1;positief;;vegetatieplot;EN;versie2
2310;verstoring;verbossing;verbossing;bedekking verbossing;;;inclusief;bedekking;10;negatief;;structuurplot;;versie3
2310;verstoring;verbossing;verbossing;;;;inclusief;bedekking;30;negatief;;structuurplot;;versie2
2310;verstoring;vergrassingEnVerruiging;vergrassingEnVerruiging;;;;inclusief;bedekking;50;negatief;;vegetatieplot;;versie2
4010;vegetatie;sleutelsoorten_ander;sleutelsoorten_andere;;sleutelsoorten_andere;;inclusief;aantal;2;positief;;vegetatieplot;;versie2
4010;vegetatie;sleutelsoorten_veenmos;sleutelsoorten_veenmos;;sleutelsoorten_veenmos;;inclusief;aantal;1;positief;;vegetatieplot;;versie2
4010;vegetatie;sleutelsoorten;sleutelsoorten_andere;aantal sleutelsoorten;sleutelsoorten_andere;;inclusief;aantal;4;positief;;vegetatieplot;EN;versie3
