Versie;Habitattype;Criterium;Indicator;Belang
Versie 2.0;1310;Structuur;bodemstructuur;zb
Versie 2.0;1310;Structuur;dynamiek;zb
Versie 2.0;1310;Vegetatie;aandeel sleutelsoorten in de vegetatie;b
Versie 2.0;1310;Vegetatie;bedekking sleutelsoorten;b
Versie 2.0;1310;Vegetatie;sleutelsoorten;b
Versie 2.0;1310;Verstoring;verruiging;b
Versie 3;1310;Structuur;dynamiek;zb
Versie 3;1310;Structuur;horizontale structuur;zb
Versie 3;1310;Structuur;schorklifvorming/breuksteenbestorting;zb
Versie 3;1310;Structuur;verticale gradiënt;zb
Versie 3;1310;Vegetatie;aandeel sleutelsoorten in de vegetatie;b
Versie 3;1310;Vegetatie;sleutelsoorten;b
Versie 3;1310;Verstoring;invasieve exoten;b
Versie 3;1310;Verstoring;verruiging;b
Versie 2.0;1320;Structuur;bodemstructuur;zb
Versie 2.0;1320;Structuur;dynamiek;zb
Versie 2.0;1320;Structuur;textuur;b
Versie 2.0;1320;Vegetatie;bedekking sleutelsoorten;b
Versie 2.0;1320;Vegetatie;sleutelsoorten;zb
Versie 2.0;1320;Verstoring;verruiging;zb
Versie 3;1320;Structuur;horizontale structuur;zb
Versie 3;1320;Structuur;schorklifvorming/breuksteenbestorting;zb
Versie 3;1320;Structuur;verticale gradiënt;zb
Versie 3;1320;Vegetatie;bedekking sleutelsoorten;b
Versie 3;1320;Vegetatie;sleutelsoorten;zb
Versie 2.0;1330;Structuur;dominantie van één soort;zb
Versie 2.0;1330;Structuur;horizontale structuur;b
Versie 2.0;1330;Structuur;horizontale structuur_vegetatiegradient;zb
Versie 2.0;1330;Structuur;kreken, oeverwallen en kommen;zb
Versie 2.0;1330;Structuur;microreliëf;zb
Versie 2.0;1330;Structuur;schorklifvorming;zb
Versie 2.0;1330;Vegetatie;bedekking sleutelsoorten;b
Versie 2.0;1330;Vegetatie;sleutelsoorten;b
Versie 2.0;1330;Verstoring;overgang naar rbbmr;zb
Versie 2.0;1330;Verstoring;overgang naar rbbzil;zb
Versie 3;1330;Structuur;dominantie van één soort;zb
Versie 3;1330;Structuur;horizontale structuur;zb
Versie 3;1330;Structuur;kreken, oeverwallen en kommen;zb
Versie 3;1330;Structuur;microreliëf;zb
Versie 3;1330;Structuur;schorklifvorming/breuksteenbestorting;zb
Versie 3;1330;Structuur;verticale gradiënt;zb
Versie 3;1330;Vegetatie;bedekking sleutelsoorten;b
Versie 3;1330;Vegetatie;sleutelsoorten;b
Versie 3;1330;Verstoring;overgang naar rbbzil;zb
Versie 3;1330;Verstoring;rietontwikkeling;zb
Versie 3;1330;Verstoring;verruiging;zb
Versie 3;1330;Verstoring;verzoeting;zb
Versie 2.0;2110;Structuur;dynamiek;
Versie 2.0;2110;Structuur;oppervlakte;
Versie 2.0;2110;Structuur;vorming vloedmerk;
Versie 2.0;2110;Vegetatie;sleutelsoorten;
Versie 2.0;2110;Verstoring;recreatie;
Versie 3;2110;Structuur;dynamiek;
Versie 3;2110;Structuur;oppervlakte;
Versie 3;2110;Structuur;vorming vloedmerk;
Versie 3;2110;Vegetatie;sleutelsoorten;
Versie 3;2110;Verstoring;recreatie;
Versie 2.0;2120;Structuur;(korst)moslaag;
Versie 2.0;2120;Structuur;dynamiek;
Versie 2.0;2120;Structuur;horizontale structuur;
Versie 2.0;2120;Structuur;kruidlaag;
Versie 2.0;2120;Structuur;naakte bodem;
Versie 2.0;2120;Vegetatie;sleutelsoorten van de zeereep;
Versie 2.0;2120;Vegetatie;sleutelsoorten van het binnenduin;
Versie 2.0;2120;Verstoring;exoten;
Versie 2.0;2120;Verstoring;rijshout;
Versie 2.0;2120;Verstoring;vergrassing;
Versie 2.0;2120;Verstoring;verruiging;
Versie 3;2120;Structuur;(korst)moslaag;
Versie 3;2120;Structuur;dynamiek;
Versie 3;2120;Structuur;horizontale structuur;
Versie 3;2120;Structuur;kruidlaag;
Versie 3;2120;Structuur;naakte bodem;
Versie 3;2120;Vegetatie;sleutelsoorten;
Versie 3;2120;Verstoring;exoten;
Versie 3;2120;Verstoring;rijshout;
Versie 3;2120;Verstoring;vergrassing;
Versie 3;2120;Verstoring;verruiging;
Versie 2.0;2130;Vegetatie;bedekking sleutelsoorten;
Versie 2.0;2130;Vegetatie;bedekking sleutelsoorten van het droog tot vochtig duingrasland;
Versie 2.0;2130;Vegetatie;bedekking sleutelsoorten van het kalkrijk mosduin en pionierduingrasland;
Versie 2.0;2130;Vegetatie;sleutelsoorten;
Versie 2.0;2130;Vegetatie;sleutelsoorten van het droog tot vochtig kalkrijk duingrasland;
Versie 2.0;2130;Vegetatie;sleutelsoorten van het kalkrijk mosduin en pionierduingrasland;
Versie 2.0;2130;Verstoring;invasieve exoten;
Versie 2.0;2130;Verstoring;overbetreding;
Versie 2.0;2130;Verstoring;verbossing/verstruweling;
Versie 2.0;2130;Verstoring;vergrassing/verbraming;
Versie 2.0;2130;Verstoring;verruiging;
Versie 3;2130;Vegetatie;bedekking sleutelsoorten;
Versie 3;2130;Vegetatie;sleutelsoorten;
Versie 3;2130;Vegetatie;sleutelsoorten van het droog tot vochtig kalkrijk duingrasland;
Versie 3;2130;Vegetatie;sleutelsoorten van het kalkrijk mosduin en pionierduingrasland;
Versie 3;2130;Verstoring;invasieve exoten;
Versie 3;2130;Verstoring;overbetreding;
Versie 3;2130;Verstoring;overige exoten;
Versie 3;2130;Verstoring;verbossing/verstruweling;
Versie 3;2130;Verstoring;vergrassing;
Versie 3;2130;Verstoring;verruiging;
Versie 2.0;2150;Structuur;dwergstruiken;
Versie 2.0;2150;Structuur;horizontale structuur;
Versie 2.0;2150;Structuur;ouderdomsstructuur Struikheide;
Versie 2.0;2150;Vegetatie;bedekking sleutelsoorten;
Versie 2.0;2150;Vegetatie;sleutelsoorten;
Versie 2.0;2150;Verstoring;invasieve exoten;
Versie 2.0;2150;Verstoring;overbetreding;
Versie 2.0;2150;Verstoring;verbossing/verstruweling;
Versie 2.0;2150;Verstoring;vergrassing;
Versie 2.0;2150;Verstoring;verruiging;
Versie 3;2150;Structuur;dwergstruiken;
Versie 3;2150;Structuur;ouderdomsstructuur Struikheide;
Versie 3;2150;Vegetatie;bedekking sleutelsoorten;
Versie 3;2150;Vegetatie;sleutelsoorten;
Versie 3;2150;Verstoring;invasieve exoten;
Versie 3;2150;Verstoring;overbetreding;
Versie 3;2150;Verstoring;verbossing/verstruweling;
Versie 3;2150;Verstoring;vergrassing;
Versie 3;2150;Verstoring;verruiging;
Versie 2.0;2160;Structuur;horizontale structuur;
Versie 2.0;2160;Structuur;ouderdomsstructuur Struikheide;
Versie 2.0;2160;Vegetatie;bedekking sleutelsoorten;
Versie 2.0;2160;Vegetatie;sleutelsoorten;
Versie 2.0;2160;Verstoring;invasieve exoten;
Versie 2.0;2160;Verstoring;overige exoten;
Versie 2.0;2160;Verstoring;verbossing;
Versie 3;2160;Structuur;horizontale structuur;
Versie 3;2160;Vegetatie;sleutelsoorten;
Versie 3;2160;Verstoring;invasieve exoten;
Versie 3;2160;Verstoring;overige exoten;
Versie 3;2160;Verstoring;verbossing;
Versie 2.0;2170;Vegetatie;bedekking sleutelsoorten;
Versie 2.0;2170;Vegetatie;sleutelsoorten;
Versie 2.0;2170;Verstoring;verbossing/verstruweling;
Versie 2.0;2170;Verstoring;verruiging;
Versie 3;2170;Vegetatie;sleutelsoorten;
Versie 3;2170;Verstoring;invasieve exoten;
Versie 3;2170;Verstoring;overige exoten;
Versie 3;2170;Verstoring;verbossing/verstruweling;
Versie 3;2170;Verstoring;verruiging;
Versie 2.0;2180;Structuur;aandeel dood hout;b
Versie 2.0;2180;Structuur;bosconstantie;zb
Versie 2.0;2180;Structuur;hoeveelheid dik dood hout;zb
Versie 2.0;2180;Structuur;horizontale structuur;b
Versie 2.0;2180;Structuur;minimum structuurareaal;geen score
Versie 2.0;2180;Structuur;verticale structuur;b
Versie 2.0;2180;Vegetatie;bedekking sleutelsoorten van de kruidlaag;b
Versie 2.0;2180;Vegetatie;sleutelsoorten van de boom- en struiklaag;b
Versie 2.0;2180;Vegetatie;sleutelsoorten van de kruidlaag;b
Versie 2.0;2180;Verstoring;invasieve exoten;b
Versie 2.0;2180;Verstoring;overige exoten;b
Versie 2.0;2180;Verstoring;verruiging;zb
Versie 3;2180;Structuur;aandeel dood hout;b
Versie 3;2180;Structuur;bosconstantie;zb
Versie 3;2180;Structuur;hoeveelheid dik dood hout;zb
Versie 3;2180;Structuur;horizontale structuur;b
Versie 3;2180;Structuur;minimum structuurareaal;geen score
Versie 3;2180;Structuur;verticale structuur;b
Versie 3;2180;Vegetatie;sleutelsoorten van de boom- en struiklaag;b
Versie 3;2180;Vegetatie;sleutelsoorten van de kruidlaag;b
Versie 3;2180;Verstoring;invasieve exoten;b
Versie 3;2180;Verstoring;overige exoten;b
Versie 3;2180;Verstoring;verruiging;zb
Versie 2.0;2190;Vegetatie;bedekking sleutelsoorten;
Versie 2.0;2190;Vegetatie;sleutelsoorten;
