HabCode;Omschrijving;WetNaam;Versie3;Versie2
2310;dwergstruiken;Calluna vulgaris (L.) Hull;1;1
2310;dwergstruiken;Erica tetralix L.;1;1
2310;dwergstruiken;Genista anglica L.;1;1
2310;dwergstruiken;Genista pilosa L.;1;1
2310;dwergstruiken;Vaccinium vitis-idaea L.;1;1
2310;invasieve_exoten;Campylopus introflexus (Hedw.) Brid.;1;1
2310;sleutelsoorten_andere;Agrostis vinealis Schreb.;1;1
2310;sleutelsoorten_andere;Aira praecox L.;1;1
2310;sleutelsoorten_andere;Carex arenaria L.;1;1
2310;sleutelsoorten_andere;Corynephorus canescens (L.) Beauv.;1;1
2310;sleutelsoorten_andere;Cuscuta epithymum (L.) L.;1;1
2310;sleutelsoorten_andere;Filago minima (Smith) Pers.;1;1
2310;sleutelsoorten_andere;Genista anglica L.;1;1
2310;sleutelsoorten_andere;Genista pilosa L.;1;1
2310;sleutelsoorten_andere;Spergula morisonii Boreau;1;1
2310;sleutelsoorten_andere;Teesdalia nudicaulis (L.) R. Brown;1;1
2310;sleutelsoorten_andere;Polytrichum piliferum Hedw.;1;0
2310;sleutelsoorten_struikhei;Calluna vulgaris (L.) Hull;1;1
2310;vergrassing;Agrostis;1;0
2310;vergrassing;Agrostis canina L.;1;0
2310;vergrassing;Agrostis capillaris L.;1;0
2310;vergrassing;Agrostis gigantea Roth;1;0
2310;vergrassing;Agrostis stolonifera L.;1;0
2310;vergrassing;Deschampsia flexuosa (L.) Trin.;1;0
2310;vergrassing;Molinia caerulea (L.) Moench;1;0
2310;verruiging;Pteridium aquilinum (L.) Kuhn;1;0
2310;verruiging;Rubus;1;0
2310;verruiging;Rubus caesius L.;1;0
2310;verruiging;Rubus fruticosus groep;1;0
2310;verruiging;Rubus fruticosus L.;1;0
2310;verruiging;Rubus idaeus L.;1;0
2310;vergrassingVerruiging;Agrostis;0;1
2310;vergrassingVerruiging;Agrostis canina L.;0;1
2310;vergrassingVerruiging;Agrostis capillaris L.;0;1
2310;vergrassingVerruiging;Agrostis gigantea Roth;0;1
2310;vergrassingVerruiging;Agrostis stolonifera L.;0;1
2310;vergrassingVerruiging;Deschampsia flexuosa (L.) Trin.;0;1
2310;vergrassingVerruiging;Molinia caerulea (L.) Moench;0;1
2310;vergrassingVerruiging;Pteridium aquilinum (L.) Kuhn;0;1
2310;vergrassingVerruiging;Rubus;0;1
2310;vergrassingVerruiging;Rubus caesius L.;0;1
2310;vergrassingVerruiging;Rubus fruticosus groep;0;1
2310;vergrassingVerruiging;Rubus fruticosus L.;0;1
2310;vergrassingVerruiging;Rubus idaeus L.;0;1
2330_bu;invasieve_exoten;Campylopus introflexus (Hedw.) Brid.;1;1
2330_bu;sleutelsoorten;Aira praecox L.;1;1
2330_bu;sleutelsoorten;Carex arenaria L.;1;1
2330_bu;sleutelsoorten;Corynephorus canescens (L.) Beauv.;1;1
2330_bu;sleutelsoorten;Spergula morisonii Boreau;1;1
2330_bu;sleutelsoorten;Teesdalia nudicaulis (L.) R. Brown;1;1
2330_bu;sleutelsoorten;Polytrichum piliferum Hedw.;1;1
2330_bu;sleutelsoorten;Agrostis vinealis Schreb.;0;1
2330_bu;sleutelsoorten;Aira caryophyllea L.;0;1
2330_bu;sleutelsoorten;Filago minima (Smith) Pers.;0;1
2330_bu;sleutelsoorten;Jasione montana L.;0;1
2330_bu;sleutelsoorten;Ornithopus perpusillus L.;0;1
2330_bu;vergrassing;Agrostis;1;1
2330_bu;vergrassing;Agrostis canina L.;1;1
2330_bu;vergrassing;Agrostis capillaris L.;1;1
2330_bu;vergrassing;Agrostis gigantea Roth;1;1
2330_bu;vergrassing;Agrostis stolonifera L.;1;1
2330_bu;vergrassing;Deschampsia flexuosa (L.) Trin.;1;1
2330_bu;vergrassing;Festuca;1;1
2330_bu;vergrassing;Festuca arundinacea Schreb.;1;1
