"";"Versie";"Habitatsubtype";"Criterium";"Indicator";"Voorwaarde";"SoortengroepID";"SoortensubgroepID";"Omschrijving";"WetNaam";"NedNaam";"NBNTaxonVersionKey";"Taxontype";"WetNaamKort"
"1";"Versie 2.0";"1310_zv";"Verstoring";"verruiging";"bedekking";1831;NA;NA;"Elymus athericus (Link) Kerguélen";"Strandkweek";"INBSYS0000016921";NA;"Elymus athericus"
"2";"Versie 2.0";"1320";"Verstoring";"verruiging";"bedekking";1802;NA;NA;"Elymus athericus (Link) Kerguélen";"Strandkweek";"INBSYS0000016921";NA;"Elymus athericus"
"3";"Versie 2.0";"1330_da";"Verstoring";"overgang naar rbbmr";"bedekking";1954;NA;NA;"Phragmites australis (Cav.) Steud.";"Riet";"INBSYS0000009044";NA;"Phragmites australis"
"4";"Versie 2.0";"1330_hpr";"Verstoring";"overgang naar rbbmr";"bedekking";1553;NA;NA;"Phragmites australis (Cav.) Steud.";"Riet";"INBSYS0000009044";NA;"Phragmites australis"
"5";"Versie 2.0";"1330_hpr";"Verstoring";"overgang naar rbbzil";"bedekking = bedekking sleutelsoorten";1680;NA;NA;"Agrostis stolonifera L.";"Fioringras";"INBSYS0000013780";NA;"Agrostis stolonifera"
"6";"Versie 2.0";"1330_hpr";"Verstoring";"overgang naar rbbzil";"bedekking = bedekking sleutelsoorten";1680;NA;NA;"Alopecurus geniculatus L.";"Geknikte vossenstaart";"INBSYS0000013789";NA;"Alopecurus geniculatus"
"7";"Versie 2.0";"1330_hpr";"Verstoring";"overgang naar rbbzil";"bedekking = bedekking sleutelsoorten";1680;NA;NA;"Carex cuprina (Sándor ex Heuffel) Nendtvich ex A. Kerner";"Valse voszegge";"INBSYS0000010213";NA;"Carex cuprina"
"8";"Versie 2.0";"1330_hpr";"Verstoring";"overgang naar rbbzil";"bedekking = bedekking sleutelsoorten";1680;NA;NA;"Carex hirta L.";"Ruige zegge";"INBSYS0000013696";NA;"Carex hirta"
"9";"Versie 2.0";"2120_helmduin";"Verstoring";"exoten";"bedekking";1655;NA;NA;"Conyza canadensis (L.) Cronq.";"Canadese fijnstraal";"INBSYS0000014739";NA;"Conyza canadensis"
"10";"Versie 2.0";"2120_helmduin";"Verstoring";"exoten";"bedekking";1655;NA;NA;"Corispermum leptopterum (Aschers.) Iljin";"Smal vlieszaad";"INBSYS0000010035";NA;"Corispermum leptopterum"
