;NameSc;nObservaties;levensvorm;
1;Achillea millefolium L.;38;kruid;
2;Achillea ptarmica L.;3;kruid;
3;Aegopodium podagraria L.;1;kruid;
4;Agrimonia procera Wallr.;2;kruid;
5;Agrostis;2;gras;
6;Agrostis canina L.;26;gras;
7;Agrostis capillaris L.;106;gras;
8;Agrostis gigantea Roth;7;gras;
9;Agrostis stolonifera L.;1;gras;
10;Agrostis vinealis Schreb.;27;gras;
11;Aira caryophyllea L.;7;gras;
12;Aira praecox L.;15;gras;
13;Ajuga reptans L.;3;kruid;
14;Alnus glutinosa (L.) Gaertn.;3;fanerofyt;
15;Alopecurus pratensis L.;1;gras;
16;Angelica sylvestris L.;3;kruid;
17;Anthoxanthum odoratum L.;48;gras;
18;Arenaria serpyllifolia L.;4;kruid;
19;Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl;6;gras;
20;Artemisia vulgaris L.;1;kruid;
21;Athyrium filix-femina (L.) Roth;3;kruid;
22;Bellis perennis L.;3;kruid;
23;Betula;4;fanerofyt;
24;Betula pendula Roth;36;fanerofyt;
25;Betula pubescens Ehrh.;22;fanerofyt;
26;Blechnum spicant (L.) Roth;3;kruid;
27;Briza media L.;1;gras;
28;Bromus hordeaceus L.;6;gras;
29;Calamagrostis canescens (Weber) Roth;1;gras;
30;Calamagrostis epigejos (L.) Roth;9;gras;
31;Calluna vulgaris (L.) Hull;91;dwergstruik;
32;Campanula rapunculus L.;3;kruid;
33;Campanula rotundifolia L.;8;kruid;
34;Cardamine pratensis L.;1;kruid;
35;Carduus crispus L.;1;kruid;
36;Carex acuta L.;3;schijngras;
37;Carex acutiformis Ehrh.;3;schijngras;
38;Carex arenaria L.;2;schijngras;
39;Carex binervis Smith;2;schijngras;
40;Carex demissa Vahl ex Hartm.;6;schijngras;
41;Carex disticha Huds.;1;schijngras;
42;Carex echinata Murray;4;schijngras;
43;Carex flacca Schreb.;1;schijngras;
44;Carex hirta L.;8;schijngras;
45;Carex nigra (L.) Reichard;11;schijngras;
46;Carex oederi Retz.;1;schijngras;
47;Carex ovalis Good.;12;schijngras;
48;Carex pallescens L.;9;schijngras;
49;Carex panicea L.;11;schijngras;
50;Carex pilulifera L.;74;schijngras;
51;Carex rostrata Stokes;2;schijngras;
52;Carex spicata Huds.;1;schijngras;
53;Carex sylvatica Huds.;2;schijngras;
54;Carpinus betulus L.;1;fanerofyt;
55;Castanea sativa Mill.;1;fanerofyt;
56;Catapodium;1;gras;?? checken in welke opname
57;Centaurea jacea L.;20;kruid;
58;Centaurea nigra L.;2;kruid;
59;Centaurium erythraea Rafn;9;kruid;
60;Cerastium fontanum Baumg.;28;kruid;
61;Cerastium glomeratum Thuill.;2;kruid;
62;Cerastium semidecandrum L.;1;kruid;
63;Cirsium arvense (L.) Scop.;12;kruid;
64;Cirsium palustre (L.) Scop.;16;kruid;
65;Cirsium vulgare (Savi) Ten.;2;kruid;
66;Cladina spec.;1;mos;
67;Comarum palustre L.;1;kruid;
68;Convolvulus arvensis L.;1;kruid;
69;Conyza canadensis (L.) Cronq.;5;kruid;
70;Corynephorus canescens (L.) Beauv.;2;gras;
71;Crataegus monogyna Jacq.;7;fanerofyt;
72;Crepis capillaris (L.) Wallr.;18;kruid;
73;Cynosurus cristatus L.;3;gras;
74;Cytisus scoparius (L.) Link;13;dwergstruik;
75;Dactylis glomerata L.;8;gras;
76;Dactylorhiza maculata (L.) Soó;8;kruid;
77;Dactylorhiza maculata subsp. maculata;3;kruid;
78;Danthonia decumbens (L.) DC.;63;gras;
79;Daucus carota L.;9;kruid;
80;Deschampsia flexuosa (L.) Trin.;25;gras;
81;Drosera intermedia Hayne;5;kruid;
82;Dryopteris;1;kruid;
83;Dryopteris carthusiana (Vill.) H.P. Fuchs;7;kruid;
84;Dryopteris dilatata (Hoffmann) A. Gray;3;kruid;
85;Dryopteris filix-mas (L.) Schott;2;kruid;
86;Echium vulgare L.;1;kruid;
