"Scenario";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";1330;"1330_hpr";"Binnen & Buiten";16;71,2813614998924;100;100;100
"Combinatie crikelplot en vegetatieplot";"Versie 3";1330;"1330_hpr";"Binnen & Buiten";16;71,2813614998924;100;100;100
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6120;"6120";"Binnen & Buiten";4;10,6001770447311;33,52;NA;NA
"Combinatie crikelplot en vegetatieplot";"Versie 3";6120;"6120";"Binnen & Buiten";4;10,6001770447311;0;NA;NA
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6230;"6230_hmo; 6230_hn; 6230_ha; 6230_hnk";"Binnen & Buiten";66;251,63315688201;52,83;38,37;66,83
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6230;"6230_hmo; 6230_hn; 6230_ha; 6230_hnk";"Binnen";52;175,418239773344;58,01;41,63;72,79
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6230;"6230_hn; 6230_hmo; 6230_ha";"Buiten";14;76,2149171086657;40,92;17,47;69,39
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6230;"6230_ha";"Binnen & Buiten";18;105,116747741431;41,31;20,14;66,28
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6230;"6230_hmo";"Binnen & Buiten";23;38,7073423658633;70,04;47,47;85,81
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6230;"6230_hn";"Binnen & Buiten";24;106,097060488955;57,2;35,16;76,71
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6230;"6230_hnk";"Binnen & Buiten";1;1,71200628576085;100;NA;NA
"Combinatie crikelplot en vegetatieplot";"Versie 3";6230;"6230_hmo; 6230_hn; 6230_ha; 6230_hnk";"Binnen & Buiten";66;251,63315688201;56,7;41,95;70,35
"Combinatie crikelplot en vegetatieplot";"Versie 3";6230;"6230_hmo; 6230_hn; 6230_ha; 6230_hnk";"Binnen";52;175,418239773344;62,6;46,2;76,55
"Combinatie crikelplot en vegetatieplot";"Versie 3";6230;"6230_hn; 6230_hmo; 6230_ha";"Buiten";14;76,2149171086657;43,12;18,69;71,42
"Combinatie crikelplot en vegetatieplot";"Versie 3";6230;"6230_ha";"Binnen & Buiten";18;105,116747741431;41,14;19,95;66,22
"Combinatie crikelplot en vegetatieplot";"Versie 3";6230;"6230_hmo";"Binnen & Buiten";23;38,7073423658633;46,69;26,37;68,17
"Combinatie crikelplot en vegetatieplot";"Versie 3";6230;"6230_hn";"Binnen & Buiten";24;106,097060488955;75,08;49,3;90,32
"Combinatie crikelplot en vegetatieplot";"Versie 3";6230;"6230_hnk";"Binnen & Buiten";1;1,71200628576085;100;NA;NA
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6410;"6410_mo; 6410_ve";"Binnen & Buiten";44;57,9863698037047;28,25;10,77;56,21
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6410;"6410_mo; 6410_ve";"Binnen";34;33,7521954055541;39,69;18,8;65,17
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6410;"6410_mo; 6410_ve";"Buiten";10;24,2341743981506;12,31;1,74;52,7
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6410;"6410_mo";"Binnen & Buiten";32;11,5849756498875;51,14;32,07;69,89
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6410;"6410_ve";"Binnen & Buiten";12;46,4013941538172;22,53;6,17;56,28
"Combinatie crikelplot en vegetatieplot";"Versie 3";6410;"6410_mo; 6410_ve";"Binnen & Buiten";44;57,9863698037047;19,85;6,98;45
"Combinatie crikelplot en vegetatieplot";"Versie 3";6410;"6410_mo; 6410_ve";"Binnen";34;33,7521954055541;26,35;10,08;53,32
"Combinatie crikelplot en vegetatieplot";"Versie 3";6410;"6410_mo; 6410_ve";"Buiten";10;24,2341743981506;10,8;1,48;49,48
"Combinatie crikelplot en vegetatieplot";"Versie 3";6410;"6410_mo";"Binnen & Buiten";32;11,5849756498875;35,68;19,31;56,24
"Combinatie crikelplot en vegetatieplot";"Versie 3";6410;"6410_ve";"Binnen & Buiten";12;46,4013941538172;15,9;3,83;47,33
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";7140;"7140_meso; 7140_oli";"Binnen & Buiten";34;170,393620356666;29,86;16,53;47,78
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";7140;"7140_meso";"Binnen & Buiten";23;100,458739852447;36,12;19;57,68
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";7140;"7140_oli";"Binnen & Buiten";11;69,9348805042189;20,86;5,48;54,54
"Combinatie crikelplot en vegetatieplot";"Versie 3";7140;"7140_meso; 7140_oli";"Binnen & Buiten";34;170,393620356666;23,42;12,18;40,27
"Combinatie crikelplot en vegetatieplot";"Versie 3";7140;"7140_meso";"Binnen & Buiten";23;100,458739852447;33,54;17,02;55,39
"Combinatie crikelplot en vegetatieplot";"Versie 3";7140;"7140_oli";"Binnen & Buiten";11;69,9348805042189;8,87;1,66;35,98
