"ID";"IDPlots";"Habitattype";"Versie";"Indicator";"Voorwaarde";"Waarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"Meting"
"IV2017010617551993";19510;"6230_hn";"Versie 2.0";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"36,202";">=";"10";TRUE;"Vegetatieplot"
"IV2017010617551993";19510;"6230_hn";"Versie 2.0";"hoogopschietende soorten";"bedekking hoogopschietende soorten";"0";"<";"10";TRUE;"Vegetatieplot"
"IV2017010617551993";19510;"6230_hn";"Versie 2.0";"horizontale structuur";"aantal levensvormen aanwezig";"3";"=";"3";TRUE;"Vegetatieplot"
"IV2017010616490548";19510;"6230_hn";"Versie 2.0";"sleutelsoorten";"aantal sleutelsoorten";"4";">=";"4";TRUE;"Cirkelplot"
"IV2017010617551993";19510;"6230_hn";"Versie 2.0";"strooisellaag";"bedekking strooisellaag";"2";"<=";"30";TRUE;"Cirkelplot"
"IV2017010617551993";19510;"6230_hn";"Versie 2.0";"verbossing/verstruweling";"bedekking verbossing";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010617551993";19510;"6230_hn";"Versie 2.0";"verruiging";"bedekking verruiging";"0";"<=";"10";TRUE;"Vegetatieplot"
"IV2017010617551993";19510;"6230_hn";"Versie 2.0";"vervilting";"bedekking vervilting";"24,72832";"<=";"30";TRUE;"Vegetatieplot"
"IV2017010617551993";19510;"6230_hn";"Versie 3";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"41,8545028";">=";"10";TRUE;"Vegetatieplot"
"IV2017010617551993";19510;"6230_hn";"Versie 3";"eutrofiëring";"bedekking eutrofiëring";"1";"<=";"10";TRUE;"Vegetatieplot"
"IV2017010616490548";19510;"6230_hn";"Versie 3";"sleutelsoorten";"aantal sleutelsoorten";"7";">=";"4";TRUE;"Cirkelplot"
"IV2017010617551993";19510;"6230_hn";"Versie 3";"strooisellaag";"bedekking strooisellaag";"2";"<=";"10";TRUE;"Cirkelplot"
"IV2017010617551993";19510;"6230_hn";"Versie 3";"verbossing";"bedekking verbossing";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010617551993";19510;"6230_hn";"Versie 3";"verbraming";"bedekking verbraming";"0";"<=";"10";TRUE;"Vegetatieplot"
"IV2017010617551993";19510;"6230_hn";"Versie 3";"vergrassing inclusief vervilting";"bedekking vergrassing";"24,736";"<=";"50";TRUE;"Vegetatieplot"
"IV2017010617551993";19510;"6230_hn";"Versie 3";"vermossing";"bedekking vermossing";"0";"<=";"30";TRUE;"Vegetatieplot"
"IV2017010617551993";19510;"6230_hn";"Versie 3";"verruiging inclusief ruderalisering";"bedekking verruiging";"0";"<=";"10";TRUE;"Vegetatieplot"
"IV2017012711193298";23086;"7140_oli";"Versie 2.0";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"72,352";">=";"50";TRUE;"Vegetatieplot"
"IV2017012711193298";23086;"7140_oli";"Versie 2.0";"hoogveenontwikkeling";"aantal soorten hoogveenontwikkeling";"1";">=";"1";TRUE;"Vegetatieplot"
"IV2017012711193298";23086;"7140_oli";"Versie 2.0";"horizontale structuur";"oppervlakte moeras in ha";NA;">=";"0,1";NA;"Vegetatieplot"
"IV2017012711193298";23086;"7140_oli";"Versie 2.0";"horizontale structuur";"bedekking drijflaag";NA;">=";"10";NA;"Vegetatieplot"
"IV2017012711193298";23086;"7140_oli";"Versie 2.0";"horizontale structuur";"bedekking open water";NA;">=";"10";NA;"Vegetatieplot"
"IV2017012711193298";23086;"7140_oli";"Versie 2.0";"horizontale structuur";"oppervlakte habitatvlek in ha";NA;">=";"0,01";NA;"Vegetatieplot"
"IV2017012711062779";23086;"7140_oli";"Versie 2.0";"sleutelsoorten";"aantal sleutelsoorten";"4";">=";"3";TRUE;"Cirkelplot"
"IV2017012711193298";23086;"7140_oli";"Versie 2.0";"strooisellaag";"bedekking strooisellaag";"0";"<=";"30";TRUE;"Cirkelplot"
"IV2017012711193298";23086;"7140_oli";"Versie 2.0";"structuurschade";"bedekking structuurschade";"0";"<";"10";TRUE;"Cirkelplot"
"IV2017012711193298";23086;"7140_oli";"Versie 2.0";"veenmossen";"bedekking veenmoslaag";"90";">=";"10";TRUE;"Vegetatieplot"
"IV2017012711193298";23086;"7140_oli";"Versie 2.0";"verbossing";"bedekking verbossing";"0";"<";"10";TRUE;"Cirkelplot"
