"Scenario";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Status_indicator";"Belang";"SBZH";"PlotWeight";"StratumWeight";"WeightComb"
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 2.0";"Structuur";"hoogopschietende soorten";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 2.0";"Structuur";"horizontale structuur";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 2.0";"Vegetatie";"sleutelsoorten";FALSE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 2.0";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 2.0";"Verstoring";"verbossing/verstruweling";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 2.0";"Verstoring";"verruiging";TRUE;"zb";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 2.0";"Verstoring";"vervilting";TRUE;"zb";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 3";"Vegetatie";"sleutelsoorten";FALSE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 3";"Verstoring";"eutrofiëring";TRUE;"zb";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 3";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 3";"Verstoring";"verbossing";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 3";"Verstoring";"verbraming";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";TRUE;"zb";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 3";"Verstoring";"vermossing";TRUE;"zb";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010510420097";"842030";"6230";"6230_hn";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";TRUE;"zb";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 2.0";"Structuur";"hoogopschietende soorten";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 2.0";"Structuur";"horizontale structuur";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";FALSE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 2.0";"Vegetatie";"sleutelsoorten";FALSE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 2.0";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 2.0";"Verstoring";"verbossing/verstruweling";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 2.0";"Verstoring";"verruiging";TRUE;"zb";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 2.0";"Verstoring";"vervilting";FALSE;"zb";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";FALSE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 3";"Vegetatie";"sleutelsoorten";FALSE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 3";"Verstoring";"eutrofiëring";TRUE;"zb";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 3";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 3";"Verstoring";"verbossing";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 3";"Verstoring";"verbraming";TRUE;"b";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";FALSE;"zb";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 3";"Verstoring";"vermossing";TRUE;"zb";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010511460749";"530734";"6230";"6230_hn";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";TRUE;"zb";"Binnen";100;5,42646267659061;5,42646267659061
"Cirkelplot";"IV2017010609200485";"908981";"1330";"1330_hpr";"Versie 2.0";"Structuur";"dominantie van één soort";TRUE;"zb";"Binnen";60;6,62466184943237;3,97479710965942
"Cirkelplot";"IV2017010609200485";"908981";"1330";"1330_hpr";"Versie 2.0";"Structuur";"horizontale structuur";NA;"b";"Binnen";60;6,62466184943237;3,97479710965942
"Cirkelplot";"IV2017010609200485";"908981";"1330";"1330_hpr";"Versie 2.0";"Structuur";"microreliëf";TRUE;"zb";"Binnen";60;6,62466184943237;3,97479710965942
"Cirkelplot";"IV2017010609200485";"908981";"1330";"1330_hpr";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";60;6,62466184943237;3,97479710965942
"Cirkelplot";"IV2017010609200485";"908981";"1330";"1330_hpr";"Versie 2.0";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";60;6,62466184943237;3,97479710965942
"Cirkelplot";"IV2017010609200485";"908981";"1330";"1330_hpr";"Versie 2.0";"Verstoring";"overgang naar rbbmr";TRUE;"zb";"Binnen";60;6,62466184943237;3,97479710965942
"Cirkelplot";"IV2017010609200485";"908981";"1330";"1330_hpr";"Versie 2.0";"Verstoring";"overgang naar rbbzil";TRUE;"zb";"Binnen";60;6,62466184943237;3,97479710965942
"Cirkelplot";"IV2017010609200485";"908981";"1330";"1330_hpr";"Versie 3";"Structuur";"dominantie van één soort";TRUE;"zb";"Binnen";60;6,62466184943237;3,97479710965942
"Cirkelplot";"IV2017010609200485";"908981";"1330";"1330_hpr";"Versie 3";"Structuur";"horizontale structuur";NA;"zb";"Binnen";60;6,62466184943237;3,97479710965942
"Cirkelplot";"IV2017010609200485";"908981";"1330";"1330_hpr";"Versie 3";"Structuur";"microreliëf";TRUE;"zb";"Binnen";60;6,62466184943237;3,97479710965942
"Cirkelplot";"IV2017010609200485";"908981";"1330";"1330_hpr";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";60;6,62466184943237;3,97479710965942
"Cirkelplot";"IV2017010609200485";"908981";"1330";"1330_hpr";"Versie 3";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";60;6,62466184943237;3,97479710965942
"Cirkelplot";"IV2017010609200485";"908981";"1330";"1330_hpr";"Versie 3";"Verstoring";"overgang naar rbbzil";TRUE;"zb";"Binnen";60;6,62466184943237;3,97479710965942
"Cirkelplot";"IV2017010609200485";"908981";"1330";"1330_hpr";"Versie 3";"Verstoring";"rietontwikkeling";TRUE;"zb";"Binnen";60;6,62466184943237;3,97479710965942
"Cirkelplot";"IV2017010610523940";"455349";"1330";"1330_hpr";"Versie 2.0";"Structuur";"dominantie van één soort";TRUE;"zb";"Binnen";93;6,62466184943237;6,16093551997211
"Cirkelplot";"IV2017010610523940";"455349";"1330";"1330_hpr";"Versie 2.0";"Structuur";"horizontale structuur";NA;"b";"Binnen";93;6,62466184943237;6,16093551997211
"Cirkelplot";"IV2017010610523940";"455349";"1330";"1330_hpr";"Versie 2.0";"Structuur";"microreliëf";TRUE;"zb";"Binnen";93;6,62466184943237;6,16093551997211
"Cirkelplot";"IV2017010610523940";"455349";"1330";"1330_hpr";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";93;6,62466184943237;6,16093551997211
"Cirkelplot";"IV2017010610523940";"455349";"1330";"1330_hpr";"Versie 2.0";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";93;6,62466184943237;6,16093551997211
"Cirkelplot";"IV2017010610523940";"455349";"1330";"1330_hpr";"Versie 2.0";"Verstoring";"overgang naar rbbmr";TRUE;"zb";"Binnen";93;6,62466184943237;6,16093551997211
"Cirkelplot";"IV2017010610523940";"455349";"1330";"1330_hpr";"Versie 2.0";"Verstoring";"overgang naar rbbzil";TRUE;"zb";"Binnen";93;6,62466184943237;6,16093551997211
"Cirkelplot";"IV2017010610523940";"455349";"1330";"1330_hpr";"Versie 3";"Structuur";"dominantie van één soort";TRUE;"zb";"Binnen";93;6,62466184943237;6,16093551997211
"Cirkelplot";"IV2017010610523940";"455349";"1330";"1330_hpr";"Versie 3";"Structuur";"horizontale structuur";NA;"zb";"Binnen";93;6,62466184943237;6,16093551997211
"Cirkelplot";"IV2017010610523940";"455349";"1330";"1330_hpr";"Versie 3";"Structuur";"microreliëf";TRUE;"zb";"Binnen";93;6,62466184943237;6,16093551997211
"Cirkelplot";"IV2017010610523940";"455349";"1330";"1330_hpr";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";93;6,62466184943237;6,16093551997211
"Cirkelplot";"IV2017010610523940";"455349";"1330";"1330_hpr";"Versie 3";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";93;6,62466184943237;6,16093551997211
"Cirkelplot";"IV2017010610523940";"455349";"1330";"1330_hpr";"Versie 3";"Verstoring";"overgang naar rbbzil";TRUE;"zb";"Binnen";93;6,62466184943237;6,16093551997211
"Cirkelplot";"IV2017010610523940";"455349";"1330";"1330_hpr";"Versie 3";"Verstoring";"rietontwikkeling";TRUE;"zb";"Binnen";93;6,62466184943237;6,16093551997211
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 2.0";"Vegetatie";"sleutelsoorten";FALSE;"b";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 2.0";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 2.0";"Verstoring";"verbossing/verstruweling";FALSE;"b";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 2.0";"Verstoring";"verruiging";TRUE;"zb";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 2.0";"Verstoring";"vervilting";TRUE;"zb";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 3";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 3";"Verstoring";"eutrofiëring";TRUE;"zb";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 3";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 3";"Verstoring";"verbossing";FALSE;"b";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 3";"Verstoring";"verbraming";TRUE;"b";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";TRUE;"zb";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 3";"Verstoring";"vermossing";TRUE;"zb";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010611111454";"423762";"6230";"6230_ha";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";TRUE;"zb";"Binnen";70;9,00623917481993;6,30436742237395
"Cirkelplot";"IV2017010612172361";"996353";"1330";"1330_hpr";"Versie 2.0";"Structuur";"dominantie van één soort";TRUE;"zb";"Binnen";30;6,62466184943237;1,98739855482971
"Cirkelplot";"IV2017010612172361";"996353";"1330";"1330_hpr";"Versie 2.0";"Structuur";"horizontale structuur";NA;"b";"Binnen";30;6,62466184943237;1,98739855482971
"Cirkelplot";"IV2017010612172361";"996353";"1330";"1330_hpr";"Versie 2.0";"Structuur";"microreliëf";TRUE;"zb";"Binnen";30;6,62466184943237;1,98739855482971
"Cirkelplot";"IV2017010612172361";"996353";"1330";"1330_hpr";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";30;6,62466184943237;1,98739855482971
"Cirkelplot";"IV2017010612172361";"996353";"1330";"1330_hpr";"Versie 2.0";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";30;6,62466184943237;1,98739855482971
"Cirkelplot";"IV2017010612172361";"996353";"1330";"1330_hpr";"Versie 2.0";"Verstoring";"overgang naar rbbmr";TRUE;"zb";"Binnen";30;6,62466184943237;1,98739855482971
"Cirkelplot";"IV2017010612172361";"996353";"1330";"1330_hpr";"Versie 2.0";"Verstoring";"overgang naar rbbzil";TRUE;"zb";"Binnen";30;6,62466184943237;1,98739855482971
"Cirkelplot";"IV2017010612172361";"996353";"1330";"1330_hpr";"Versie 3";"Structuur";"dominantie van één soort";TRUE;"zb";"Binnen";30;6,62466184943237;1,98739855482971
"Cirkelplot";"IV2017010612172361";"996353";"1330";"1330_hpr";"Versie 3";"Structuur";"horizontale structuur";NA;"zb";"Binnen";30;6,62466184943237;1,98739855482971
"Cirkelplot";"IV2017010612172361";"996353";"1330";"1330_hpr";"Versie 3";"Structuur";"microreliëf";TRUE;"zb";"Binnen";30;6,62466184943237;1,98739855482971
"Cirkelplot";"IV2017010612172361";"996353";"1330";"1330_hpr";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";30;6,62466184943237;1,98739855482971
"Cirkelplot";"IV2017010612172361";"996353";"1330";"1330_hpr";"Versie 3";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";30;6,62466184943237;1,98739855482971
"Cirkelplot";"IV2017010612172361";"996353";"1330";"1330_hpr";"Versie 3";"Verstoring";"overgang naar rbbzil";TRUE;"zb";"Binnen";30;6,62466184943237;1,98739855482971
"Cirkelplot";"IV2017010612172361";"996353";"1330";"1330_hpr";"Versie 3";"Verstoring";"rietontwikkeling";TRUE;"zb";"Binnen";30;6,62466184943237;1,98739855482971
"Cirkelplot";"IV2017010613314127";"472065";"1330";"1330_hpr";"Versie 2.0";"Structuur";"dominantie van één soort";TRUE;"zb";"Binnen";63;6,62466184943237;4,1735369651424
"Cirkelplot";"IV2017010613314127";"472065";"1330";"1330_hpr";"Versie 2.0";"Structuur";"horizontale structuur";NA;"b";"Binnen";63;6,62466184943237;4,1735369651424
"Cirkelplot";"IV2017010613314127";"472065";"1330";"1330_hpr";"Versie 2.0";"Structuur";"microreliëf";TRUE;"zb";"Binnen";63;6,62466184943237;4,1735369651424
"Cirkelplot";"IV2017010613314127";"472065";"1330";"1330_hpr";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";63;6,62466184943237;4,1735369651424
"Cirkelplot";"IV2017010613314127";"472065";"1330";"1330_hpr";"Versie 2.0";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";63;6,62466184943237;4,1735369651424
"Cirkelplot";"IV2017010613314127";"472065";"1330";"1330_hpr";"Versie 2.0";"Verstoring";"overgang naar rbbmr";TRUE;"zb";"Binnen";63;6,62466184943237;4,1735369651424
"Cirkelplot";"IV2017010613314127";"472065";"1330";"1330_hpr";"Versie 2.0";"Verstoring";"overgang naar rbbzil";TRUE;"zb";"Binnen";63;6,62466184943237;4,1735369651424
"Cirkelplot";"IV2017010613314127";"472065";"1330";"1330_hpr";"Versie 3";"Structuur";"dominantie van één soort";TRUE;"zb";"Binnen";63;6,62466184943237;4,1735369651424
"Cirkelplot";"IV2017010613314127";"472065";"1330";"1330_hpr";"Versie 3";"Structuur";"horizontale structuur";NA;"zb";"Binnen";63;6,62466184943237;4,1735369651424
"Cirkelplot";"IV2017010613314127";"472065";"1330";"1330_hpr";"Versie 3";"Structuur";"microreliëf";TRUE;"zb";"Binnen";63;6,62466184943237;4,1735369651424
"Cirkelplot";"IV2017010613314127";"472065";"1330";"1330_hpr";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";FALSE;"b";"Binnen";63;6,62466184943237;4,1735369651424
"Cirkelplot";"IV2017010613314127";"472065";"1330";"1330_hpr";"Versie 3";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";63;6,62466184943237;4,1735369651424
"Cirkelplot";"IV2017010613314127";"472065";"1330";"1330_hpr";"Versie 3";"Verstoring";"overgang naar rbbzil";TRUE;"zb";"Binnen";63;6,62466184943237;4,1735369651424
"Cirkelplot";"IV2017010613314127";"472065";"1330";"1330_hpr";"Versie 3";"Verstoring";"rietontwikkeling";TRUE;"zb";"Binnen";63;6,62466184943237;4,1735369651424
"Cirkelplot";"IV2017010616345212";"1117877";"1330";"1330_hpr";"Versie 2.0";"Structuur";"dominantie van één soort";TRUE;"zb";"Binnen";50;6,62466184943237;3,31233092471619
"Cirkelplot";"IV2017010616345212";"1117877";"1330";"1330_hpr";"Versie 2.0";"Structuur";"horizontale structuur";NA;"b";"Binnen";50;6,62466184943237;3,31233092471619
"Cirkelplot";"IV2017010616345212";"1117877";"1330";"1330_hpr";"Versie 2.0";"Structuur";"microreliëf";TRUE;"zb";"Binnen";50;6,62466184943237;3,31233092471619
"Cirkelplot";"IV2017010616345212";"1117877";"1330";"1330_hpr";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";50;6,62466184943237;3,31233092471619
"Cirkelplot";"IV2017010616345212";"1117877";"1330";"1330_hpr";"Versie 2.0";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";50;6,62466184943237;3,31233092471619
"Cirkelplot";"IV2017010616345212";"1117877";"1330";"1330_hpr";"Versie 2.0";"Verstoring";"overgang naar rbbmr";TRUE;"zb";"Binnen";50;6,62466184943237;3,31233092471619
"Cirkelplot";"IV2017010616345212";"1117877";"1330";"1330_hpr";"Versie 2.0";"Verstoring";"overgang naar rbbzil";TRUE;"zb";"Binnen";50;6,62466184943237;3,31233092471619
"Cirkelplot";"IV2017010616345212";"1117877";"1330";"1330_hpr";"Versie 3";"Structuur";"dominantie van één soort";TRUE;"zb";"Binnen";50;6,62466184943237;3,31233092471619
"Cirkelplot";"IV2017010616345212";"1117877";"1330";"1330_hpr";"Versie 3";"Structuur";"horizontale structuur";NA;"zb";"Binnen";50;6,62466184943237;3,31233092471619
