"ID";"Kenmerk";"Waarde";"Vegetatielaag";"TypeKenmerk";"Type";"Invoertype";"Eenheid"
"IV2017120114192219";"Populus x canadensis Moench";97;"boomlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Ranunculus repens L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Festuca rubra L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Galium aparine L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Lysimachia vulgaris L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Holcus lanatus L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Molinia caerulea (L.) Moench";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Eupatorium cannabinum L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Juncus effusus L.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Juncus acutiflorus Ehrh. ex Hoffmann";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Teucrium scorodonia L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Rubus";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Glechoma hederacea L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Rumex acetosa L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Juncus conglomeratus L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Anthoxanthum odoratum L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Carex pilulifera L.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Rumex acetosella L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Equisetum arvense L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Hypericum perforatum L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Agrostis capillaris L.";20;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Taraxacum";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Potentilla erecta (L.) Räuschel";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Geum urbanum L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Carex hirta L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Plantago lanceolata L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Prunella vulgaris L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Luzula campestris (L.) DC.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Viola riviniana Reichenb.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Calamagrostis epigejos (L.) Roth";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Danthonia decumbens (L.) DC.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Calluna vulgaris (L.) Hull";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Fragaria vesca L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Veronica officinalis L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Centaurium erythraea Rafn";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Betula";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Lotus pedunculatus Cav.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Agrimonia procera Wallr.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Atrichum undulatum (Hedw.) P.Beauv.";2;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Calliergonella cuspidata (Hedw.) Loeske";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Pseudoscleropodium purum (Hedw.) M.Fleisch.";4;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Hypnum";4;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Kindbergia praelonga (Hedw.) Ochyra";10;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Brachythecium";10;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Cladonia";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120114192219";"Plagiomnium";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Quercus robur L.";70;"boomlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Molinia caerulea (L.) Moench";20;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Juncus effusus L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Teucrium scorodonia L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Rubus";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Phragmites australis (Cav.) Steud.";12;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Carex pilulifera L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Agrostis capillaris L.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Quercus robur L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Sorbus aucuparia L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Danthonia decumbens (L.) DC.";12;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Betula pubescens Ehrh.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Rhytidiadelphus squarrosus (Hedw.) Warnst.";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Polytrichum";30;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012713022515";"Hypnum";60;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017020319064156";"Molinia caerulea (L.) Moench";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
