"Scenario";"Versie";"Habitattype";"Habitatsubtype";"Indicator";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_huk";"horizontale structuur";"Binnen & Buiten";6;53,3559790101188;0;0;0
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_huk";"horizontale structuur";"Binnen";5;32,6559790101188;0;0;0
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_huk";"horizontale structuur";"Buiten";1;20,7;0;NA;NA
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"bedekking sleutelsoorten";"Binnen & Buiten";49;1177,42955476585;6,33;2,2;16,91
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_hu; 6510_hus; 6510_huk";"bedekking sleutelsoorten";"Binnen";34;359,113807116246;3,94;0,91;15,45
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"bedekking sleutelsoorten";"Buiten";15;818,315747649606;7,38;1,9;24,7
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_hu";"bedekking sleutelsoorten";"Binnen & Buiten";30;1000,36851406523;0;0;0
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_hua";"bedekking sleutelsoorten";"Binnen & Buiten";7;105,7;57,14;22,71;85,82
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_huk";"bedekking sleutelsoorten";"Binnen & Buiten";6;53,3559790101188;26,51;5,28;70
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_hus";"bedekking sleutelsoorten";"Binnen & Buiten";6;18,0050616905037;0;0;0
"Schaal Vlaanderen";"Versie 3";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"bedekking sleutelsoorten";"Binnen & Buiten";49;1177,42955476585;4,16;1,26;12,91
"Schaal Vlaanderen";"Versie 3";6510;"6510_hu; 6510_hus; 6510_huk";"bedekking sleutelsoorten";"Binnen";34;359,113807116246;9,45;2,95;26,35
"Schaal Vlaanderen";"Versie 3";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"bedekking sleutelsoorten";"Buiten";15;818,315747649606;1,85;0,21;14,49
"Schaal Vlaanderen";"Versie 3";6510;"6510_hu";"bedekking sleutelsoorten";"Binnen & Buiten";30;1000,36851406523;2,5;0,5;11,57
"Schaal Vlaanderen";"Versie 3";6510;"6510_hua";"bedekking sleutelsoorten";"Binnen & Buiten";7;105,7;14,29;1,93;58,59
"Schaal Vlaanderen";"Versie 3";6510;"6510_huk";"bedekking sleutelsoorten";"Binnen & Buiten";6;53,3559790101188;16,72;2,07;65,55
"Schaal Vlaanderen";"Versie 3";6510;"6510_hus";"bedekking sleutelsoorten";"Binnen & Buiten";6;18,0050616905037;0;0;0
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"sleutelsoorten";"Binnen & Buiten";49;1177,42955476585;1,2;0,25;5,65
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_hu; 6510_hus; 6510_huk";"sleutelsoorten";"Binnen";34;359,113807116246;3,94;0,91;15,45
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"sleutelsoorten";"Buiten";15;818,315747649606;0;0;0
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_hu";"sleutelsoorten";"Binnen & Buiten";30;1000,36851406523;0;0;0
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_hua";"sleutelsoorten";"Binnen & Buiten";7;105,7;0;0;0
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_huk";"sleutelsoorten";"Binnen & Buiten";6;53,3559790101188;26,51;5,28;70
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_hus";"sleutelsoorten";"Binnen & Buiten";6;18,0050616905037;0;0;0
"Schaal Vlaanderen";"Versie 3";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"sleutelsoorten";"Binnen & Buiten";49;1177,42955476585;1,2;0,25;5,65
"Schaal Vlaanderen";"Versie 3";6510;"6510_hu; 6510_hus; 6510_huk";"sleutelsoorten";"Binnen";34;359,113807116246;3,94;0,91;15,45
"Schaal Vlaanderen";"Versie 3";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"sleutelsoorten";"Buiten";15;818,315747649606;0;0;0
"Schaal Vlaanderen";"Versie 3";6510;"6510_hu";"sleutelsoorten";"Binnen & Buiten";30;1000,36851406523;0;0;0
"Schaal Vlaanderen";"Versie 3";6510;"6510_hua";"sleutelsoorten";"Binnen & Buiten";7;105,7;0;0;0
"Schaal Vlaanderen";"Versie 3";6510;"6510_huk";"sleutelsoorten";"Binnen & Buiten";6;53,3559790101188;26,51;5,28;70
"Schaal Vlaanderen";"Versie 3";6510;"6510_hus";"sleutelsoorten";"Binnen & Buiten";6;18,0050616905037;0;0;0
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"strooisellaag";"Binnen & Buiten";49;1177,42955476585;98,63;93,84;99,71
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_hu; 6510_hus; 6510_huk";"strooisellaag";"Binnen";34;359,113807116246;95,51;83,32;98,91
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"strooisellaag";"Buiten";15;818,315747649606;100;100;100
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_hu";"strooisellaag";"Binnen & Buiten";30;1000,36851406523;98,39;92,46;99,67
"Schaal Vlaanderen";"Versie 2.0";6510;"6510_hua";"strooisellaag";"Binnen & Buiten";7;105,7;100;100;100
