"ID";"SBZH";"Habitattype";"Weight";"Date";"Regio";"TypePlot";"Jaar";"RangNr";"StratumWeight";"fps"
"18546";"Binnen";"6510_hu";0,894104962028499;2014-06-05;"Atlantic";"vegetatieopname";2014;1;14,8423076923077;3859
"20217";"Binnen";"6510_hu";1;2016-05-31;"Atlantic";"vegetatieopname";2016;2;14,8423076923077;3859
"38545";"Buiten";"6510_hua";1;2014-05-30;"Atlantic";"vegetatieopname";2014;1;15,1;1057
"41814";"Buiten";"6510_hu";0,637587473719097;2014-06-11;"Atlantic";"vegetatieopname";2014;3;304,3;12172
"47446";"Binnen";"6510_hu";0,544040717384114;2014-06-13;"Atlantic";"vegetatieopname";2014;4;14,8423076923077;3859
"63270";"Buiten";"6510_hu";0,576519132591985;2014-06-06;"Atlantic";"vegetatieopname";2014;5;304,3;12172
"78294";"Binnen";"6510_hu";1;2016-06-03;"Atlantic";"vegetatieopname";2016;6;14,8423076923077;3859
"79986";"Binnen";"6510_hu";0,690272672072116;2014-06-03;"Atlantic";"vegetatieopname";2014;7;14,8423076923077;3859
"99521";"Binnen";"6510_hu";0,560624269479122;2014-06-03;"Atlantic";"vegetatieopname";2014;8;14,8423076923077;3859
"118441";"Buiten";"6510_hu";0,124808913397496;2016-06-13;"Atlantic";"vegetatieopname";2016;9;304,3;12172
"127218";"Binnen";"6510_hu";1;2014-05-19;"Atlantic";"vegetatieopname";2014;10;14,8423076923077;3859
"143382";"Buiten";"6510_hu";0,922031742351525;2016-05-30;"Atlantic";"vegetatieopname";2016;11;304,3;12172
"162790";"Binnen";"6510_hu";0,685502935968961;2014-05-23;"Atlantic";"vegetatieopname";2014;12;14,8423076923077;3859
"206134";"Binnen";"6510_hu";0,797450754551543;2014-06-12;"Atlantic";"vegetatieopname";2014;13;14,8423076923077;3859
"231702";"Binnen";"6510_hus";0,888326262181175;2014-05-27;"Atlantic";"vegetatieopname";2014;1;5,06666666666667;152
"243846";"Binnen";"6510_hu";1;2014-05-22;"Atlantic";"vegetatieopname";2014;14;14,8423076923077;3859
"258390";"Binnen";"6510_hu";1;2015-11-13;"Atlantic";"vegetatieopname";2015;15;14,8423076923077;3859
"308098";"Binnen";"6510_huk";0,831717206774397;2014-05-22;"Continental";"vegetatieopname";2014;1;8,92;446
"327153";"Buiten";"6510_hus";0,734399853701224;2016-06-15;"Atlantic";"vegetatieopname";2016;2;1,46666666666667;44
"333385";"Binnen";"6510_hu";0,535834413435679;2014-06-10;"Atlantic";"vegetatieopname";2014;16;14,8423076923077;3859
"366225";"Buiten";"6510_hua";1;2014-05-30;"Atlantic";"vegetatieopname";2014;2;15,1;1057
"386674";"Binnen";"6510_hu";0,826190011034674;2014-06-02;"Atlantic";"vegetatieopname";2014;17;14,8423076923077;3859
"398529";"Binnen";"6510_hu";0,313336785431129;2014-06-02;"Atlantic";"vegetatieopname";2014;18;14,8423076923077;3859
"409654";"Binnen";"6510_hu";0,844637247864529;2014-05-27;"Atlantic";"vegetatieopname";2014;19;14,8423076923077;3859
"452066";"Binnen";"6510_hu";1;2014-06-11;"Atlantic";"vegetatieopname";2014;20;14,8423076923077;3859
"501046";"Binnen";"6510_hu";1;2014-05-27;"Atlantic";"vegetatieopname";2014;21;14,8423076923077;3859
"528582";"Binnen";"6510_hu";0,731927057455778;2014-06-11;"Atlantic";"vegetatieopname";2014;22;14,8423076923077;3859
"556006";"Binnen";"6510_hu";1;2014-05-23;"Atlantic";"vegetatieopname";2014;23;14,8423076923077;3859
"576033";"Binnen";"6510_hu";0,542693794995355;2016-06-24;"Atlantic";"vegetatieopname";2016;24;14,8423076923077;3859
"589110";"Binnen";"6510_hu";1;2014-06-12;"Atlantic";"vegetatieopname";2014;25;14,8423076923077;3859
"589698";"Binnen";"6510_huk";0,59097963634118;2014-06-04;"Continental";"vegetatieopname";2014;2;8,92;446
"605493";"Binnen";"6510_hu";0,528374762306686;2014-06-06;"Atlantic";"vegetatieopname";2014;26;14,8423076923077;3859
"636561";"Buiten";"6510_hus";1;2016-06-09;"Atlantic";"vegetatieopname";2016;3;1,46666666666667;44
"643970";"Binnen";"6510_hu";1;2014-06-10;"Continental";"vegetatieopname";2014;27;14,8423076923077;3859
"659794";"Binnen";"6510_hu";0,55040691510779;2014-05-20;"Atlantic";"vegetatieopname";2014;28;14,8423076923077;3859
"676914";"Binnen";"6510_hu";1;2014-05-28;"Atlantic";"vegetatieopname";2014;29;14,8423076923077;3859
"677174";"Binnen";"6510_hu";1;2014-06-12;"Atlantic";"vegetatieopname";2014;30;14,8423076923077;3859
"720369";"Buiten";"6510_hua";1;2014-06-11;"Atlantic";"vegetatieopname";2014;3;15,1;1057
"845457";"Buiten";"6510_hua";1;2016-06-09;"Atlantic";"vegetatieopname";2016;4;15,1;1057
"968217";"Buiten";"6510_hua";1;2016-06-01;"Atlantic";"vegetatieopname";2016;5;15,1;1057
"980625";"Buiten";"6510_hua";1;2016-06-09;"Atlantic";"vegetatieopname";2016;6;15,1;1057
"1007490";"Buiten";"6510_huk";1;2014-06-05;"Continental";"vegetatieopname";2014;3;20,7;207
