"ID";"Kenmerk";"Waarde";"Vegetatielaag";"TypeKenmerk";"Type";"Invoertype";"Eenheid"
"18546";"Agrostis stolonifera L.";10;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Alopecurus geniculatus L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Arctium lappa L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Bellis perennis L.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Capsella bursa-pastoris (L.) Med.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Cerastium fontanum Baumg.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Cirsium arvense (L.) Scop.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Epilobium";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Epilobium hirsutum L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Eupatorium cannabinum L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Galeopsis";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Glechoma hederacea L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Holcus lanatus L.";30;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Juncus bufonius L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Lolium perenne L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Lycopus europaeus L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Lysimachia nummularia L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Plantago lanceolata L.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Plantago major L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Poa annua L.";30;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Poa pratensis L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Polygonum aviculare L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Polygonum hydropiper L.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Prunella vulgaris L.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Pulicaria dysenterica (L.) Bernh.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Ranunculus repens L.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Rumex obtusifolius L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Sisymbrium";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Spergula arvensis L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Trifolium pratense L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"18546";"Trifolium repens L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Populus";60;"boomlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Alopecurus pratensis L.";12;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Anthoxanthum odoratum L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Bromus hordeaceus L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";" Centaurea jacea L.";12;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Cerastium fontanum Baumg.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Holcus lanatus L.";12;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Hypochaeris radicata L.";40;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Lolium";50;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Poa trivialis L.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Prunella vulgaris L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Ranunculus acris L.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Ranunculus repens L.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Rumex acetosa L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Stellaria graminea L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Trifolium dubium Sibth.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Trifolium pratense L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20217";"Trifolium repens L.";60;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"38545";"Carex acuta L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"38545";"Carex dioica L.";12;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"38545";"Galium palustre L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"38545";"Glyceria maxima (Hartm.) Holmberg";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"38545";"Myosotis cespitosa C.F. Schultz";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"38545";"Oenanthe silaifolia Bieb.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"38545";"Phalaris arundinacea L.";60;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"38545";"Poa trivialis L.";30;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"38545";"Polygonum amphibium L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"38545";"Rumex crispus L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Agrostis capillaris L.";20;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Anthoxanthum odoratum L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Bellis perennis L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Cardamine pratensis L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";" Centaurea jacea L.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Festuca rubra L.";20;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Holcus lanatus L.";20;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Hypochaeris radicata L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Leucanthemum vulgare Lam.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Lolium perenne L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Medicago lupulina L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Plantago lanceolata L.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Poa trivialis L.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Prunella vulgaris L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Ranunculus acris L.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Ranunculus repens L.";10;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"41814";"Rumex acetosa L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
