"ID";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Belang";"Voorwaarde";"Waarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"VoorwaardeID";"Combinatie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"1007490";6510;"6510_huk";"Versie 2.0";"Structuur";"horizontale structuur";"b";"bedekking rozetplanten";"1";">=";"30";FALSE;1027;"1027";"Buiten";"Continental";1;20,7;20,7
"1007490";6510;"6510_huk";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"0";">=";"10";FALSE;1066;"1066";"Buiten";"Continental";1;20,7;20,7
"1007490";6510;"6510_huk";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"gulden sleutelbloem en/of ruige weegbree aanwezig";"0";">=";"1";FALSE;2119;"2119 AND 395";"Buiten";"Continental";1;20,7;20,7
"1007490";6510;"6510_huk";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten excl. gulden sleutelbloem";"0";">=";"4";FALSE;395;"2119 AND 395";"Buiten";"Continental";1;20,7;20,7
"1007490";6510;"6510_huk";"Versie 2.0";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"30";TRUE;1242;"1242";"Buiten";"Continental";1;20,7;20,7
"1007490";6510;"6510_huk";"Versie 2.0";"Verstoring";"verbossing/verstruweling";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1369;"1369";"Buiten";"Continental";1;20,7;20,7
"1007490";6510;"6510_huk";"Versie 2.0";"Verstoring";"verruiging";"zb";"bedekking verruiging";"20";"<=";"30";TRUE;1649;"1649";"Buiten";"Continental";1;20,7;20,7
"1007490";6510;"6510_huk";"Versie 2.0";"Verstoring";"vervilting";"zb";"bedekking vervilting";"30,7";"<=";"30";FALSE;1811;"1811";"Buiten";"Continental";1;20,7;20,7
"1007490";6510;"6510_huk";"Versie 3";"Structuur";"dominantie van één soort";"b";"dominantie van een soort excl. sleutelsoorten";"hb";"<";"D";TRUE;1965;"1965";"Buiten";"Continental";1;20,7;20,7
"1007490";6510;"6510_huk";"Versie 3";"Structuur";"levensvormen";"b";"bedekking rozetplanten";"1";">=";"10";FALSE;1026;"1026";"Buiten";"Continental";1;20,7;20,7
