"Habitattype";"Habitatsubtype";"Indicator";"Voorwaarde";"SBZH";"nObs";"sumWeight";"Gemiddelde";"Gemiddelde_LLCI";"Gemiddelde_ULCI"
"9160";"9160";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";47;45,8407358636387;2,1878;0,4544;3,9211
"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";172;194,627861799648;1,9024;0,831;2,9739
"91E0";"91E0_va";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";51;66,2011138962023;3,4199;0,7943;6,0455
"91E0";"91E0_vc";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";25;23,9007329514447;0;0;0
"91E0";"91E0_vm";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";38;41,6171850506099;1,3323;0,0302;2,6344
"91E0";"91E0_vn";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";39;43,0960588041952;2,0517;-0,2266;4,33
"91E0";"91E0_vo";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";19;19,8127710971964;0;0;0
"9190";"9190";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";59;60,8314353620715;0,9648;-0,0443;1,9739
"9130";"9130";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";38;114,487118275683;0,1716;-0,0817;0,4249
"9120";"9120";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";267;257,538996338387;1,0894;0,5339;1,6449
"9110";"9110";"hoeveelheid dik dood hout";"aantal exemplaren dik dood hout per ha";"Binnen & Buiten";3;11,0218068535826;0;NA;NA
