"Versie";"Habitattype";"Habitatsubtype";"Indicator";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Versie 2.0";"9160";"9160";"aandeel dood hout";"Binnen & Buiten";47;45,8407358636387;57,57;42,86;71,05
"Versie 2.0";"9160";"9160";"aandeel dood hout";"Binnen";28;27,0583910083736;60,09;40,96;76,56
"Versie 2.0";"9160";"9160";"aandeel dood hout";"Buiten";19;18,7823448552651;53,95;31,59;74,82
"Versie 3";"9160";"9160";"aandeel dood hout";"Binnen & Buiten";47;45,8407358636387;57,57;42,86;71,05
"Versie 3";"9160";"9160";"aandeel dood hout";"Binnen";28;27,0583910083736;60,09;40,96;76,56
"Versie 3";"9160";"9160";"aandeel dood hout";"Buiten";19;18,7823448552651;53,95;31,59;74,82
"Versie 2.0";"9160";"9160";"bosconstantie";"Binnen & Buiten";47;45,8407358636387;59,38;44,59;72,64
"Versie 2.0";"9160";"9160";"bosconstantie";"Binnen";28;27,0583910083736;57,13;38,28;74,12
"Versie 2.0";"9160";"9160";"bosconstantie";"Buiten";19;18,7823448552651;62,61;39,02;81,42
"Versie 3";"9160";"9160";"bosconstantie";"Binnen & Buiten";47;45,8407358636387;59,38;44,59;72,64
"Versie 3";"9160";"9160";"bosconstantie";"Binnen";28;27,0583910083736;57,13;38,28;74,12
"Versie 3";"9160";"9160";"bosconstantie";"Buiten";19;18,7823448552651;62,61;39,02;81,42
"Versie 2.0";"9160";"9160";"hoeveelheid dik dood hout";"Binnen & Buiten";47;45,8407358636387;14,73;7,1;28,1
"Versie 2.0";"9160";"9160";"hoeveelheid dik dood hout";"Binnen";28;27,0583910083736;10,35;3,28;28,22
"Versie 2.0";"9160";"9160";"hoeveelheid dik dood hout";"Buiten";19;18,7823448552651;21,05;7,88;45,4
"Versie 3";"9160";"9160";"hoeveelheid dik dood hout";"Binnen & Buiten";47;45,8407358636387;14,73;7,1;28,1
"Versie 3";"9160";"9160";"hoeveelheid dik dood hout";"Binnen";28;27,0583910083736;10,35;3,28;28,22
"Versie 3";"9160";"9160";"hoeveelheid dik dood hout";"Buiten";19;18,7823448552651;21,05;7,88;45,4
"Versie 2.0";"9160";"9160";"horizontale structuur - groeiklassen";"Binnen & Buiten";47;45,8407358636387;29,76;18,4;44,31
"Versie 2.0";"9160";"9160";"horizontale structuur - groeiklassen";"Binnen";28;27,0583910083736;22,17;10,2;41,69
"Versie 2.0";"9160";"9160";"horizontale structuur - groeiklassen";"Buiten";19;18,7823448552651;40,68;21,09;63,77
"Versie 3";"9160";"9160";"horizontale structuur - groeiklassen";"Binnen & Buiten";47;45,8407358636387;100;100;100
"Versie 3";"9160";"9160";"horizontale structuur - groeiklassen";"Binnen";28;27,0583910083736;100;100;100
"Versie 3";"9160";"9160";"horizontale structuur - groeiklassen";"Buiten";19;18,7823448552651;100;100;100
"Versie 2.0";"9160";"9160";"minimum structuurareaal";"Binnen & Buiten";47;45,8407358636387;42,01;32,31;52,37
"Versie 2.0";"9160";"9160";"minimum structuurareaal";"Binnen";28;27,0583910083736;71,17;51,66;85,08
"Versie 2.0";"9160";"9160";"minimum structuurareaal";"Buiten";19;18,7823448552651;0;0;0
"Versie 3";"9160";"9160";"minimum structuurareaal";"Binnen & Buiten";47;45,8407358636387;42,01;32,31;52,37
"Versie 3";"9160";"9160";"minimum structuurareaal";"Binnen";28;27,0583910083736;71,17;51,66;85,08
"Versie 3";"9160";"9160";"minimum structuurareaal";"Buiten";19;18,7823448552651;0;0;0
"Versie 2.0";"9160";"9160";"verticale structuur";"Binnen & Buiten";47;45,8407358636387;97,75;85,44;99,69
"Versie 2.0";"9160";"9160";"verticale structuur";"Binnen";28;27,0583910083736;100;100;100
"Versie 2.0";"9160";"9160";"verticale structuur";"Buiten";19;18,7823448552651;94,52;68,52;99,27
"Versie 3";"9160";"9160";"verticale structuur";"Binnen & Buiten";47;45,8407358636387;97,75;85,44;99,69
"Versie 3";"9160";"9160";"verticale structuur";"Binnen";28;27,0583910083736;100;100;100
"Versie 3";"9160";"9160";"verticale structuur";"Buiten";19;18,7823448552651;94,52;68,52;99,27
"Versie 2.0";"9160";"9160";"sleutelsoorten van de boom- en struiklaag";"Binnen & Buiten";46;44,8110020448194;56,8;41,93;70,53
"Versie 2.0";"9160";"9160";"sleutelsoorten van de boom- en struiklaag";"Binnen";28;27,0583910083736;56,61;37,78;73,71
"Versie 2.0";"9160";"9160";"sleutelsoorten van de boom- en struiklaag";"Buiten";18;17,7526110364458;57,08;33,66;77,7
"Versie 3";"9160";"9160";"sleutelsoorten van de boom- en struiklaag";"Binnen & Buiten";46;44,8110020448194;49,97;35,58;64,36
"Versie 3";"9160";"9160";"sleutelsoorten van de boom- en struiklaag";"Binnen";28;27,0583910083736;52,92;34,48;70,59
"Versie 3";"9160";"9160";"sleutelsoorten van de boom- en struiklaag";"Buiten";18;17,7526110364458;45,48;24,18;68,57
"Versie 2.0";"9160";"9160";"sleutelsoorten van de kruidlaag";"Binnen & Buiten";47;45,8407358636387;25,89;15,56;39,83
"Versie 2.0";"9160";"9160";"sleutelsoorten van de kruidlaag";"Binnen";28;27,0583910083736;36,93;21,02;56,31
"Versie 2.0";"9160";"9160";"sleutelsoorten van de kruidlaag";"Buiten";19;18,7823448552651;9,98;2,38;33,47
"Versie 3";"9160";"9160";"sleutelsoorten van de kruidlaag";"Binnen & Buiten";47;45,8407358636387;51,95;37,95;65,66
"Versie 3";"9160";"9160";"sleutelsoorten van de kruidlaag";"Binnen";28;27,0583910083736;62,06;42,95;78,04
"Versie 3";"9160";"9160";"sleutelsoorten van de kruidlaag";"Buiten";19;18,7823448552651;37,39;18,58;60,98
"Versie 2.0";"9160";"9160";"invasieve exoten";"Binnen & Buiten";47;45,8407358636387;91,71;79,42;96,94
"Versie 2.0";"9160";"9160";"invasieve exoten";"Binnen";28;27,0583910083736;93,57;76,81;98,46
"Versie 2.0";"9160";"9160";"invasieve exoten";"Buiten";19;18,7823448552651;89,04;64,29;97,34
"Versie 2.0";"9160";"9160";"ruderalisering";"Binnen & Buiten";47;45,8407358636387;93,41;81,1;97,91
"Versie 2.0";"9160";"9160";"ruderalisering";"Binnen";28;27,0583910083736;92,63;74,4;98,2
"Versie 2.0";"9160";"9160";"ruderalisering";"Buiten";19;18,7823448552651;94,52;68,52;99,27
"Versie 2.0";"9160";"9160";"verruiging";"Binnen & Buiten";47;45,8407358636387;100;100;100
"Versie 2.0";"9160";"9160";"verruiging";"Binnen";28;27,0583910083736;100;100;100
"Versie 2.0";"9160";"9160";"verruiging";"Buiten";19;18,7823448552651;100;100;100
"Versie 3";"9160";"9160";"verruiging";"Binnen & Buiten";47;45,8407358636387;65,72;51,18;77,81
"Versie 3";"9160";"9160";"verruiging";"Binnen";28;27,0583910083736;57,15;38,3;74,14
"Versie 3";"9160";"9160";"verruiging";"Buiten";19;18,7823448552651;78,07;53,37;91,72
"Versie 3";"9160";"9160";"invasieve exoten van de boom- en struiklaag";"Binnen & Buiten";47;45,8407358636387;95,51;83,88;98,86
"Versie 3";"9160";"9160";"invasieve exoten van de boom- en struiklaag";"Binnen";28;27,0583910083736;100;100;100
"Versie 3";"9160";"9160";"invasieve exoten van de boom- en struiklaag";"Buiten";19;18,7823448552651;89,04;64,29;97,34
"Versie 3";"9160";"9160";"invasieve exoten van de kruidlaag";"Binnen & Buiten";47;45,8407358636387;100;100;100
"Versie 3";"9160";"9160";"invasieve exoten van de kruidlaag";"Binnen";28;27,0583910083736;100;100;100
"Versie 3";"9160";"9160";"invasieve exoten van de kruidlaag";"Buiten";19;18,7823448552651;100;100;100
"Versie 2.0";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"aandeel dood hout";"Binnen & Buiten";172;194,627861799648;52,94;45,13;60,6
"Versie 2.0";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"aandeel dood hout";"Binnen";97;95,97381605635;65,27;54,68;74,54
"Versie 2.0";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"aandeel dood hout";"Buiten";75;98,6540457432985;40,94;29,99;52,88
"Versie 2.0";"91E0";"91E0_va";"aandeel dood hout";"Binnen & Buiten";51;66,2011138962023;45,43;31,87;59,71
"Versie 2.0";"91E0";"91E0_vc";"aandeel dood hout";"Binnen & Buiten";25;23,9007329514447;69,74;47,42;85,48
"Versie 2.0";"91E0";"91E0_vm";"aandeel dood hout";"Binnen & Buiten";38;41,6171850506099;57,48;40,98;72,46
"Versie 2.0";"91E0";"91E0_vn";"aandeel dood hout";"Binnen & Buiten";39;43,0960588041952;58,39;41,63;73,41
"Versie 2.0";"91E0";"91E0_vo";"aandeel dood hout";"Binnen & Buiten";19;19,8127710971964;36,38;18,11;59,65
"Versie 3";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"aandeel dood hout";"Binnen & Buiten";172;194,627861799648;52,94;45,13;60,6
"Versie 3";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"aandeel dood hout";"Binnen";97;95,97381605635;65,27;54,68;74,54
"Versie 3";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"aandeel dood hout";"Buiten";75;98,6540457432985;40,94;29,99;52,88
"Versie 3";"91E0";"91E0_va";"aandeel dood hout";"Binnen & Buiten";51;66,2011138962023;45,43;31,87;59,71
"Versie 3";"91E0";"91E0_vc";"aandeel dood hout";"Binnen & Buiten";25;23,9007329514447;69,74;47,42;85,48
"Versie 3";"91E0";"91E0_vm";"aandeel dood hout";"Binnen & Buiten";38;41,6171850506099;57,48;40,98;72,46
"Versie 3";"91E0";"91E0_vn";"aandeel dood hout";"Binnen & Buiten";39;43,0960588041952;58,39;41,63;73,41
"Versie 3";"91E0";"91E0_vo";"aandeel dood hout";"Binnen & Buiten";19;19,8127710971964;36,38;18,11;59,65
"Versie 2.0";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"bosconstantie";"Binnen & Buiten";172;194,627861799648;63,76;55,77;71,06
"Versie 2.0";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"bosconstantie";"Binnen";97;95,97381605635;65,14;54,61;74,38
"Versie 2.0";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"bosconstantie";"Buiten";75;98,6540457432985;62,42;50,27;73,18
"Versie 2.0";"91E0";"91E0_va";"bosconstantie";"Binnen & Buiten";51;66,2011138962023;59,16;44,35;72,47
"Versie 2.0";"91E0";"91E0_vc";"bosconstantie";"Binnen & Buiten";25;23,9007329514447;78,35;57,55;90,62
"Versie 2.0";"91E0";"91E0_vm";"bosconstantie";"Binnen & Buiten";38;41,6171850506099;69,49;52,93;82,19
"Versie 2.0";"91E0";"91E0_vn";"bosconstantie";"Binnen & Buiten";39;43,0960588041952;62,53;45,58;76,88
"Versie 2.0";"91E0";"91E0_vo";"bosconstantie";"Binnen & Buiten";19;19,8127710971964;52,18;29,19;74,27
"Versie 3";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"bosconstantie";"Binnen & Buiten";172;194,627861799648;63,76;55,77;71,06
"Versie 3";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"bosconstantie";"Binnen";97;95,97381605635;65,14;54,61;74,38
"Versie 3";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"bosconstantie";"Buiten";75;98,6540457432985;62,42;50,27;73,18
"Versie 3";"91E0";"91E0_va";"bosconstantie";"Binnen & Buiten";51;66,2011138962023;59,16;44,35;72,47
"Versie 3";"91E0";"91E0_vc";"bosconstantie";"Binnen & Buiten";25;23,9007329514447;78,35;57,55;90,62
"Versie 3";"91E0";"91E0_vm";"bosconstantie";"Binnen & Buiten";38;41,6171850506099;69,49;52,93;82,19
"Versie 3";"91E0";"91E0_vn";"bosconstantie";"Binnen & Buiten";39;43,0960588041952;62,53;45,58;76,88
"Versie 3";"91E0";"91E0_vo";"bosconstantie";"Binnen & Buiten";19;19,8127710971964;52,18;29,19;74,27
"Versie 2.0";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"hoeveelheid dik dood hout";"Binnen & Buiten";172;194,627861799648;8,95;5,45;14,37
"Versie 2.0";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"hoeveelheid dik dood hout";"Binnen";97;95,97381605635;9,2;4,82;16,87
"Versie 2.0";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"hoeveelheid dik dood hout";"Buiten";75;98,6540457432985;8,71;4,05;17,74
"Versie 2.0";"91E0";"91E0_va";"hoeveelheid dik dood hout";"Binnen & Buiten";51;66,2011138962023;14;6,91;26,29
"Versie 2.0";"91E0";"91E0_vc";"hoeveelheid dik dood hout";"Binnen & Buiten";25;23,9007329514447;0;0;0
"Versie 2.0";"91E0";"91E0_vm";"hoeveelheid dik dood hout";"Binnen & Buiten";38;41,6171850506099;10,46;3,85;25,41
"Versie 2.0";"91E0";"91E0_vn";"hoeveelheid dik dood hout";"Binnen & Buiten";39;43,0960588041952;8,82;3,28;21,61
"Versie 2.0";"91E0";"91E0_vo";"hoeveelheid dik dood hout";"Binnen & Buiten";19;19,8127710971964;0;0;0
"Versie 3";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"hoeveelheid dik dood hout";"Binnen & Buiten";172;194,627861799648;8,95;5,45;14,37
"Versie 3";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"hoeveelheid dik dood hout";"Binnen";97;95,97381605635;9,2;4,82;16,87
"Versie 3";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"hoeveelheid dik dood hout";"Buiten";75;98,6540457432985;8,71;4,05;17,74
"Versie 3";"91E0";"91E0_va";"hoeveelheid dik dood hout";"Binnen & Buiten";51;66,2011138962023;14;6,91;26,29
"Versie 3";"91E0";"91E0_vc";"hoeveelheid dik dood hout";"Binnen & Buiten";25;23,9007329514447;0;0;0
"Versie 3";"91E0";"91E0_vm";"hoeveelheid dik dood hout";"Binnen & Buiten";38;41,6171850506099;10,46;3,85;25,41
"Versie 3";"91E0";"91E0_vn";"hoeveelheid dik dood hout";"Binnen & Buiten";39;43,0960588041952;8,82;3,28;21,61
"Versie 3";"91E0";"91E0_vo";"hoeveelheid dik dood hout";"Binnen & Buiten";19;19,8127710971964;0;0;0
"Versie 2.0";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"horizontale structuur - groeiklassen";"Binnen & Buiten";172;194,627861799648;16,74;11,56;23,63
"Versie 2.0";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"horizontale structuur - groeiklassen";"Binnen";97;95,97381605635;15,58;9,33;24,87
"Versie 2.0";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"horizontale structuur - groeiklassen";"Buiten";75;98,6540457432985;17,87;10,42;28,93
"Versie 2.0";"91E0";"91E0_va";"horizontale structuur - groeiklassen";"Binnen & Buiten";51;66,2011138962023;18,74;9,95;32,48
"Versie 2.0";"91E0";"91E0_vc";"horizontale structuur - groeiklassen";"Binnen & Buiten";25;23,9007329514447;51,24;31,01;71,08
"Versie 2.0";"91E0";"91E0_vm";"horizontale structuur - groeiklassen";"Binnen & Buiten";38;41,6171850506099;9,99;3,23;26,96
