"ID";"Kenmerk";"Waarde";"Vegetatielaag";"TypeKenmerk";"Type";"Invoertype";"Eenheid";"IDPlots";"IDSegments"
"MHK10354";"Alliaria petiolata (Bieb.) Cavara et Grande";37,5;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Ranunculus ficaria L.";4;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Adoxa moschatellina L.";4;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Arum maculatum L.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Circaea lutetiana L.";18,75;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Fraxinus excelsior L.";4;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Acer pseudoplatanus L.";4;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Galium aparine L.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Geranium robertianum L.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Holcus lanatus L.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Urtica dioica L.";4;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Matricaria recutita L.";2,25;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Veronica hederifolia L. subsp. lucorum (Klett et Richt.) Hartl";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Chenopodium album L.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Capsella bursa-pastoris (L.) Med.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Polygonum aviculare L.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Sonchus oleraceus L.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Torilis japonica (Houtt.) DC.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Populus x canadensis Moench";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Lapsana communis L.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Poa trivialis L.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Galeopsis tetrahit L.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Sambucus nigra L.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Ulmus";0,25;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Corylus avellana L.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Geum urbanum L.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Prunus avium (L.) L.";0,25;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Festuca gigantea (L.) Vill.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Prunus padus L.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Primula elatior (L.) Hill";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Crataegus monogyna Jacq.";0,25;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Ribes rubrum L.";2,25;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Moehringia trinervia (L.) Clairv.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Heracleum sphondylium L.";0,25;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Dactylis glomerata L.";0,25;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Coronopus squamatus (Forssk.) Aschers.";2,25;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Cirsium vulgare (Savi) Ten.";1;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Elymus repens (L.) Gould";0,25;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
"MHK10354";"Rubus fruticosus groep";0,25;"kruidlaag";"soort_latijn";"Percentage";NA;"%";NA;NA
