"Schaal";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";"Versie 2.0";"9110";"9110";"Binnen & Buiten";3;11,0218068535826;100;NA;NA
"Vlaanderen";"Versie 2.0";"9110";"9110";"Binnen";2;10,0218068535826;100;NA;NA
"Vlaanderen";"Versie 2.0";"9110";"9110";"Buiten";1;1;100;NA;NA
"Vlaanderen";"Versie 3";"9110";"9110";"Binnen & Buiten";3;11,0218068535826;100;NA;NA
"Vlaanderen";"Versie 3";"9110";"9110";"Binnen";2;10,0218068535826;100;NA;NA
"Vlaanderen";"Versie 3";"9110";"9110";"Buiten";1;1;100;NA;NA
"Vlaanderen";"Versie 2.0";"9120";"9120";"Binnen & Buiten";262;253,168996338387;28,87;23,65;34,71
"Vlaanderen";"Versie 2.0";"9120";"9120";"Binnen";142;133,59;51,75;43,44;59,96
"Vlaanderen";"Versie 2.0";"9120";"9120";"Buiten";120;119,578996338387;3,31;1,23;8,61
"Vlaanderen Atlantisch";"Versie 2.0";"9120";"9120";"Binnen & Buiten";260;251,188996338387;29,1;23,85;34,97
"Vlaanderen Atlantisch";"Versie 2.0";"9120";"9120";"Binnen";140;131,61;52,53;44,15;60,77
"Vlaanderen Atlantisch";"Versie 2.0";"9120";"9120";"Buiten";120;119,578996338387;3,31;1,23;8,61
"Vlaanderen";"Versie 3";"9120";"9120";"Binnen & Buiten";262;253,168996338387;24,55;19,67;30,2
"Vlaanderen";"Versie 3";"9120";"9120";"Binnen";142;133,59;43,57;35,54;51,96
"Vlaanderen";"Versie 3";"9120";"9120";"Buiten";120;119,578996338387;3,31;1,23;8,61
"Vlaanderen Atlantisch";"Versie 3";"9120";"9120";"Binnen & Buiten";260;251,188996338387;24,75;19,83;30,43
"Vlaanderen Atlantisch";"Versie 3";"9120";"9120";"Binnen";140;131,61;44,23;36,11;52,67
"Vlaanderen Atlantisch";"Versie 3";"9120";"9120";"Buiten";120;119,578996338387;3,31;1,23;8,61
"Vlaanderen";"Versie 2.0";"9130";"9130";"Binnen & Buiten";38;114,487118275683;12,04;5,86;23,11
"Vlaanderen";"Versie 2.0";"9130";"9130";"Binnen";29;28,23;48,81;31,26;66,66
"Vlaanderen";"Versie 2.0";"9130";"9130";"Buiten";9;86,2571182756835;0;0;0
"Vlaanderen Atlantisch";"Versie 2.0";"9130";"9130";"Binnen & Buiten";38;114,487118275683;12,04;5,86;23,11
"Vlaanderen Atlantisch";"Versie 2.0";"9130";"9130";"Binnen";29;28,23;48,81;31,26;66,66
"Vlaanderen Atlantisch";"Versie 2.0";"9130";"9130";"Buiten";9;86,2571182756835;0;0;0
"Vlaanderen";"Versie 3";"9130";"9130";"Binnen & Buiten";38;114,487118275683;14,66;7,38;27,01
"Vlaanderen";"Versie 3";"9130";"9130";"Binnen";29;28,23;59,44;40,86;75,66
"Vlaanderen";"Versie 3";"9130";"9130";"Buiten";9;86,2571182756835;0;0;0
"Vlaanderen Atlantisch";"Versie 3";"9130";"9130";"Binnen & Buiten";38;114,487118275683;14,66;7,38;27,01
"Vlaanderen Atlantisch";"Versie 3";"9130";"9130";"Binnen";29;28,23;59,44;40,86;75,66
"Vlaanderen Atlantisch";"Versie 3";"9130";"9130";"Buiten";9;86,2571182756835;0;0;0
"Vlaanderen";"Versie 2.0";"9160";"9160";"Binnen & Buiten";46;44,8407358636387;21,11;11,6;35,3
"Vlaanderen";"Versie 2.0";"9160";"9160";"Binnen";27;26,0583910083736;36,32;20,51;55,78
"Vlaanderen";"Versie 2.0";"9160";"9160";"Buiten";19;18,7823448552651;0;0;0
"Vlaanderen Atlantisch";"Versie 2.0";"9160";"9160";"Binnen & Buiten";43;42,0177081854795;22,53;12,4;37,4
"Vlaanderen Atlantisch";"Versie 2.0";"9160";"9160";"Binnen";25;24,2650971490337;39,01;22,09;59,05
"Vlaanderen Atlantisch";"Versie 2.0";"9160";"9160";"Buiten";18;17,7526110364458;0;0;0
"Vlaanderen";"Versie 3";"9160";"9160";"Binnen & Buiten";46;44,8407358636387;16,65;8,42;30,27
"Vlaanderen";"Versie 3";"9160";"9160";"Binnen";27;26,0583910083736;28,65;14,77;48,19
"Vlaanderen";"Versie 3";"9160";"9160";"Buiten";19;18,7823448552651;0;0;0
"Vlaanderen Atlantisch";"Versie 3";"9160";"9160";"Binnen & Buiten";43;42,0177081854795;17,77;8,99;32,09
"Vlaanderen Atlantisch";"Versie 3";"9160";"9160";"Binnen";25;24,2650971490337;30,76;15,89;51,1
"Vlaanderen Atlantisch";"Versie 3";"9160";"9160";"Buiten";18;17,7526110364458;0;0;0
"Vlaanderen";"Versie 2.0";"9190";"9190";"Binnen & Buiten";58;59,8314353620715;3,34;0,83;12,56
"Vlaanderen";"Versie 2.0";"9190";"9190";"Binnen";30;27,9586816338972;7,15;1,78;24,69
"Vlaanderen";"Versie 2.0";"9190";"9190";"Buiten";28;31,8727537281743;0;0;0
"Vlaanderen Atlantisch";"Versie 2.0";"9190";"9190";"Binnen & Buiten";58;59,8314353620715;3,34;0,83;12,56
"Vlaanderen Atlantisch";"Versie 2.0";"9190";"9190";"Binnen";30;27,9586816338972;7,15;1,78;24,69
"Vlaanderen Atlantisch";"Versie 2.0";"9190";"9190";"Buiten";28;31,8727537281743;0;0;0
"Vlaanderen";"Versie 3";"9190";"9190";"Binnen & Buiten";58;59,8314353620715;5,56;1,77;16,13
"Vlaanderen";"Versie 3";"9190";"9190";"Binnen";30;27,9586816338972;7,15;1,78;24,69
"Vlaanderen";"Versie 3";"9190";"9190";"Buiten";28;31,8727537281743;4,16;0,57;24,57
"Vlaanderen Atlantisch";"Versie 3";"9190";"9190";"Binnen & Buiten";58;59,8314353620715;5,56;1,77;16,13
"Vlaanderen Atlantisch";"Versie 3";"9190";"9190";"Binnen";30;27,9586816338972;7,15;1,78;24,69
"Vlaanderen Atlantisch";"Versie 3";"9190";"9190";"Buiten";28;31,8727537281743;4,16;0,57;24,57
"Vlaanderen";"Versie 2.0";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Binnen & Buiten";170;192,627861799648;14,16;9,77;20,09
"Vlaanderen";"Versie 2.0";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Binnen";95;93,97381605635;23,51;15,97;33,21
"Vlaanderen";"Versie 2.0";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Buiten";75;98,6540457432985;5,25;1,96;13,29
"Vlaanderen";"Versie 2.0";"91E0";"91E0_va";"Binnen & Buiten";51;66,2011138962023;14,77;7,91;25,92
"Vlaanderen";"Versie 2.0";"91E0";"91E0_vc";"Binnen & Buiten";25;23,9007329514447;47,8;28,2;68,11
"Vlaanderen";"Versie 2.0";"91E0";"91E0_vm";"Binnen & Buiten";37;40,6171850506099;14,94;6,78;29,79
"Vlaanderen";"Versie 2.0";"91E0";"91E0_vn";"Binnen & Buiten";39;43,0960588041952;0;0;0
"Vlaanderen";"Versie 2.0";"91E0";"91E0_vo";"Binnen & Buiten";18;18,8127710971964;0;0;0
"Vlaanderen Atlantisch";"Versie 2.0";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Binnen & Buiten";169;191,635643949735;14,23;9,82;20,19
"Vlaanderen Atlantisch";"Versie 2.0";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Binnen";95;93,97381605635;23,51;15,97;33,21
