"ID";"Habitattype";"Habitatsubtype";"Phab";"Versie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"MHK10354";"9160";"9160";NA;"Versie 2.0";"Buiten";"Atlantic";1;1,02973381881936;1,02973381881936;7;10;1;70;0
"MHK10354";"9160";"9160";NA;"Versie 3";"Buiten";"Atlantic";1;1,02973381881936;1,02973381881936;8;10;1;80;0
"MHK103609";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";0,401518448283242;1;0,401518448283242;6;9;0;66,6666666666667;1
"MHK103609";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";0,401518448283242;1;0,401518448283242;9;10;0;90;1
"MHK104342";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;9;0;77,7777777777778;1
"MHK104342";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;1;80;0
"MHK11865";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;9;0;66,6666666666667;1
"MHK11865";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;9;10;1;90;0
"MHK12470";"91E0";"91E0_vm";NA;"Versie 2.0";"Buiten";"Atlantic";1;1,64381001816766;1,64381001816766;6;10;1;60;0
"MHK12470";"91E0";"91E0_vm";NA;"Versie 3";"Buiten";"Atlantic";1;1,64381001816766;1,64381001816766;7;10;1;70;0
"MHK136697";"91E0";"91E0_vc";NA;"Versie 2.0";"Buiten";"Atlantic";1;1,36950074147306;1,36950074147306;4;9;1;44,4444444444444;0
"MHK136697";"91E0";"91E0_vc";NA;"Versie 3";"Buiten";"Atlantic";1;1,36950074147306;1,36950074147306;5;10;2;50;0
"MHK140006";"9190";"9190";NA;"Versie 2.0";"Buiten";"Atlantic";1;1,32471960632478;1,32471960632478;7;11;2;63,6363636363636;0
"MHK140006";"9190";"9190";NA;"Versie 3";"Buiten";"Atlantic";1;1,32471960632478;1,32471960632478;9;10;1;90;0
"MHK146265";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";0,890433591520262;1;0,890433591520262;5;9;0;55,5555555555556;1
"MHK146265";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";0,890433591520262;1;0,890433591520262;8;10;0;80;1
"MHK147174";"9190";"9190";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;11;3;54,5454545454545;0
"MHK147174";"9190";"9190";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;8;10;2;80;0
"MHK155346";"91E0";"91E0_vo";NA;"Versie 2.0";"Binnen";"Atlantic";1;1;1;2;9;3;22,2222222222222;0
"MHK155346";"91E0";"91E0_vo";NA;"Versie 3";"Binnen";"Atlantic";1;1;1;3;9;3;33,3333333333333;0
"MHK15782";"91E0";"91E0_vc";NA;"Versie 2.0";"Buiten";"Atlantic";1;1,36950074147306;1,36950074147306;6;9;1;66,6666666666667;0
