"Schaal";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";"Habitattype";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";201;526,583034213442;82,61;76,06;87,66
"Vlaanderen";"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Structuur";"aandeel dood hout";"b";"Binnen";125;382,828988470143;91,29;86,74;94,38
"Vlaanderen";"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"aandeel dood hout";"b";"Buiten";76;143,754045743298;59,47;32,87;81,47
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_sf";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";29;331,955172413793;100;100;100
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";51;66,2011138962023;45,43;31,78;59,81
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vc";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";25;23,9007329514447;69,74;47,23;85,57
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";38;41,6171850506099;57,48;40,89;72,54
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";39;43,0960588041952;58,39;41,68;73,37
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";19;19,8127710971964;36,38;18,02;59,8
"Vlaanderen";"Habitattype";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";201;526,583034213442;82,61;76,06;87,66
