"Schaal";"Periode";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";1;"Habitattype";"Versie 2.0";"9120";"9120";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";117;121,675745590849;21,69;15,08;30,16
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Structuur";"aandeel dood hout";"b";"Binnen";63;63;14,29;7,58;25,29
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Structuur";"aandeel dood hout";"b";"Buiten";54;58,6757455908491;29,63;18,98;43,09
"Vlaanderen";1;"Habitattype";"Versie 3";"9120";"9120";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";117;121,675745590849;21,69;15,08;30,16
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Structuur";"aandeel dood hout";"b";"Binnen";63;63;14,29;7,58;25,29
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Structuur";"aandeel dood hout";"b";"Buiten";54;58,6757455908491;29,63;18,98;43,09
"Vlaanderen";1;"Habitattype";"Versie 2.0";"9120";"9120";"Structuur";"bosconstantie";"zb";"Binnen & Buiten";117;121,675745590849;65,88;56,75;73,97
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Structuur";"bosconstantie";"zb";"Binnen";63;63;84,13;72,89;91,26
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Structuur";"bosconstantie";"zb";"Buiten";54;58,6757455908491;46,3;33,5;59,6
"Vlaanderen";1;"Habitattype";"Versie 3";"9120";"9120";"Structuur";"bosconstantie";"zb";"Binnen & Buiten";117;121,675745590849;65,88;56,75;73,97
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Structuur";"bosconstantie";"zb";"Binnen";63;63;84,13;72,89;91,26
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Structuur";"bosconstantie";"zb";"Buiten";54;58,6757455908491;46,3;33,5;59,6
"Vlaanderen";1;"Habitattype";"Versie 2.0";"9120";"9120";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";117;121,675745590849;2,61;0,84;7,81
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen";63;63;1,59;0,22;10,5
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Structuur";"hoeveelheid dik dood hout";"zb";"Buiten";54;58,6757455908491;3,7;0,92;13,71
"Vlaanderen";1;"Habitattype";"Versie 3";"9120";"9120";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";117;121,675745590849;2,61;0,84;7,81
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen";63;63;1,59;0,22;10,5
