"ID";"Habitattype";"Habitatsubtype";"AnalyseVariabele";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid";"Criterium";"Indicator"
"VBI131044_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"0.281399918073257";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI131044_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI131044_2";"9120";"9120";"bosconstantie";"bosconstantie";"81";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI131044_2";"9120";"9120";"MSA";"MSA";"4.537103123105";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI131044_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI132097_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"14.0914384668001";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI132097_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"9.82437920320342";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI132097_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI132097_2";"9120";"9120";"MSA";"MSA";"26.933981150259";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI132097_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI133153_2";"91E0";"91E0_va";"volumeAandeelDoodHout";"aandeel dood hout";"1.83989911737515";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI133153_2";"91E0";"91E0_va";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI133153_2";"91E0";"91E0_va";"bosconstantie";"bosconstantie";"81";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI133153_2";"91E0";"91E0_va";"MSA";"MSA";"8.9273176327048";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI133153_2";"91E0";"91E0_va";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI135081_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"0";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
