"Schaal";"Periode";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";2;"Habitattype";"Versie 2.0";"9110";"9110";"Binnen & Buiten";3;11,0218068535826;100;NA;NA
"Vlaanderen";2;"SBZH";"Versie 2.0";"9110";"9110";"Binnen";2;10,0218068535826;100;NA;NA
"Vlaanderen";2;"SBZH";"Versie 2.0";"9110";"9110";"Buiten";1;1;100;NA;NA
"Vlaanderen";2;"Habitattype";"Versie 3";"9110";"9110";"Binnen & Buiten";3;11,0218068535826;100;NA;NA
"Vlaanderen";2;"SBZH";"Versie 3";"9110";"9110";"Binnen";2;10,0218068535826;100;NA;NA
"Vlaanderen";2;"SBZH";"Versie 3";"9110";"9110";"Buiten";1;1;100;NA;NA
"Vlaanderen";2;"Habitattype";"Versie 2.0";"9120";"9120";"Binnen & Buiten";265;256,255584219699;28,91;23,72;34,72
"Vlaanderen";2;"SBZH";"Versie 2.0";"9120";"9120";"Binnen";144;135,59;51,72;43,48;59,87
"Vlaanderen";2;"SBZH";"Versie 2.0";"9120";"9120";"Buiten";121;120,665584219699;3,28;1,22;8,54
"Vlaanderen";2;"Habitattype";"Versie 3";"9120";"9120";"Binnen & Buiten";265;256,255584219699;24,65;19,78;30,26
"Vlaanderen";2;"SBZH";"Versie 3";"9120";"9120";"Binnen";144;135,59;43,67;35,68;52
"Vlaanderen";2;"SBZH";"Versie 3";"9120";"9120";"Buiten";121;120,665584219699;3,28;1,22;8,54
"Vlaanderen";2;"Habitattype";"Versie 2.0";"9130";"9130";"Binnen & Buiten";38;114,487118275683;12,04;5,86;23,11
"Vlaanderen";2;"SBZH";"Versie 2.0";"9130";"9130";"Binnen";29;28,23;48,81;31,26;66,66
"Vlaanderen";2;"SBZH";"Versie 2.0";"9130";"9130";"Buiten";9;86,2571182756835;0;0;0
"Vlaanderen";2;"Habitattype";"Versie 3";"9130";"9130";"Binnen & Buiten";38;114,487118275683;14,66;7,38;27,01
"Vlaanderen";2;"SBZH";"Versie 3";"9130";"9130";"Binnen";29;28,23;59,44;40,86;75,66
