"Schaal";"Periode";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";1;"Habitattype";"Versie 2.0";"9120";"9120";"Binnen & Buiten";117;121,675745590849;30,48;22,86;39,34
"Vlaanderen";2;"Habitattype";"Versie 2.0";"9120";"9120";"Binnen & Buiten";115;113,913893034263;29,24;21,61;38,24
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Binnen";63;63;57,14;44,68;68,76
"Vlaanderen";1;"SBZH";"Versie 2.0";"9120";"9120";"Buiten";54;58,6757455908491;1,85;0,26;12,1
"Vlaanderen";2;"SBZH";"Versie 2.0";"9120";"9120";"Binnen";63;60,03;53,67;41,24;65,66
"Vlaanderen";2;"SBZH";"Versie 2.0";"9120";"9120";"Buiten";52;53,883893034263;2,02;0,28;13,06
"Vlaanderen";1;"Habitattype";"Versie 3";"9120";"9120";"Binnen & Buiten";117;121,675745590849;28,01;20,67;36,75
"Vlaanderen";2;"Habitattype";"Versie 3";"9120";"9120";"Binnen & Buiten";115;113,913893034263;25,25;18,1;34,05
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Binnen";63;63;52,38;40,1;64,38
"Vlaanderen";1;"SBZH";"Versie 3";"9120";"9120";"Buiten";54;58,6757455908491;1,85;0,26;12,1
"Vlaanderen";2;"SBZH";"Versie 3";"9120";"9120";"Binnen";63;60,03;46,11;34,11;58,58
"Vlaanderen";2;"SBZH";"Versie 3";"9120";"9120";"Buiten";52;53,883893034263;2,02;0,28;13,06
"Vlaanderen";1;"Habitattype";"Versie 2.0";"9130";"9130";"Binnen & Buiten";14;42,6618357487922;14,06;4,2;37,91
"Vlaanderen";2;"Habitattype";"Versie 2.0";"9130";"9130";"Binnen & Buiten";13;31,8878904991948;21,26;5,97;53,45
"Vlaanderen";1;"SBZH";"Versie 2.0";"9130";"9130";"Binnen";11;11;54,55;25,94;80,44
"Vlaanderen";1;"SBZH";"Versie 2.0";"9130";"9130";"Buiten";3;31,6618357487922;0;NA;NA
"Vlaanderen";2;"SBZH";"Versie 2.0";"9130";"9130";"Binnen";11;10,78;62,89;32,03;85,91
"Vlaanderen";2;"SBZH";"Versie 2.0";"9130";"9130";"Buiten";2;21,1078904991948;0;NA;NA
"Vlaanderen";1;"Habitattype";"Versie 3";"9130";"9130";"Binnen & Buiten";14;42,6618357487922;18,75;5,94;45,74
"Vlaanderen";2;"Habitattype";"Versie 3";"9130";"9130";"Binnen & Buiten";13;31,8878904991948;27,53;7,9;62,74
"Vlaanderen";1;"SBZH";"Versie 3";"9130";"9130";"Binnen";11;11;72,73;40,22;91,36
"Vlaanderen";1;"SBZH";"Versie 3";"9130";"9130";"Buiten";3;31,6618357487922;0;NA;NA
"Vlaanderen";2;"SBZH";"Versie 3";"9130";"9130";"Binnen";11;10,78;81,45;47,1;95,58
"Vlaanderen";2;"SBZH";"Versie 3";"9130";"9130";"Buiten";2;21,1078904991948;0;NA;NA
"Vlaanderen";1;"Habitattype";"Versie 2.0";"9160";"9160";"Binnen & Buiten";19;19,2378705505549;15,59;4,95;39,61
"Vlaanderen";2;"Habitattype";"Versie 2.0";"9160";"9160";"Binnen & Buiten";19;18,3453823466508;14,94;4,66;38,65
"Vlaanderen";1;"SBZH";"Versie 2.0";"9160";"9160";"Binnen";11;11;27,27;8,75;59,45
"Vlaanderen";1;"SBZH";"Versie 2.0";"9160";"9160";"Buiten";8;8,23787055055488;0;0;0
"Vlaanderen";2;"SBZH";"Versie 2.0";"9160";"9160";"Binnen";11;10,54;26;8,17;58,1
"Vlaanderen";2;"SBZH";"Versie 2.0";"9160";"9160";"Buiten";8;7,80538234665075;0;0;0
"Vlaanderen";1;"Habitattype";"Versie 3";"9160";"9160";"Binnen & Buiten";19;19,2378705505549;10,4;2,51;34,33
"Vlaanderen";2;"Habitattype";"Versie 3";"9160";"9160";"Binnen & Buiten";19;18,3453823466508;14,94;4,66;38,65
"Vlaanderen";1;"SBZH";"Versie 3";"9160";"9160";"Binnen";11;11;18,18;4,4;51,75
"Vlaanderen";1;"SBZH";"Versie 3";"9160";"9160";"Buiten";8;8,23787055055488;0;0;0
"Vlaanderen";2;"SBZH";"Versie 3";"9160";"9160";"Binnen";11;10,54;26;8,17;58,1
"Vlaanderen";2;"SBZH";"Versie 3";"9160";"9160";"Buiten";8;7,80538234665075;0;0;0
"Vlaanderen";1;"Habitattype";"Versie 2.0";"9190";"9190";"Binnen & Buiten";17;19,5977568505982;5,1;0,66;30,17
"Vlaanderen";2;"Habitattype";"Versie 2.0";"9190";"9190";"Binnen & Buiten";17;19,0877568505982;5,24;0,68;30,78
"Vlaanderen";1;"SBZH";"Versie 2.0";"9190";"9190";"Binnen";9;9;11,11;1,45;51,58
"Vlaanderen";1;"SBZH";"Versie 2.0";"9190";"9190";"Buiten";8;10,5977568505982;0;0;0
"Vlaanderen";2;"SBZH";"Versie 2.0";"9190";"9190";"Binnen";9;8,49;11,78;1,54;53,3
"Vlaanderen";2;"SBZH";"Versie 2.0";"9190";"9190";"Buiten";8;10,5977568505982;0;0;0
"Vlaanderen";1;"Habitattype";"Versie 3";"9190";"9190";"Binnen & Buiten";17;19,5977568505982;5,1;0,66;30,17
"Vlaanderen";2;"Habitattype";"Versie 3";"9190";"9190";"Binnen & Buiten";17;19,0877568505982;5,24;0,68;30,78
"Vlaanderen";1;"SBZH";"Versie 3";"9190";"9190";"Binnen";9;9;11,11;1,45;51,58
"Vlaanderen";1;"SBZH";"Versie 3";"9190";"9190";"Buiten";8;10,5977568505982;0;0;0
"Vlaanderen";2;"SBZH";"Versie 3";"9190";"9190";"Binnen";9;8,49;11,78;1,54;53,3
"Vlaanderen";2;"SBZH";"Versie 3";"9190";"9190";"Buiten";8;10,5977568505982;0;0;0
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Binnen & Buiten";19;27,1784542143038;18,48;6,5;42,49
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Binnen & Buiten";15;17,5752400726706;26,42;9,85;54,13
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Binnen & Buiten";10;11,0775091881555;0;0;0
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Binnen & Buiten";3;4,03485576923077;0;NA;NA
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Binnen & Buiten";17;21,8626872723338;17,34;6,21;39,9
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Binnen & Buiten";13;13,9460965481443;29,17;10,97;57,92
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Binnen & Buiten";10;10,8875091881555;0;0;0
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Binnen & Buiten";3;3,5471875;0;NA;NA
"Vlaanderen";1;"Habitattype";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";"Binnen & Buiten";47;59,8660592443607;16,15;7,92;30,13
"Vlaanderen";2;"Habitattype";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";"Binnen & Buiten";43;50,2434805086336;15,64;7,78;28,94
"Vlaanderen";1;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";"Binnen";25;26,0775091881555;23,01;10,51;43,18
"Vlaanderen";1;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";"Buiten";22;33,7885500562052;10,85;2,69;34,91
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";"Binnen";24;24,3675091881555;27,86;13,56;48,75
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";"Buiten";19;25,8759713204781;4,13;0,56;24,94
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Binnen & Buiten";19;27,1784542143038;18,48;6,5;42,49
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Binnen & Buiten";15;17,5752400726706;20,73;6,55;49,41
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Binnen & Buiten";10;11,0775091881555;0;0;0
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Binnen & Buiten";3;4,03485576923077;0;NA;NA
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Binnen & Buiten";17;21,8626872723338;12,81;3,92;34,56
