"Schaal";"Periode";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";2;"Habitattype";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";202;536,827861799649;80,55;72,86;86,46
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Structuur";"aandeel dood hout";"b";"Binnen";126;393,07381605635;88,5;80,78;93,38
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"aandeel dood hout";"b";"Buiten";76;143,754045743298;58,78;32,02;81,2
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_sf";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";30;342,2;97,01;81,3;99,59
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";51;66,2011138962023;45,43;31,78;59,81
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vc";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";25;23,9007329514447;57,5;36,43;76,15
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";38;41,6171850506099;57,48;40,89;72,54
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";39;43,0960588041952;58,39;41,68;73,37
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";19;19,8127710971964;38,02;19,04;61,53
"Vlaanderen";2;"Habitattype";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";202;536,827861799649;80,55;72,86;86,46
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Structuur";"aandeel dood hout";"b";"Binnen";126;393,07381605635;88,5;80,78;93,38
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"aandeel dood hout";"b";"Buiten";76;143,754045743298;58,78;32,02;81,2
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";30;342,2;97,01;81,3;99,59
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";51;66,2011138962023;45,43;31,78;59,81
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";25;23,9007329514447;57,5;36,43;76,15
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";38;41,6171850506099;57,48;40,89;72,54
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";39;43,0960588041952;58,39;41,68;73,37
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";19;19,8127710971964;38,02;19,04;61,53
"Vlaanderen";2;"Habitattype";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";202;536,827861799649;36,13;24,63;49,47
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen";126;393,07381605635;46,81;33,24;60,86
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"hoeveelheid dik dood hout";"zb";"Buiten";76;143,754045743298;6,93;2,69;16,71
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_sf";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";30;342,2;50,89;31,28;70,24
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";51;66,2011138962023;14;6,91;26,3
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vc";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";25;23,9007329514447;5,73;0,81;31,25
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";38;41,6171850506099;12,86;5,32;27,93
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";39;43,0960588041952;8,82;3,28;21,62
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";19;19,8127710971964;0;0;0
"Vlaanderen";2;"Habitattype";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";202;536,827861799649;36,13;24,63;49,47
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen";126;393,07381605635;46,81;33,24;60,86
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"hoeveelheid dik dood hout";"zb";"Buiten";76;143,754045743298;6,93;2,69;16,71
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";30;342,2;50,89;31,28;70,24
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";51;66,2011138962023;14;6,91;26,3
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";25;23,9007329514447;5,73;0,81;31,25
