"Meetnet";"Periode";"IDPlots";"IDSegments";"HabCode";"Phab";"SBZH";"Regio";"PlotWeight";"SegmentWeight";"X_coord";"Y_coord";"DateVeg";"DateDendro";"ID";"Habitattype";"Weight";"StratumWeight";"StratumWeight_std";"WeightComb"
"VBI";1;26148;1;"9120";100;"Buiten";"Atlantic";1;1;173915,161856;238657,880856;1998-05-06;1998;"VBI26148_1";"9120";1;66,6438016528926;1,08658788131202;1,08658788131202
"VBI";2;26148;1;"9120";100;"Buiten";"Atlantic";0,92;0,978260869565217;173915,161856;238657,880856;2009-08-31;2010;"VBI26148_2";"9120";0,9;66,6438016528926;1,08658788131202;0,977929093180815
"VBI";2;35106;1;"91E0_vn";70;"Buiten";"Atlantic";1;1;195942,112856;241179,855856;2013-07-09;2013;"VBI35106_2";"91E0_vn";1;59,7625;1;1
"VBI";2;35157;1;"9190";50;"Buiten";"Atlantic";0,83;1;198942,2;238179,8;2012-09-03;2013;"VBI35157_2";"9190";0,83;75,7607142857143;1,32471960632478;1,09951727324957
"VBI";2;74049;1;"91E0_vo";100;"Binnen";"Atlantic";0,89;0,842696629213483;154942,051856;234680,017856;2013-08-05;2014;"VBI74049_2";"91E0_vo";0,75;27,7333333333333;1;0,75
"VBI";2;74050;1;"9190";50;"Binnen";"Atlantic";0,93;1;155957,456856;234681,438856;2013-09-05;2014;"VBI74050_2";"9190";0,93;57,19;1;0,93
"VBI";1;74050;1;"9190";50;"Binnen";"Atlantic";1;1;155957,456856;234681,438856;1998-05-19;1999;"VBI74050_1";"9190";1;57,19;1;1
"VBI";2;74067;1;"9190";70;"Buiten";"Atlantic";1;1;156911,421856;233681,597856;2013-08-08;2014;"VBI74067_2";"9190";1;75,7607142857143;1,32471960632478;1,32471960632478
"VBI";1;74067;1;"9190";70;"Buiten";"Atlantic";1;1;156911,421856;233681,597856;1999-05-19;1999;"VBI74067_1";"9190";1;75,7607142857143;1,32471960632478;1,32471960632478
"VBI";2;74090;1;"9190";100;"Binnen";"Atlantic";1;1;155942,304856;232179,769856;2013-08-08;2014;"VBI74090_2";"9190";1;57,19;1;1
"VBI";2;74143;1;"9120";100;"Buiten";"Atlantic";1;1;160934,797856;229178,790856;2013-05-06;2013;"VBI74143_2";"9120";1;66,6438016528926;1,08658788131202;1,08658788131202
"VBI";2;77038;1;"9190";70;"Buiten";"Atlantic";1;1;151942,009856;225679,730856;2014-07-03;2014;"VBI77038_2";"9190";1;75,7607142857143;1,32471960632478;1,32471960632478
"VBI";2;78041;1;"9190";100;"Buiten";"Atlantic";1;1;154942,051856;225179,664856;2013-06-11;2014;"VBI78041_2";"9190";1;75,7607142857143;1,32471960632478;1,32471960632478
"VBI";2;78044;1;"9190";50;"Binnen";"Atlantic";1;1;157946,360856;225181,771856;2013-09-10;2014;"VBI78044_2";"9190";1;57,19;1;1
"VBI";2;78046;1;"9190";100;"Binnen";"Atlantic";1;1;159885,990856;225192,594856;2013-05-02;2012;"VBI78046_2";"9190";1;57,19;1;1
"VBI";2;78059;1;"9190";100;"Buiten";"Atlantic";1;0,52;156942,036856;224180,253856;2013-08-20;2014;"VBI78059_2";"9190";0,52;75,7607142857143;1,32471960632478;0,688854195288887
"VBI";2;78060;1;"9190";50;"Buiten";"Atlantic";1;1;157942,181856;224179,823856;2013-08-22;2014;"VBI78060_2";"9190";1;75,7607142857143;1,32471960632478;1,32471960632478
"VBI";2;78135;1;"9190";50;"Binnen";"Atlantic";0,8;1;160941,999856;219679,877856;2012-10-03;2013;"VBI78135_2";"9190";0,8;57,19;1;0,8
"VBI";1;78148;1;"9120";100;"Buiten";"Atlantic";1;1;157981,820856;218644,021856;1999-05-07;1999;"VBI78148_1";"9120";1;66,6438016528926;1,08658788131202;1,08658788131202
"VBI";2;78148;1;"9120";100;"Buiten";"Atlantic";1;1;157981,820856;218644,021856;2013-05-30;2014;"VBI78148_2";"9120";1;66,6438016528926;1,08658788131202;1,08658788131202
"VBI";2;78156;1;"9120";100;"Binnen";"Atlantic";1;1;157942,100856;218179,929856;2013-05-30;2014;"VBI78156_2";"9120";1;61,3330985915493;1;1
"VBI";2;81133;1;"9190";70;"Binnen";"Atlantic";1;1;166958,294856;229700,773856;2010-09-20;2010;"VBI81133_2";"9190";1;57,19;1;1
"VBI";1;81133;1;"9190";70;"Binnen";"Atlantic";1;1;166958,294856;229700,773856;1999-04-06;1998;"VBI81133_1";"9190";1;57,19;1;1
"VBI";2;84016;1;"91E0_vn";100;"Buiten";"Atlantic";1;1;193956,439856;237160,626856;2014-08-05;2014;"VBI84016_2";"91E0_vn";1;59,7625;1;1
"VBI";2;85126;1;"9120";70;"Buiten";"Atlantic";1;1;167942,107856;220179,806856;2010-09-20;2011;"VBI85126_2";"9120";1;66,6438016528926;1,08658788131202;1,08658788131202
"VBI";2;85147;1;"9120";100;"Buiten";"Atlantic";1;1;164942,138856;218679,721856;2011-09-21;2012;"VBI85147_2";"9120";1;66,6438016528926;1,08658788131202;1,08658788131202
"VBI";2;85155;1;"9190";50;"Buiten";"Atlantic";1;1;164941,902856;218179,629856;2011-09-21;2012;"VBI85155_2";"9190";1;75,7607142857143;1,32471960632478;1,32471960632478
"VBI";2;86145;1;"9120";100;"Buiten";"Atlantic";0,72;1;170942,419856;218679,790856;2009-09-02;2010;"VBI86145_2";"9120";0,72;66,6438016528926;1,08658788131202;0,782343274544652
