"ID";"IDPlots";"TypePlot";"Habitattype";"PlotWeight";"HabTarget1";"HabTarget2";"SBZH";"BiogeoRegio";"StratumWeight";"fps"
"IV2017010511152189";"842030";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017010512181008";"530734";"vegetatieplot";"6230_hn";100;"6230_ha";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017010609352959";"908981";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017010612064228";"455349";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017010612593713";"996353";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017010613221989";"423762";"vegetatieplot";"6230_ha";100;"6230_hn";NA;"Binnen";"Atlantic";9,00623917481993;1351
"IV2017010613424129";"472065";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017010616415877";"1117877";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017010617191621";"736949";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017010617362713";"212661";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017010617551993";"19510";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Buiten";"Atlantic";9,17159716811805;734
"IV2017010618013747";"801793";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017010618211064";"540341";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017010911343112";"2438198";"vegetatieplot";"6230_hmo";100;"6230_hmo";"6410_ve";"Binnen";"Atlantic";2,27842490061699;456
"IV2017010916362743";"17475649";"vegetatieplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";3,07492932108213;338
"IV2017010922225486";"2664513";"vegetatieplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";3,07492932108213;338
"IV2017011214394174";"437685";"vegetatieplot";"1330_hpr";50;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017011215122813";"323154";"vegetatieplot";"6230_hn";100;"6230_ha";"6230_hn";"Buiten";"Atlantic";9,17159716811805;734
"IV2017011215184680";"37557";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017011215475751";"798133";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017011216070022";"695297";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017011812094287";"781906";"vegetatieplot";"6230_hn";100;"6230_ha";"6230_hn";"Binnen";"Atlantic";5,42646267659061;922
"IV2017011813535331";"721906";"vegetatieplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,00623917481993;1351
"IV2017011816230130";"540658";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017011817212208";"1436882";"vegetatieplot";"6230_hmo";50;"6230_hmo";NA;"Binnen";"Atlantic";2,27842490061699;456
"IV2017011916185487";"2133734";"vegetatieplot";"6230_hmo";100;"6230_ha";"6230_hmo";"Buiten";"Atlantic";2,92792882668883;88
"IV2017011919322195";"583378";"vegetatieplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,00623917481993;1351
"IV2017012011231757";"201006";"vegetatieplot";"6230_hn";100;"6230_ha";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017012012433410";"379094";"vegetatieplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,00623917481993;1351
"IV2017012013095674";"116950";"vegetatieplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,00623917481993;1351
"IV2017012013585970";"641238";"vegetatieplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,00623917481993;1351
"IV2017012016215306";"315329";"vegetatieplot";"6230_ha";100;"6230";NA;"Buiten";"Atlantic";12,5627202244204;377
"IV2017012016550624";"300649";"vegetatieplot";"6230_hmo";100;"6230_ha";"6230_hmo";"Binnen";"Atlantic";2,27842490061699;456
"IV2017012017312649";"576302";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017012312531726";"745170";"vegetatieplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,00623917481993;1351
"IV2017012521104081";"141010";"vegetatieplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,00623917481993;1351
"IV2017012522232265";"59090";"vegetatieplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,00623917481993;1351
"IV2017012611360478";"220882";"vegetatieplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,00623917481993;1351
"IV2017012613110316";"696182";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017012613170767";"89810";"vegetatieplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,00623917481993;1351
"IV2017012613530004";"648914";"vegetatieplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,00623917481993;1351
"IV2017012620054742";"1150886";"vegetatieplot";"6230_hmo";100;"6230_hmo";NA;"Binnen";"Atlantic";2,27842490061699;456
"IV2017012620573892";"1216422";"vegetatieplot";"6230_hmo";100;"6230_hmo";NA;"Binnen";"Atlantic";2,27842490061699;456
"IV2017012709294069";"1566033";"vegetatieplot";"6230_hmo";100;"6230_hmo";NA;"Binnen";"Atlantic";2,27842490061699;456
"IV2017012710254898";"207406";"vegetatieplot";"6230_hmo";100;"6230_ha";NA;"Binnen";"Atlantic";2,27842490061699;456
"IV2017012711193298";"23086";"vegetatieplot";"7140_oli";100;"7140_oli";NA;"Binnen";"Atlantic";8,38547727868332;922
"IV2017012711431363";"743982";"vegetatieplot";"6230_hmo";100;"6230_hmo";"6230_hn";"Binnen";"Atlantic";2,27842490061699;456
"IV2017012713022515";"58433";"vegetatieplot";"6230_hn";75;"6230_hmo";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017012714021766";"1436718";"vegetatieplot";"6230_hmo";100;"6230_hmo";NA;"Binnen";"Atlantic";2,27842490061699;456
"IV2017012715472176";"4390190";"vegetatieplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";3,07492932108213;338
"IV2017012716564741";"2760937";"vegetatieplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";3,07492932108213;338
"IV2017013011141972";"857298";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017013012265239";"627922";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017013013143717";"87250";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017013015085454";"1115122";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Buiten";"Atlantic";9,17159716811805;734
