"ID";"IDPlots";"Habitattype";"Versie";"Indicator";"Voorwaarde";"Waarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"Scenario"
"IV2017010510420097";842030;"6230_hn";"Versie 2.0";"hoogopschietende soorten";"bedekking hoogopschietende soorten";"0";"<";"10";TRUE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 2.0";"horizontale structuur";"aantal levensvormen aanwezig";"3";"=";"3";TRUE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 2.0";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"28,5875";">=";"10";TRUE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 2.0";"sleutelsoorten";"aantal sleutelsoorten";"2";">=";"4";FALSE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 2.0";"strooisellaag";"bedekking strooisellaag";"0";"<=";"30";TRUE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 2.0";"verbossing/verstruweling";"bedekking verbossing";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 2.0";"verruiging";"bedekking verruiging";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 2.0";"vervilting";"bedekking vervilting";"27,5";"<=";"30";TRUE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 3";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"29,301625";">=";"10";TRUE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 3";"sleutelsoorten";"aantal sleutelsoorten";"3";">=";"4";FALSE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 3";"eutrofiëring";"bedekking eutrofiëring";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 3";"strooisellaag";"bedekking strooisellaag";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 3";"verbossing";"bedekking verbossing";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 3";"verbraming";"bedekking verbraming";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 3";"vergrassing inclusief vervilting";"bedekking vergrassing";"27,5";"<=";"50";TRUE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 3";"vermossing";"bedekking vermossing";"1,5";"<=";"30";TRUE;"Cirkelplot"
"IV2017010510420097";842030;"6230_hn";"Versie 3";"verruiging inclusief ruderalisering";"bedekking verruiging";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010511460749";530734;"6230_hn";"Versie 2.0";"hoogopschietende soorten";"bedekking hoogopschietende soorten";"0";"<";"10";TRUE;"Cirkelplot"
"IV2017010511460749";530734;"6230_hn";"Versie 2.0";"horizontale structuur";"aantal levensvormen aanwezig";"3";"=";"3";TRUE;"Cirkelplot"
"IV2017010511460749";530734;"6230_hn";"Versie 2.0";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"3,97000000000001";">=";"10";FALSE;"Cirkelplot"
"IV2017010511460749";530734;"6230_hn";"Versie 2.0";"sleutelsoorten";"aantal sleutelsoorten";"2";">=";"4";FALSE;"Cirkelplot"
"IV2017010511460749";530734;"6230_hn";"Versie 2.0";"strooisellaag";"bedekking strooisellaag";"0";"<=";"30";TRUE;"Cirkelplot"
"IV2017010511460749";530734;"6230_hn";"Versie 2.0";"verbossing/verstruweling";"bedekking verbossing";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010511460749";530734;"6230_hn";"Versie 2.0";"verruiging";"bedekking verruiging";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010511460749";530734;"6230_hn";"Versie 2.0";"vervilting";"bedekking vervilting";"74,681640625";"<=";"30";FALSE;"Cirkelplot"
"IV2017010511460749";530734;"6230_hn";"Versie 3";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"7,32135";">=";"10";FALSE;"Cirkelplot"
"IV2017010511460749";530734;"6230_hn";"Versie 3";"sleutelsoorten";"aantal sleutelsoorten";"3";">=";"4";FALSE;"Cirkelplot"
"IV2017010511460749";530734;"6230_hn";"Versie 3";"eutrofiëring";"bedekking eutrofiëring";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010511460749";530734;"6230_hn";"Versie 3";"strooisellaag";"bedekking strooisellaag";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010511460749";530734;"6230_hn";"Versie 3";"verbossing";"bedekking verbossing";"0";"<=";"10";TRUE;"Cirkelplot"
