"Scenario";"Versie";"Habitattype";"Habitatsubtype";"Indicator";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";7140;"7140_meso";"(korst)moslaag";"Binnen & Buiten";23;119,650434782609;40,61;22,27;62
"Combinatie crikelplot en vegetatieplot";"Versie 3";7140;"7140_meso";"(korst)moslaag";"Binnen & Buiten";23;119,650434782609;40,61;22,27;62
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";7140;"7140_meso";"bedekking sleutel- en overige soorten";"Binnen & Buiten";23;119,650434782609;51,65;31,1;71,66
"Combinatie crikelplot en vegetatieplot";"Versie 3";7140;"7140_meso";"bedekking sleutel- en overige soorten";"Binnen & Buiten";23;119,650434782609;46,54;26,86;67,37
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";7140;"7140_meso";"dominantie van één soort";"Binnen & Buiten";23;119,650434782609;70,54;48,34;85,96
"Combinatie crikelplot en vegetatieplot";"Versie 3";7140;"7140_meso";"dominantie van één soort";"Binnen & Buiten";23;119,650434782609;67,03;45,1;83,42
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";7140;"7140_meso; 7140_oli";"sleutelsoorten";"Binnen & Buiten";34;202,822980237154;61,92;44,21;76,94
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";7140;"7140_meso";"sleutelsoorten";"Binnen & Buiten";23;119,650434782609;35,45;18,33;57,34
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";7140;"7140_oli";"sleutelsoorten";"Binnen & Buiten";11;83,1725454545455;100;100;100
"Combinatie crikelplot en vegetatieplot";"Versie 3";7140;"7140_meso; 7140_oli";"sleutelsoorten";"Binnen & Buiten";34;202,822980237154;71,05;53,78;83,81
"Combinatie crikelplot en vegetatieplot";"Versie 3";7140;"7140_meso";"sleutelsoorten";"Binnen & Buiten";23;119,650434782609;50,93;30,63;70,92
"Combinatie crikelplot en vegetatieplot";"Versie 3";7140;"7140_oli";"sleutelsoorten";"Binnen & Buiten";11;83,1725454545455;100;100;100
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";7140;"7140_meso; 7140_oli";"strooisellaag";"Binnen & Buiten";34;202,822980237154;88,7;72,04;95,99
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";7140;"7140_meso";"strooisellaag";"Binnen & Buiten";23;119,650434782609;87,77;66,74;96,25
