"ID";"IDPlots";"TypePlot";"Habitattype";"PlotWeight";"HabTarget1";"HabTarget2";"SBZH";"BiogeoRegio";"StratumWeight";"fps"
"IV2017010510420097";"842030";"structuurplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";7,67647058823529;1305
"IV2017010511460749";"530734";"structuurplot";"6230_hn";100;"6230_ha";NA;"Binnen";"Atlantic";7,67647058823529;1305
"IV2017010609200485";"908981";"structuurplot";"1330_hpr";60;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017010610523940";"455349";"structuurplot";"1330_hpr";93;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017010611111454";"423762";"structuurplot";"6230_ha";70;"6230_hn";NA;"Binnen";"Atlantic";9,30666666666667;1396
"IV2017010612172361";"996353";"structuurplot";"1330_hpr";30;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017010613314127";"472065";"structuurplot";"1330_hpr";63;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017010616345212";"1117877";"structuurplot";"1330_hpr";50;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017010616490548";"19510";"structuurplot";"6230_hn";50;"6230_hn";NA;"Buiten";"Atlantic";9,9;792
"IV2017010617095027";"736949";"structuurplot";"1330_hpr";65;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017010617282387";"212661";"structuurplot";"1330_hpr";90;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017010617430082";"801793";"structuurplot";"1330_hpr";85;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017010618124978";"540341";"structuurplot";"1330_hpr";85;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017010911112595";"2438198";"structuurplot";"6230_hmo";50;"6230_hmo";"6410_ve";"Binnen";"Atlantic";5,635;1127
"IV2017010915000761";"17475649";"structuurplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";1,5;165
"IV2017010922050123";"2664513";"structuurplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";1,5;165
"IV2017011212263384";"323154";"structuurplot";"6230_hn";40;"6230_ha";"6230_hn";"Buiten";"Atlantic";9,9;792
"IV2017011212535658";"437685";"structuurplot";"1330_hpr";50;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017011215162577";"37557";"structuurplot";"1330_hpr";70;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017011215302636";"798133";"structuurplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017011215545335";"695297";"structuurplot";"1330_hpr";30;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017011312251730";"781906";"structuurplot";"6230_hn";70;"6230_ha";"6230_hn";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017011813083530";"721906";"structuurplot";"6230_ha";40;"6230_ha";NA;"Binnen";"Atlantic";9,30666666666667;1396
"IV2017011814163232";"540658";"structuurplot";"6230_hn";80;"6230_hn";NA;"Binnen";"Atlantic";7,67647058823529;1305
"IV2017011816484258";"1436882";"structuurplot";"6230_hmo";20;"6230_hmo";NA;"Binnen";"Atlantic";5,635;1127
"IV2017011915010675";"2133734";"structuurplot";"6230_hmo";90;"6230_ha";"6230_hmo";"Buiten";"Atlantic";5,86666666666667;176
"IV2017011916524752";"583378";"structuurplot";"6230_ha";50;"6230_ha";NA;"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012010235498";"201006";"structuurplot";"6230_hn";47;"6230_ha";NA;"Binnen";"Atlantic";7,67647058823529;1305
"IV2017012012273378";"379094";"structuurplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012013020416";"116950";"structuurplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012013475483";"641238";"structuurplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012015481765";"315329";"structuurplot";"6230_ha";100;"6230";NA;"Buiten";"Atlantic";25,5333333333333;766
"IV2017012016374726";"300649";"structuurplot";"6230_hmo";100;"6230_ha";"6230_hmo";"Binnen";"Atlantic";5,635;1127
"IV2017012017101191";"576302";"structuurplot";"6230_hn";70;"6230_hn";NA;"Binnen";"Atlantic";7,67647058823529;1305
"IV2017012312301685";"745170";"structuurplot";"6230_ha";50;"6230_ha";NA;"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012521020429";"141010";"structuurplot";"6230_ha";50;"6230_ha";NA;"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012522043706";"59090";"structuurplot";"6230_ha";10;"6230_ha";NA;"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012611170830";"220882";"structuurplot";"6230_ha";50;"6230_ha";NA;"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012612213288";"696182";"structuurplot";"7140_meso";70;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017012613001528";"89810";"structuurplot";"6230_ha";50;"6230_ha";NA;"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012613411763";"648914";"structuurplot";"6230_ha";50;"6230_ha";NA;"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012615432844";"1150886";"structuurplot";"6230_hmo";96;"6230_hmo";NA;"Binnen";"Atlantic";5,635;1127
"IV2017012620463014";"1216422";"structuurplot";"6230_hmo";90;"6230_hmo";NA;"Binnen";"Atlantic";5,635;1127
"IV2017012709211647";"1566033";"structuurplot";"6230_hmo";100;"6230_hmo";NA;"Binnen";"Atlantic";5,635;1127
"IV2017012709434540";"207406";"structuurplot";"6230_hmo";35;"6230_ha";NA;"Binnen";"Atlantic";5,635;1127
