"ID";"IDPlots";"TypePlot";"Habitattype";"Habitatsubtype";"AnalyseVariabele";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid";"Criterium";"Indicator"
"IV2017010511152189";"842030";"structuurplot";"6230";"6230_hn";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017010511152189";"842030";"structuurplot";"6230";"6230_hn";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017010511152189";"842030";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017010511152189";"842030";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017010512181008";"530734";"structuurplot";"6230";"6230_hn";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017010512181008";"530734";"structuurplot";"6230";"6230_hn";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017010512181008";"530734";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017010512181008";"530734";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017010609352959";"908981";"structuurplot";"1330";"1330_hpr";"microrelief_bedekking";"bedekking microrelief";"100";"Percentage";NA;"%";"Structuur";"microreliëf"
"IV2017010609352959";"908981";"structuurplot";"1330";"1330_hpr";"microrelief_aanwezigheid";"microreliëf aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"microreliëf"
"IV2017010612064228";"455349";"structuurplot";"1330";"1330_hpr";"microrelief_bedekking";"bedekking microrelief";"100";"Percentage";NA;"%";"Structuur";"microreliëf"
"IV2017010612064228";"455349";"structuurplot";"1330";"1330_hpr";"microrelief_aanwezigheid";"microreliëf aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"microreliëf"
"IV2017010612593713";"996353";"structuurplot";"1330";"1330_hpr";"microrelief_bedekking";"bedekking microrelief";"100";"Percentage";NA;"%";"Structuur";"microreliëf"
"IV2017010612593713";"996353";"structuurplot";"1330";"1330_hpr";"microrelief_aanwezigheid";"microreliëf aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"microreliëf"
"IV2017010613221989";"423762";"structuurplot";"6230";"6230_ha";"strooisellaag";"bedekking strooisellaag";"1";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017010613221989";"423762";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"20";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017010613221989";"423762";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"20";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017010613424129";"472065";"structuurplot";"1330";"1330_hpr";"microrelief_bedekking";"bedekking microrelief";"100";"Percentage";NA;"%";"Structuur";"microreliëf"
"IV2017010613424129";"472065";"structuurplot";"1330";"1330_hpr";"microrelief_aanwezigheid";"microreliëf aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"microreliëf"
"IV2017010616415877";"1117877";"structuurplot";"1330";"1330_hpr";"microrelief_bedekking";"bedekking microrelief";"100";"Percentage";NA;"%";"Structuur";"microreliëf"
"IV2017010616415877";"1117877";"structuurplot";"1330";"1330_hpr";"microrelief_aanwezigheid";"microreliëf aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"microreliëf"
"IV2017010617191621";"736949";"structuurplot";"1330";"1330_hpr";"microrelief_bedekking";"bedekking microrelief";"100";"Percentage";NA;"%";"Structuur";"microreliëf"
"IV2017010617191621";"736949";"structuurplot";"1330";"1330_hpr";"microrelief_aanwezigheid";"microreliëf aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"microreliëf"
"IV2017010617362713";"212661";"structuurplot";"1330";"1330_hpr";"microrelief_bedekking";"bedekking microrelief";"100";"Percentage";NA;"%";"Structuur";"microreliëf"
"IV2017010617362713";"212661";"structuurplot";"1330";"1330_hpr";"microrelief_aanwezigheid";"microreliëf aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"microreliëf"
"IV2017010617551993";"19510";"structuurplot";"6230";"6230_hn";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017010617551993";"19510";"structuurplot";"6230";"6230_hn";"strooisellaag";"bedekking strooisellaag";"2";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017010617551993";"19510";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017010617551993";"19510";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017010618013747";"801793";"structuurplot";"1330";"1330_hpr";"microrelief_bedekking";"bedekking microrelief";"50";"Percentage";NA;"%";"Structuur";"microreliëf"
"IV2017010618013747";"801793";"structuurplot";"1330";"1330_hpr";"microrelief_aanwezigheid";"microreliëf aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"microreliëf"
"IV2017010618211064";"540341";"structuurplot";"1330";"1330_hpr";"microrelief_bedekking";"bedekking microrelief";"100";"Percentage";NA;"%";"Structuur";"microreliëf"
"IV2017010618211064";"540341";"structuurplot";"1330";"1330_hpr";"microrelief_aanwezigheid";"microreliëf aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"microreliëf"
"IV2017010911343112";"2438198";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017010911343112";"2438198";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
