"Scenario";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";1330;"1330_hpr";"Binnen & Buiten";16;55,75025;100;100;100
"Combinatie crikelplot en vegetatieplot";"Versie 3";1330;"1330_hpr";"Binnen & Buiten";16;55,75025;100;100;100
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6120;"6120";"Binnen & Buiten";4;1,7005;33,52;NA;NA
"Combinatie crikelplot en vegetatieplot";"Versie 3";6120;"6120";"Binnen & Buiten";4;1,7005;0;NA;NA
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6230;"6230_hmo; 6230_hn; 6230_ha; 6230_hnk";"Binnen & Buiten";66;364,842569607843;52,01;37,81;65,89
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6230;"6230_hmo; 6230_hn; 6230_ha; 6230_hnk";"Binnen";52;252,945902941176;59,46;44,37;72,95
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6230;"6230_hn; 6230_hmo; 6230_ha";"Buiten";14;111,896666666667;35,16;13,93;64,51
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6230;"6230_ha";"Binnen & Buiten";18;135,174596078431;34,27;15,26;60,15
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6230;"6230_hmo";"Binnen & Buiten";23;92,84415;69,11;46,32;85,29
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6230;"6230_hn";"Binnen & Buiten";24;135,023823529412;57,37;35,75;76,5
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6230;"6230_hnk";"Binnen & Buiten";1;1,8;100;NA;NA
"Combinatie crikelplot en vegetatieplot";"Versie 3";6230;"6230_hmo; 6230_hn; 6230_ha; 6230_hnk";"Binnen & Buiten";66;364,842569607843;53,13;38,84;66,92
"Combinatie crikelplot en vegetatieplot";"Versie 3";6230;"6230_hmo; 6230_hn; 6230_ha; 6230_hnk";"Binnen";52;252,945902941176;61,32;46,27;74,48
"Combinatie crikelplot en vegetatieplot";"Versie 3";6230;"6230_hn; 6230_hmo; 6230_ha";"Buiten";14;111,896666666667;34,6;13,68;63,85
"Combinatie crikelplot en vegetatieplot";"Versie 3";6230;"6230_ha";"Binnen & Buiten";18;135,174596078431;34,13;15,11;60,13
"Combinatie crikelplot en vegetatieplot";"Versie 3";6230;"6230_hmo";"Binnen & Buiten";23;92,84415;46,37;26,14;67,86
"Combinatie crikelplot en vegetatieplot";"Versie 3";6230;"6230_hn";"Binnen & Buiten";24;135,023823529412;76,16;51,3;90,65
"Combinatie crikelplot en vegetatieplot";"Versie 3";6230;"6230_hnk";"Binnen & Buiten";1;1,8;100;NA;NA
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6410;"6410_mo; 6410_ve";"Binnen & Buiten";44;34,9823285024155;39,65;23,65;58,22
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6410;"6410_mo; 6410_ve";"Binnen";34;24,0132173913043;42,06;24,67;61,67
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6410;"6410_mo; 6410_ve";"Buiten";10;10,9691111111111;34,39;9,59;72,15
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6410;"6410_mo";"Binnen & Buiten";32;17,3573285024155;50,53;32,38;68,54
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";6410;"6410_ve";"Binnen & Buiten";12;17,625;28,94;9,84;60,31
"Combinatie crikelplot en vegetatieplot";"Versie 3";6410;"6410_mo; 6410_ve";"Binnen & Buiten";44;34,9823285024155;27,11;14,51;44,91
"Combinatie crikelplot en vegetatieplot";"Versie 3";6410;"6410_mo; 6410_ve";"Binnen";34;24,0132173913043;25,71;12,42;45,78
"Combinatie crikelplot en vegetatieplot";"Versie 3";6410;"6410_mo; 6410_ve";"Buiten";10;10,9691111111111;30,18;8,02;68,2
"Combinatie crikelplot en vegetatieplot";"Versie 3";6410;"6410_mo";"Binnen & Buiten";32;17,3573285024155;33,9;18,82;53,17
"Combinatie crikelplot en vegetatieplot";"Versie 3";6410;"6410_ve";"Binnen & Buiten";12;17,625;20,43;5,86;51,43
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";7140;"7140_meso; 7140_oli";"Binnen & Buiten";34;202,822980237154;29,86;16,53;47,79
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";7140;"7140_meso";"Binnen & Buiten";23;119,650434782609;36,12;19;57,68
"Combinatie crikelplot en vegetatieplot";"Versie 2.0";7140;"7140_oli";"Binnen & Buiten";11;83,1725454545455;20,86;5,48;54,54
"Combinatie crikelplot en vegetatieplot";"Versie 3";7140;"7140_meso; 7140_oli";"Binnen & Buiten";34;202,822980237154;23,42;12,18;40,28
"Combinatie crikelplot en vegetatieplot";"Versie 3";7140;"7140_meso";"Binnen & Buiten";23;119,650434782609;33,54;17,02;55,39
"Combinatie crikelplot en vegetatieplot";"Versie 3";7140;"7140_oli";"Binnen & Buiten";11;83,1725454545455;8,87;1,66;35,98
