"ID";"Kenmerk";"Waarde";"Vegetatielaag";"TypeKenmerk";"Type";"Invoertype";"Eenheid"
"IV2017012712420281";"Quercus robur L.";87,5;"boomlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Lysimachia vulgaris L.";1,5;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Juncus effusus L.";3;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Rubus";1,5;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Molinia caerulea (L.) Moench";87,5;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Teucrium scorodonia L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Phragmites australis (Cav.) Steud.";27,5;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Carex pilulifera L.";3;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Danthonia decumbens (L.) DC.";27,5;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Agrostis capillaris L.";27,5;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Quercus robur L.";1,5;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Sorbus aucuparia L.";1,5;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Prunella vulgaris L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Dryopteris dilatata (Hoffmann) A. Gray";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Calluna vulgaris (L.) Hull";1,5;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Betula pubescens Ehrh.";3;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Dicranum scoparium Hedw.";1,5;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Campylopus introflexus (Hedw.) Brid.";1,5;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Rhytidiadelphus squarrosus (Hedw.) Warnst.";27,5;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Polytrichum";27,5;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Hypnum";87,5;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017012712420281";"Sorbus aucuparia L.";27,5;"struiklaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120113271520";"Populus x canadensis Moench";87,5;"boomlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120113271520";"Trifolium repens L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120113271520";"Festuca rubra L.";15;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2017120113271520";"Galium aparine L.";0,5;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
