"ID";"IDPlots";"TypePlot";"Habitattype";"Habitatsubtype";"AnalyseVariabele";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid";"Criterium";"Indicator"
"IV2017022111173825";"1004470";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017022111173825";"1004470";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Structuur";"strooisellaag"
"IV2017022111173825";"1004470";"structuurplot";"7140";"7140_meso";"betreding_brand";"bedekking structuurschade";"0";"Percentage";NA;"%";"Verstoring";"structuurschade"
"IV2017022111173825";"1004470";"structuurplot";"7140";"7140_meso";"verbossing";"bedekking verbossing";"5";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020813265807";"1013294";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020813265807";"1013294";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Structuur";"strooisellaag"
"IV2017020813265807";"1013294";"structuurplot";"7140";"7140_meso";"betreding_brand";"bedekking structuurschade";"0";"Percentage";NA;"%";"Verstoring";"structuurschade"
"IV2017020813265807";"1013294";"structuurplot";"7140";"7140_meso";"verbossing";"bedekking verbossing";"25";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021314354987";"1022766";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017021314354987";"1022766";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"2";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021314354987";"1022766";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"1";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021515592266";"103094";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"70";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021515592266";"103094";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"70";"Percentage";NA;"%";"Structuur";"strooisellaag"
"IV2017021515592266";"103094";"structuurplot";"7140";"7140_meso";"betreding_brand";"bedekking structuurschade";"0";"Percentage";NA;"%";"Verstoring";"structuurschade"
"IV2017021515592266";"103094";"structuurplot";"7140";"7140_meso";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017112908192809";"1036446";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017112908192809";"1036446";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017112908192809";"1036446";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017120112213868";"1040518";"structuurplot";"6230";"6230_hn";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017120112213868";"1040518";"structuurplot";"6230";"6230_hn";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
