"Scenario";"Schaal";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";1330;"1330_hpr";"Binnen & Buiten";16;55,75025;100;100;100
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 3";1330;"1330_hpr";"Binnen & Buiten";16;55,75025;100;100;100
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";6120;"6120";"Binnen & Buiten";4;1,7005;33,52;NA;NA
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 3";6120;"6120";"Binnen & Buiten";4;1,7005;0;NA;NA
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"Habitatsubtype";"Versie 2.0";6230;"6230_ha";"Binnen & Buiten";18;135,174596078431;34,27;14,73;61,15
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"Habitatsubtype";"Versie 2.0";6230;"6230_hmo";"Binnen & Buiten";23;92,84415;64,56;42,01;82,08
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"Habitatsubtype";"Versie 2.0";6230;"6230_hn";"Binnen & Buiten";24;135,023823529412;51,88;31,46;71,68
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"Habitatsubtype";"Versie 2.0";6230;"6230_hnk";"Binnen & Buiten";1;1,8;100;NA;NA
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";6230;"6230_hn; 6230_ha; 6230_hmo; 6230_hnk";"Binnen & Buiten";66;364,842569607843;48,82;34,97;62,85
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"SBZH";"Versie 2.0";6230;"6230_hn; 6230_ha; 6230_hmo; 6230_hnk";"Binnen";52;252,945902941176;56,42;41,51;70,25
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"SBZH";"Versie 2.0";6230;"6230_hn; 6230_ha; 6230_hmo";"Buiten";14;111,896666666667;31,62;12,5;59,95
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"Habitatsubtype";"Versie 3";6230;"6230_ha";"Binnen & Buiten";18;135,174596078431;27,38;10,5;54,8
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"Habitatsubtype";"Versie 3";6230;"6230_hmo";"Binnen & Buiten";23;92,84415;46,37;26,22;67,77
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"Habitatsubtype";"Versie 3";6230;"6230_hn";"Binnen & Buiten";24;135,023823529412;70,67;47,45;86,54
"Combinatie crikelplot en vegetatieplot";"Vlaanderen";"Habitatsubtype";"Versie 3";6230;"6230_hnk";"Binnen & Buiten";1;1,8;100;NA;NA
