"Scenario";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"Combinatie cirkelplot en vegetatieplot";19510;6230;"6230_hn";"Versie 2.0";"Buiten";"Atlantic";50;9,9;4,95;8;8;0;100;1
"Combinatie cirkelplot en vegetatieplot";19510;6230;"6230_hn";"Versie 3";"Buiten";"Atlantic";50;9,9;4,95;9;9;0;100;1
"Combinatie cirkelplot en vegetatieplot";23086;7140;"7140_oli";"Versie 2.0";"Binnen";"Atlantic";58;9,97272727272727;5,78418181818182;9;9;0;100;1
"Combinatie cirkelplot en vegetatieplot";23086;7140;"7140_oli";"Versie 3";"Binnen";"Atlantic";58;9,97272727272727;5,78418181818182;10;10;0;100;1
"Combinatie cirkelplot en vegetatieplot";37557;1330;"1330_hpr";"Versie 2.0";"Binnen";"Atlantic";70;5,18125;3,626875;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";37557;1330;"1330_hpr";"Versie 3";"Binnen";"Atlantic";70;5,18125;3,626875;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";58433;6230;"6230_hn";"Versie 2.0";"Binnen";"Atlantic";30;7,67647058823529;2,30294117647059;7;8;0;87,5;1
"Combinatie cirkelplot en vegetatieplot";58433;6230;"6230_hn";"Versie 3";"Binnen";"Atlantic";30;7,67647058823529;2,30294117647059;8;9;0;88,8888888888889;1
"Combinatie cirkelplot en vegetatieplot";59090;6230;"6230_ha";"Versie 2.0";"Binnen";"Atlantic";10;9,30666666666667;0,930666666666667;2;6;2;33,3333333333333;0
"Combinatie cirkelplot en vegetatieplot";59090;6230;"6230_ha";"Versie 3";"Binnen";"Atlantic";10;9,30666666666667;0,930666666666667;6;9;2;66,6666666666667;0
"Combinatie cirkelplot en vegetatieplot";87250;6230;"6230_hn";"Versie 2.0";"Binnen";"Atlantic";30;7,67647058823529;2,30294117647059;8;8;0;100;1
"Combinatie cirkelplot en vegetatieplot";87250;6230;"6230_hn";"Versie 3";"Binnen";"Atlantic";30;7,67647058823529;2,30294117647059;9;9;0;100;1
"Combinatie cirkelplot en vegetatieplot";89810;6230;"6230_ha";"Versie 2.0";"Binnen";"Atlantic";50;9,30666666666667;4,65333333333333;3;6;1;50;0
"Combinatie cirkelplot en vegetatieplot";89810;6230;"6230_ha";"Versie 3";"Binnen";"Atlantic";50;9,30666666666667;4,65333333333333;7;9;1;77,7777777777778;0
"Combinatie cirkelplot en vegetatieplot";103094;7140;"7140_meso";"Versie 2.0";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913;6;8;0;75;1
"Combinatie cirkelplot en vegetatieplot";103094;7140;"7140_meso";"Versie 3";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913;9;12;1;75;0
"Combinatie cirkelplot en vegetatieplot";116950;6230;"6230_ha";"Versie 2.0";"Binnen";"Atlantic";100;9,30666666666667;9,30666666666667;4;6;0;66,6666666666667;1
"Combinatie cirkelplot en vegetatieplot";116950;6230;"6230_ha";"Versie 3";"Binnen";"Atlantic";100;9,30666666666667;9,30666666666667;7;9;0;77,7777777777778;1
"Combinatie cirkelplot en vegetatieplot";141010;6230;"6230_ha";"Versie 2.0";"Binnen";"Atlantic";50;9,30666666666667;4,65333333333333;4;6;0;66,6666666666667;1
"Combinatie cirkelplot en vegetatieplot";141010;6230;"6230_ha";"Versie 3";"Binnen";"Atlantic";50;9,30666666666667;4,65333333333333;6;9;1;66,6666666666667;0
"Combinatie cirkelplot en vegetatieplot";170798;7140;"7140_oli";"Versie 2.0";"Binnen";"Atlantic";16;9,97272727272727;1,59563636363636;8;9;0;88,8888888888889;1
"Combinatie cirkelplot en vegetatieplot";170798;7140;"7140_oli";"Versie 3";"Binnen";"Atlantic";16;9,97272727272727;1,59563636363636;10;10;0;100;1
"Combinatie cirkelplot en vegetatieplot";201006;6230;"6230_hn";"Versie 2.0";"Binnen";"Atlantic";47;7,67647058823529;3,60794117647059;5;8;1;62,5;0
"Combinatie cirkelplot en vegetatieplot";201006;6230;"6230_hn";"Versie 3";"Binnen";"Atlantic";47;7,67647058823529;3,60794117647059;8;9;0;88,8888888888889;1
"Combinatie cirkelplot en vegetatieplot";207406;6230;"6230_hmo";"Versie 2.0";"Binnen";"Atlantic";35;5,635;1,97225;6;9;1;66,6666666666667;0
"Combinatie cirkelplot en vegetatieplot";207406;6230;"6230_hmo";"Versie 3";"Binnen";"Atlantic";35;5,635;1,97225;7;11;2;63,6363636363636;0
"Combinatie cirkelplot en vegetatieplot";212661;1330;"1330_hpr";"Versie 2.0";"Binnen";"Atlantic";90;5,18125;4,663125;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";212661;1330;"1330_hpr";"Versie 3";"Binnen";"Atlantic";90;5,18125;4,663125;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";220882;6230;"6230_ha";"Versie 2.0";"Binnen";"Atlantic";50;9,30666666666667;4,65333333333333;3;6;1;50;0
"Combinatie cirkelplot en vegetatieplot";220882;6230;"6230_ha";"Versie 3";"Binnen";"Atlantic";50;9,30666666666667;4,65333333333333;7;9;1;77,7777777777778;0
"Combinatie cirkelplot en vegetatieplot";222518;7140;"7140_meso";"Versie 2.0";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;6;8;0;75;1
"Combinatie cirkelplot en vegetatieplot";222518;7140;"7140_meso";"Versie 3";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;10;12;0;83,3333333333333;1
"Combinatie cirkelplot en vegetatieplot";267986;7140;"7140_meso";"Versie 2.0";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;6;8;1;75;0
"Combinatie cirkelplot en vegetatieplot";267986;7140;"7140_meso";"Versie 3";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;10;12;1;83,3333333333333;0
"Combinatie cirkelplot en vegetatieplot";271030;7140;"7140_meso";"Versie 2.0";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;5;8;0;62,5;1
"Combinatie cirkelplot en vegetatieplot";271030;7140;"7140_meso";"Versie 3";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;8;12;1;66,6666666666667;0
"Combinatie cirkelplot en vegetatieplot";282614;7140;"7140_meso";"Versie 2.0";"Binnen";"Atlantic";68;6,17391304347826;4,19826086956522;8;8;0;100;1
"Combinatie cirkelplot en vegetatieplot";282614;7140;"7140_meso";"Versie 3";"Binnen";"Atlantic";68;6,17391304347826;4,19826086956522;10;12;0;83,3333333333333;1
"Combinatie cirkelplot en vegetatieplot";299701;1330;"1330_hpr";"Versie 2.0";"Binnen";"Atlantic";95;5,18125;4,9221875;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";299701;1330;"1330_hpr";"Versie 3";"Binnen";"Atlantic";95;5,18125;4,9221875;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";300649;6230;"6230_hmo";"Versie 2.0";"Binnen";"Atlantic";100;5,635;5,635;6;9;1;66,6666666666667;0
"Combinatie cirkelplot en vegetatieplot";300649;6230;"6230_hmo";"Versie 3";"Binnen";"Atlantic";100;5,635;5,635;8;11;1;72,7272727272727;0
"Combinatie cirkelplot en vegetatieplot";309458;6230;"6230_hmo";"Versie 2.0";"Binnen";"Atlantic";90;5,635;5,0715;8;9;0;88,8888888888889;1
"Combinatie cirkelplot en vegetatieplot";309458;6230;"6230_hmo";"Versie 3";"Binnen";"Atlantic";90;5,635;5,0715;9;11;1;81,8181818181818;0
"Combinatie cirkelplot en vegetatieplot";311262;6230;"6230_hn";"Versie 2.0";"Binnen";"Atlantic";100;7,67647058823529;7,67647058823529;8;8;0;100;1
"Combinatie cirkelplot en vegetatieplot";311262;6230;"6230_hn";"Versie 3";"Binnen";"Atlantic";100;7,67647058823529;7,67647058823529;9;9;0;100;1
"Combinatie cirkelplot en vegetatieplot";315329;6230;"6230_ha";"Versie 2.0";"Buiten";"Atlantic";100;25,5333333333333;25,5333333333333;3;6;1;50;0
"Combinatie cirkelplot en vegetatieplot";315329;6230;"6230_ha";"Versie 3";"Buiten";"Atlantic";100;25,5333333333333;25,5333333333333;7;9;1;77,7777777777778;0
"Combinatie cirkelplot en vegetatieplot";323154;6230;"6230_hn";"Versie 2.0";"Buiten";"Atlantic";40;9,9;3,96;6;8;1;75;0
"Combinatie cirkelplot en vegetatieplot";323154;6230;"6230_hn";"Versie 3";"Buiten";"Atlantic";40;9,9;3,96;7;9;1;77,7777777777778;0
"Combinatie cirkelplot en vegetatieplot";332786;6230;"6230_hn";"Versie 2.0";"Buiten";"Atlantic";47;9,9;4,653;7;8;0;87,5;1
"Combinatie cirkelplot en vegetatieplot";332786;6230;"6230_hn";"Versie 3";"Buiten";"Atlantic";47;9,9;4,653;8;9;0;88,8888888888889;1
"Combinatie cirkelplot en vegetatieplot";340978;6230;"6230_hn";"Versie 2.0";"Buiten";"Atlantic";100;9,9;9,9;6;8;1;75;0
"Combinatie cirkelplot en vegetatieplot";340978;6230;"6230_hn";"Versie 3";"Buiten";"Atlantic";100;9,9;9,9;7;9;1;77,7777777777778;0
"Combinatie cirkelplot en vegetatieplot";369974;7140;"7140_meso";"Versie 2.0";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;5;8;0;62,5;1
"Combinatie cirkelplot en vegetatieplot";369974;7140;"7140_meso";"Versie 3";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;8;12;1;66,6666666666667;0
"Combinatie cirkelplot en vegetatieplot";379094;6230;"6230_ha";"Versie 2.0";"Binnen";"Atlantic";100;9,30666666666667;9,30666666666667;4;6;0;66,6666666666667;1
"Combinatie cirkelplot en vegetatieplot";379094;6230;"6230_ha";"Versie 3";"Binnen";"Atlantic";100;9,30666666666667;9,30666666666667;7;9;0;77,7777777777778;1
"Combinatie cirkelplot en vegetatieplot";414646;6230;"6230_hn";"Versie 2.0";"Binnen";"Atlantic";100;7,67647058823529;7,67647058823529;5;8;1;62,5;0
"Combinatie cirkelplot en vegetatieplot";414646;6230;"6230_hn";"Versie 3";"Binnen";"Atlantic";100;7,67647058823529;7,67647058823529;5;9;3;55,5555555555556;0
"Combinatie cirkelplot en vegetatieplot";419538;7140;"7140_oli";"Versie 2.0";"Binnen";"Atlantic";100;9,97272727272727;9,97272727272727;9;9;0;100;1
"Combinatie cirkelplot en vegetatieplot";419538;7140;"7140_oli";"Versie 3";"Binnen";"Atlantic";100;9,97272727272727;9,97272727272727;9;10;1;90;0
"Combinatie cirkelplot en vegetatieplot";423762;6230;"6230_ha";"Versie 2.0";"Binnen";"Atlantic";70;9,30666666666667;6,51466666666667;3;6;1;50;0
"Combinatie cirkelplot en vegetatieplot";423762;6230;"6230_ha";"Versie 3";"Binnen";"Atlantic";70;9,30666666666667;6,51466666666667;8;9;1;88,8888888888889;0
"Combinatie cirkelplot en vegetatieplot";437685;1330;"1330_hpr";"Versie 2.0";"Binnen";"Atlantic";50;5,18125;2,590625;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";437685;1330;"1330_hpr";"Versie 3";"Binnen";"Atlantic";50;5,18125;2,590625;5;6;0;83,3333333333333;1
"Combinatie cirkelplot en vegetatieplot";455349;1330;"1330_hpr";"Versie 2.0";"Binnen";"Atlantic";93;5,18125;4,8185625;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";455349;1330;"1330_hpr";"Versie 3";"Binnen";"Atlantic";93;5,18125;4,8185625;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";471990;7140;"7140_meso";"Versie 2.0";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;5;8;1;62,5;0
"Combinatie cirkelplot en vegetatieplot";471990;7140;"7140_meso";"Versie 3";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;9;12;1;75;0
"Combinatie cirkelplot en vegetatieplot";472065;1330;"1330_hpr";"Versie 2.0";"Binnen";"Atlantic";63;5,18125;3,2641875;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";472065;1330;"1330_hpr";"Versie 3";"Binnen";"Atlantic";63;5,18125;3,2641875;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";480306;6410;"6410_mo";"Versie 2.0";"Binnen";"Atlantic";100;0,621739130434783;0,621739130434783;8;11;0;72,7272727272727;1
"Combinatie cirkelplot en vegetatieplot";480306;6410;"6410_mo";"Versie 3";"Binnen";"Atlantic";100;0,621739130434783;0,621739130434783;10;13;1;76,9230769230769;0
"Combinatie cirkelplot en vegetatieplot";482290;7140;"7140_meso";"Versie 2.0";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913;5;8;1;62,5;0
"Combinatie cirkelplot en vegetatieplot";482290;7140;"7140_meso";"Versie 3";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913;9;12;1;75;0
"Combinatie cirkelplot en vegetatieplot";487606;6230;"6230_hmo";"Versie 2.0";"Buiten";"Atlantic";70;5,86666666666667;4,10666666666667;7;9;0;77,7777777777778;1
"Combinatie cirkelplot en vegetatieplot";487606;6230;"6230_hmo";"Versie 3";"Buiten";"Atlantic";70;5,86666666666667;4,10666666666667;11;11;0;100;1
"Combinatie cirkelplot en vegetatieplot";498886;6410;"6410_mo";"Versie 2.0";"Binnen";"Atlantic";80;0,621739130434783;0,497391304347826;7;11;1;63,6363636363636;0
"Combinatie cirkelplot en vegetatieplot";498886;6410;"6410_mo";"Versie 3";"Binnen";"Atlantic";80;0,621739130434783;0,497391304347826;9;13;1;69,2307692307692;0
"Combinatie cirkelplot en vegetatieplot";518902;7140;"7140_meso";"Versie 2.0";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913;6;8;1;75;0
"Combinatie cirkelplot en vegetatieplot";518902;7140;"7140_meso";"Versie 3";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913;11;12;1;91,6666666666667;0
"Combinatie cirkelplot en vegetatieplot";530734;6230;"6230_hn";"Versie 2.0";"Binnen";"Atlantic";100;7,67647058823529;7,67647058823529;5;8;1;62,5;0
"Combinatie cirkelplot en vegetatieplot";530734;6230;"6230_hn";"Versie 3";"Binnen";"Atlantic";100;7,67647058823529;7,67647058823529;6;9;1;66,6666666666667;0
"Combinatie cirkelplot en vegetatieplot";540341;1330;"1330_hpr";"Versie 2.0";"Binnen";"Atlantic";85;5,18125;4,4040625;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";540341;1330;"1330_hpr";"Versie 3";"Binnen";"Atlantic";85;5,18125;4,4040625;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";540658;6230;"6230_hn";"Versie 2.0";"Binnen";"Atlantic";80;7,67647058823529;6,14117647058824;6;8;1;75;0
"Combinatie cirkelplot en vegetatieplot";540658;6230;"6230_hn";"Versie 3";"Binnen";"Atlantic";80;7,67647058823529;6,14117647058824;9;9;0;100;1
"Combinatie cirkelplot en vegetatieplot";544902;6230;"6230_ha";"Versie 2.0";"Binnen";"Atlantic";98;9,30666666666667;9,12053333333333;3;6;1;50;0
"Combinatie cirkelplot en vegetatieplot";544902;6230;"6230_ha";"Versie 3";"Binnen";"Atlantic";98;9,30666666666667;9,12053333333333;6;9;1;66,6666666666667;0
"Combinatie cirkelplot en vegetatieplot";576302;6230;"6230_hn";"Versie 2.0";"Binnen";"Atlantic";70;7,67647058823529;5,37352941176471;5;8;1;62,5;0
"Combinatie cirkelplot en vegetatieplot";576302;6230;"6230_hn";"Versie 3";"Binnen";"Atlantic";70;7,67647058823529;5,37352941176471;9;9;0;100;1
"Combinatie cirkelplot en vegetatieplot";583378;6230;"6230_ha";"Versie 2.0";"Binnen";"Atlantic";50;9,30666666666667;4,65333333333333;3;6;1;50;0
"Combinatie cirkelplot en vegetatieplot";583378;6230;"6230_ha";"Versie 3";"Binnen";"Atlantic";50;9,30666666666667;4,65333333333333;7;9;1;77,7777777777778;0
"Combinatie cirkelplot en vegetatieplot";589698;6230;"6230_hnk";"Versie 2.0";"Binnen";"Continental";50;3,6;1,8;5;9;0;55,5555555555556;1
"Combinatie cirkelplot en vegetatieplot";589698;6230;"6230_hnk";"Versie 3";"Binnen";"Continental";50;3,6;1,8;8;9;0;88,8888888888889;1
"Combinatie cirkelplot en vegetatieplot";619506;6230;"6230_ha";"Versie 2.0";"Buiten";"Atlantic";50;25,5333333333333;12,7666666666667;3;6;1;50;0
"Combinatie cirkelplot en vegetatieplot";619506;6230;"6230_ha";"Versie 3";"Buiten";"Atlantic";50;25,5333333333333;12,7666666666667;6;9;2;66,6666666666667;0
"Combinatie cirkelplot en vegetatieplot";627922;6230;"6230_hn";"Versie 2.0";"Binnen";"Atlantic";50;7,67647058823529;3,83823529411765;8;8;0;100;1
"Combinatie cirkelplot en vegetatieplot";627922;6230;"6230_hn";"Versie 3";"Binnen";"Atlantic";50;7,67647058823529;3,83823529411765;9;9;0;100;1
"Combinatie cirkelplot en vegetatieplot";641238;6230;"6230_ha";"Versie 2.0";"Binnen";"Atlantic";100;9,30666666666667;9,30666666666667;4;6;0;66,6666666666667;1
