"ID";"IDPlots";"TypePlot";"Habitattype";"PlotWeight";"HabTarget1";"HabTarget2";"X";"Y";"Date";"SBZH";"BiogeoRegio";"StratumWeight";"fps"
"IV2017010510420097";"842030";"structuurplot";"6230_hn";100;"6230_hn";NA;190621,446661;231502,124965;"2016-06-27";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017010511460749";"530734";"structuurplot";"6230_hn";100;"6230_ha";NA;191421,662118;231822,22665;"2016-06-27";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017010609200485";"908981";"structuurplot";"1330_hpr";60;"1330_hpr";NA;69374,1989606;220462,074998;"2016-09-15";"Binnen";"Atlantic";5,18125;829
"IV2017010610523940";"455349";"structuurplot";"1330_hpr";93;"1330_hpr";NA;63613,789;221017,2619;"2015-08-03";"Binnen";"Atlantic";5,18125;829
"IV2017010611111454";"423762";"structuurplot";"6230_ha";70;"6230_hn";NA;242842,768566;196003,376187;"2016-08-17";"Binnen";"Atlantic";9,30666666666667;1396
"IV2017010612172361";"996353";"structuurplot";"1330_hpr";30;"1330_hpr";NA;58170,9251132;216400,209267;"2015-08-24";"Binnen";"Atlantic";5,18125;829
"IV2017010613314127";"472065";"structuurplot";"1330_hpr";63;"1330_hpr";NA;58173,400285;216238,329926;"2015-08-24";"Binnen";"Atlantic";5,18125;829
"IV2017010616345212";"1117877";"structuurplot";"1330_hpr";50;"1330_hpr";NA;68669,3153;220718,3479;"2015-08-20";"Binnen";"Atlantic";5,18125;829
"IV2017010616490548";"19510";"structuurplot";"6230_hn";50;"6230_hn";NA;198481,708657;188018,678242;"2016-09-08";"Buiten";"Atlantic";9,9;792
"IV2017010617095027";"736949";"structuurplot";"1330_hpr";65;"1330_hpr";NA;69278,7485;220888,1403;"2015-08-12";"Binnen";"Atlantic";5,18125;829
"IV2017010617282387";"212661";"structuurplot";"1330_hpr";90;"1330_hpr";NA;69383,7141;220909,823;"2015-08-13";"Binnen";"Atlantic";5,18125;829
"IV2017010617430082";"801793";"structuurplot";"1330_hpr";85;"1330_hpr";NA;57082,4188;212469,2716;"2015-08-19";"Binnen";"Atlantic";5,18125;829
"IV2017010618124978";"540341";"structuurplot";"1330_hpr";85;"1330_hpr";NA;69693,6403;220686,3289;"2015-08-14";"Binnen";"Atlantic";5,18125;829
"IV2017010911112595";"2438198";"structuurplot";"6230_hmo";50;"6230_hmo";"6410_ve";197821,591973;189902,113583;"2015-06-11";"Binnen";"Atlantic";5,635;1127
"IV2017010915000761";"17475649";"structuurplot";"6410_ve";100;"6410_ve";NA;74173,5919735;200686,113583;"2015-07-10";"Binnen";"Atlantic";1,5;165
"IV2017010922050123";"2664513";"structuurplot";"6410_ve";100;"6410_ve";NA;74205,5919735;200654,113583;"2015-07-10";"Binnen";"Atlantic";1,5;165
"IV2017011212263384";"323154";"structuurplot";"6230_hn";40;"6230_ha";"6230_hn";238346,77185;187353,515041;"2016-07-29";"Buiten";"Atlantic";9,9;792
"IV2017011212535658";"437685";"structuurplot";"1330_hpr";50;"1330_hpr";NA;62428,2246;220892,1052;"2015-08-06";"Binnen";"Atlantic";5,18125;829
"IV2017011215162577";"37557";"structuurplot";"1330_hpr";70;"1330_hpr";NA;64359,5686;219885,4354;"2015-08-11";"Binnen";"Atlantic";5,18125;829
"IV2017011215302636";"798133";"structuurplot";"1330_hpr";100;"1330_hpr";NA;62813,5567;221934,2273;"2015-08-11";"Binnen";"Atlantic";5,18125;829
"IV2017011215545335";"695297";"structuurplot";"1330_hpr";30;"1330_hpr";NA;56765,2699;211970,458;"2015-08-19";"Binnen";"Atlantic";5,18125;829
"IV2017011312251730";"781906";"structuurplot";"6230_hn";70;"6230_ha";"6230_hn";238557,036513;187181,168323;"2016-08-03";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017011813083530";"721906";"structuurplot";"6230_ha";40;"6230_ha";NA;238013,584206;183118,028648;"2016-07-29";"Binnen";"Atlantic";9,30666666666667;1396
"IV2017011814163232";"540658";"structuurplot";"6230_hn";80;"6230_hn";NA;240250,566981;183174,112611;"2016-07-29";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017011816484258";"1436882";"structuurplot";"6230_hmo";20;"6230_hmo";NA;224760,703614;194874,398275;"2016-09-02";"Binnen";"Atlantic";5,635;1127
"IV2017011915010675";"2133734";"structuurplot";"6230_hmo";90;"6230_ha";"6230_hmo";216958,356807;185550,673271;"2016-07-26";"Buiten";"Atlantic";5,86666666666667;176
"IV2017011916524752";"583378";"structuurplot";"6230_ha";50;"6230_ha";NA;223773,675142;189774,317226;"2016-08-18";"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012010235498";"201006";"structuurplot";"6230_hn";47;"6230_ha";NA;191172,272596;230421,097573;"2016-06-27";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017012012273378";"379094";"structuurplot";"6230_ha";100;"6230_ha";NA;177085,516616;217485,966891;"2016-09-06";"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012013020416";"116950";"structuurplot";"6230_ha";100;"6230_ha";NA;176893,891734;217390,23466;"2016-09-06";"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012013475483";"641238";"structuurplot";"6230_ha";100;"6230_ha";NA;176701,501326;217134,036237;"2016-09-06";"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012015481765";"315329";"structuurplot";"6230_ha";100;"6230";NA;78493,7456862;202478,285475;"2016-08-30";"Buiten";"Atlantic";25,5333333333333;766
"IV2017012016374726";"300649";"structuurplot";"6230_hmo";100;"6230_ha";"6230_hmo";129117,874253;214958,227245;"2016-08-31";"Binnen";"Atlantic";5,635;1127
"IV2017012017101191";"576302";"structuurplot";"6230_hn";70;"6230_hn";NA;196834,2935;229517,839203;"2016-09-13";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017012312301685";"745170";"structuurplot";"6230_ha";50;"6230_ha";NA;223869,46554;190126,09923;"2016-08-18";"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012521020429";"141010";"structuurplot";"6230_ha";50;"6230_ha";NA;223741,583583;189870,335566;"2016-08-18";"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012522043706";"59090";"structuurplot";"6230_ha";10;"6230_ha";NA;224157,699539;189710,241778;"2016-08-18";"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012611170830";"220882";"structuurplot";"6230_ha";50;"6230_ha";NA;224157,728228;190094,220201;"2016-08-18";"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012612213288";"696182";"structuurplot";"7140_meso";70;"7140_meso";NA;206269,428506;204142,338964;"2016-09-20";"Binnen";"Atlantic";6,17391304347826;1420
"IV2017012613001528";"89810";"structuurplot";"6230_ha";50;"6230_ha";NA;224349,79904;189934,135965;"2016-08-18";"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012613411763";"648914";"structuurplot";"6230_ha";50;"6230_ha";NA;224285,553688;189710,051691;"2016-08-18";"Binnen";"Atlantic";9,30666666666667;1396
"IV2017012615432844";"1150886";"structuurplot";"6230_hmo";96;"6230_hmo";NA;186145,668783;180300,91448;"2016-07-19";"Binnen";"Atlantic";5,635;1127
"IV2017012620463014";"1216422";"structuurplot";"6230_hmo";90;"6230_hmo";NA;186397,499369;179981,78902;"2016-07-19";"Binnen";"Atlantic";5,635;1127
"IV2017012709211647";"1566033";"structuurplot";"6230_hmo";100;"6230_hmo";NA;51097,5298457;168969,230773;"2016-09-05";"Binnen";"Atlantic";5,635;1127
"IV2017012709434540";"207406";"structuurplot";"6230_hmo";35;"6230_ha";NA;194959,736302;223565,61834;"2016-09-19";"Binnen";"Atlantic";5,635;1127
"IV2017012711062779";"23086";"structuurplot";"7140_oli";58;"7140_oli";NA;194717,59841;225518,00019;"2016-09-19";"Binnen";"Atlantic";9,97272727272727;1097
"IV2017012711292443";"743982";"structuurplot";"6230_hmo";100;"6230_hmo";"6230_hn";194077,725312;225710,133842;"2016-09-19";"Binnen";"Atlantic";5,635;1127
"IV2017012712420281";"58433";"structuurplot";"6230_hn";30;"6230_hmo";NA;76315,364433;198871,14841;"2016-09-05";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017012713261758";"1436718";"structuurplot";"6230_hmo";75;"6230_hmo";NA;193927,761604;218669,6417;"2016-06-20";"Binnen";"Atlantic";5,635;1127
"IV2017012715235876";"4390190";"structuurplot";"6410_ve";100;"6410_ve";NA;187389,591973;232430,113583;"2016-06-10";"Binnen";"Atlantic";1,5;165
"IV2017012716313882";"2760937";"structuurplot";"6410_ve";60;"6410_ve";NA;146557,542056;196046,184558;"2016-09-12";"Binnen";"Atlantic";1,5;165
"IV2017013011050597";"857298";"structuurplot";"6230_hn";70;"6230_hn";NA;219297,999493;197167,077173;"2016-09-09";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017013011553027";"627922";"structuurplot";"6230_hn";50;"6230_hn";NA;219486,338379;196748,438872;"2016-09-09";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017013013060304";"87250";"structuurplot";"6230_hn";30;"6230_hn";NA;220105,392784;196806,712458;"2016-09-09";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017013013460448";"1115122";"structuurplot";"6230_hn";70;"6230_hn";NA;237159,797735;183637,42403;"2016-08-25";"Buiten";"Atlantic";9,9;792
"IV2017013015545827";"619506";"structuurplot";"6230_ha";50;"6230_hn";NA;236605,591973;183342,113583;"2016-08-25";"Buiten";"Atlantic";25,5333333333333;766
"IV2017013110020007";"340978";"structuurplot";"6230_hn";100;"6230_hn";NA;235709,591973;182542,113583;"2016-08-25";"Buiten";"Atlantic";9,9;792
"IV2017020116071546";"1711014";"structuurplot";"6230_hn";70;"6230_ha";"6230_hmo";190141,591973;182094,113583;"2016-08-23";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017020121010797";"3276198";"structuurplot";"6230_hmo";50;"6230_hmo";"6230_hn";188662,648264;175128,216295;"2016-08-23";"Buiten";"Atlantic";5,86666666666667;176
"IV2017020211023566";"487606";"structuurplot";"6230_hmo";70;"6230_hmo";NA;209021,430143;196782,24602;"2016-08-19";"Buiten";"Atlantic";5,86666666666667;176
"IV2017020308164723";"2173889";"structuurplot";"6410_mo";100;"6410_ve";"7140_meso";73015,4154653;205536,863949;"2016-08-30";"Binnen";"Atlantic";0,621739130434783;143
"IV2017020309175600";"4008897";"structuurplot";"6410_mo";100;"6410_ve";"7140_meso";72987,1733862;205531,707453;"2016-08-30";"Binnen";"Atlantic";0,621739130434783;143
