"ID";"IDPlots";"TypePlot";"Habitattype";"PlotWeight";"HabTarget1";"HabTarget2";"X";"Y";"Date";"SBZH";"BiogeoRegio";"StratumWeight";"fps"
"IV2017010511152189";"842030";"vegetatieplot";"6230_hn";100;"6230_hn";NA;190621,446661;231502,124965;"2016-06-27";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017010512181008";"530734";"vegetatieplot";"6230_hn";100;"6230_ha";NA;191421,662118;231822,22665;"2016-06-27";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017010609352959";"908981";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;69374,1989606;220462,074998;"2016-09-15";"Binnen";"Atlantic";5,18125;829
"IV2017010612064228";"455349";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;63613,789;221017,2619;"2015-08-03";"Binnen";"Atlantic";5,18125;829
"IV2017010612593713";"996353";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;58170,9251132;216400,209267;"2015-08-24";"Binnen";"Atlantic";5,18125;829
"IV2017010613221989";"423762";"vegetatieplot";"6230_ha";100;"6230_hn";NA;242842,768566;196003,376187;"2016-08-17";"Binnen";"Atlantic";9,30666666666667;1396
"IV2017010613424129";"472065";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;58173,400285;216238,329926;"2015-08-24";"Binnen";"Atlantic";5,18125;829
"IV2017010616415877";"1117877";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;68669,3153;220718,3479;"2015-08-20";"Binnen";"Atlantic";5,18125;829
"IV2017010617191621";"736949";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;69278,7485;220888,1403;"2015-08-12";"Binnen";"Atlantic";5,18125;829
"IV2017010617362713";"212661";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;69383,7141;220909,823;"2015-08-13";"Binnen";"Atlantic";5,18125;829
"IV2017010617551993";"19510";"vegetatieplot";"6230_hn";100;"6230_hn";NA;198481,708657;188018,678242;"2016-09-08";"Buiten";"Atlantic";9,9;792
"IV2017010618013747";"801793";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;57082,4188;212469,2716;"2015-08-19";"Binnen";"Atlantic";5,18125;829
"IV2017010618211064";"540341";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;69693,6403;220686,3289;"2015-08-14";"Binnen";"Atlantic";5,18125;829
"IV2017010911343112";"2438198";"vegetatieplot";"6230_hmo";100;"6230_hmo";"6410_ve";197821,591973;189902,113583;"2015-06-11";"Binnen";"Atlantic";5,635;1127
"IV2017010916362743";"17475649";"vegetatieplot";"6410_ve";100;"6410_ve";NA;74173,5919735;200686,113583;"2015-07-10";"Binnen";"Atlantic";1,5;165
"IV2017010922225486";"2664513";"vegetatieplot";"6410_ve";100;"6410_ve";NA;74205,5919735;200654,113583;"2015-07-10";"Binnen";"Atlantic";1,5;165
