"Scenario";"Meting";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Belang";"Voorwaarde";"Waarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"VoorwaardeID";"Combinatie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017022111183354";1004470;7140;"7140_meso";"Versie 2.0";"Structuur";"(korst)moslaag";"b";"bedekking moslaag";"51,9751";">=";"10";TRUE;980;"980";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017022111183354";1004470;7140;"7140_meso";"Versie 2.0";"Vegetatie";"bedekking sleutel- en overige soorten";"b";"totale bedekking sleutelsoorten";"40,864";">=";"30";TRUE;2380;"2380 AND 2379";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017022111183354";1004470;7140;"7140_meso";"Versie 2.0";"Vegetatie";"bedekking sleutel- en overige soorten";"b";"totale bedekking sleutel- en overige soorten";"48,995909632";">=";"50";FALSE;2379;"2380 AND 2379";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017022111183354";1004470;7140;"7140_meso";"Versie 2.0";"Structuur";"dominantie van één soort";"b";"dominantie van een soort";"30";"<=";"70";TRUE;1924;"1924";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826
"Combinatie cirkelplot en vegetatieplot";NA;"IV2017022111183354";1004470;7140;"7140_meso";"Versie 2.0";"Structuur";"horizontale structuur";"zb";"bedekking drijflaag";NA;">=";"10";NA;681;"681 AND 1004";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826
"Combinatie cirkelplot en vegetatieplot";NA;"IV2017022111183354";1004470;7140;"7140_meso";"Versie 2.0";"Structuur";"horizontale structuur";"zb";"bedekking open water";NA;">=";"10";NA;1004;"681 AND 1004";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826
"Combinatie cirkelplot en vegetatieplot";NA;"IV2017022111183354";1004470;7140;"7140_meso";"Versie 2.0";"Structuur";"horizontale structuur";"zb";"oppervlakte moeras in ha";NA;">=";"0,1";NA;2289;"2289";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826
"Combinatie cirkelplot en vegetatieplot";NA;"IV2017022111183354";1004470;7140;"7140_meso";"Versie 2.0";"Structuur";"horizontale structuur";"zb";"oppervlakte habitatvlek in ha";NA;">=";"0,01";NA;2261;"2261";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017022111173825";1004470;7140;"7140_meso";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"3";">=";"4";FALSE;364;"364";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017022111183354";1004470;7140;"7140_meso";"Versie 2.0";"Structuur";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"30";TRUE;1234;"1234";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017022111183354";1004470;7140;"7140_meso";"Versie 2.0";"Verstoring";"structuurschade";"b";"bedekking structuurschade";"0";"<";"10";TRUE;1280;"1280";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826
