"Scenario";"Versie";"Habitattype";"Habitatsubtype";"Indicator";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk";"horizontale structuur";"Binnen & Buiten";6;54,8575085368337;0;0;0
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk";"horizontale structuur";"Binnen";5;36,4357858333606;0;0;0
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk";"horizontale structuur";"Buiten";1;18,4217227034731;0;NA;NA
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"bedekking sleutelsoorten";"Binnen & Buiten";49;1138,44408486787;5,58;1,98;14,77
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hu; 6510_hus; 6510_huk";"bedekking sleutelsoorten";"Binnen";34;379,446938090481;4,16;0,96;16,2
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"bedekking sleutelsoorten";"Buiten";15;758,997146777392;6,3;1,59;21,8
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hu";"bedekking sleutelsoorten";"Binnen & Buiten";30;982,087412716567;0;0;0
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hua";"bedekking sleutelsoorten";"Binnen & Buiten";7;83,6191642178022;57,14;22,71;85,82
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_huk";"bedekking sleutelsoorten";"Binnen & Buiten";6;54,8575085368337;28,77;6,1;71,52
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hus";"bedekking sleutelsoorten";"Binnen & Buiten";6;17,8799993966701;0;0;0
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"bedekking sleutelsoorten";"Binnen & Buiten";49;1138,44408486787;4,24;1,3;12,96
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu; 6510_hus; 6510_huk";"bedekking sleutelsoorten";"Binnen";34;379,446938090481;9,57;3,01;26,54
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"bedekking sleutelsoorten";"Buiten";15;758,997146777392;1,57;0,18;12,69
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu";"bedekking sleutelsoorten";"Binnen & Buiten";30;982,087412716567;2,68;0,54;12,22
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hua";"bedekking sleutelsoorten";"Binnen & Buiten";7;83,6191642178022;14,29;1,93;58,59
