"ID";"SBZH";"Habitattype";"Weight";"Date";"Regio";"TypePlot";"Jaar";"RangNr";"StratumWeight";"fps"
"18546";"Binnen";"6510_hu";0,894104962028499;2014-06-05;"Atlantic";"vegetatieopname";2014;1;15,6365103746298;4065
"20217";"Binnen";"6510_hu";1;2016-05-31;"Atlantic";"vegetatieopname";2016;2;15,6365103746298;4065
"38545";"Buiten";"6510_hua";1;2014-05-30;"Atlantic";"vegetatieopname";2014;1;11,9455948882575;836
"41814";"Buiten";"6510_hu";0,637587473719097;2014-06-11;"Atlantic";"vegetatieopname";2014;3;288,82179185185;11553
"47446";"Binnen";"6510_hu";0,544040717384114;2014-06-13;"Atlantic";"vegetatieopname";2014;4;15,6365103746298;4065
"63270";"Buiten";"6510_hu";0,576519132591985;2014-06-06;"Atlantic";"vegetatieopname";2014;5;288,82179185185;11553
"78294";"Binnen";"6510_hu";1;2016-06-03;"Atlantic";"vegetatieopname";2016;6;15,6365103746298;4065
"79986";"Binnen";"6510_hu";0,690272672072116;2014-06-03;"Atlantic";"vegetatieopname";2014;7;15,6365103746298;4065
"99521";"Binnen";"6510_hu";0,560624269479122;2014-06-03;"Atlantic";"vegetatieopname";2014;8;15,6365103746298;4065
"118441";"Buiten";"6510_hu";0,124808913397496;2016-06-13;"Atlantic";"vegetatieopname";2016;9;288,82179185185;11553
"127218";"Binnen";"6510_hu";1;2014-05-19;"Atlantic";"vegetatieopname";2014;10;15,6365103746298;4065
"143382";"Buiten";"6510_hu";0,922031742351525;2016-05-30;"Atlantic";"vegetatieopname";2016;11;288,82179185185;11553
"162790";"Binnen";"6510_hu";0,685502935968961;2014-05-23;"Atlantic";"vegetatieopname";2014;12;15,6365103746298;4065
"206134";"Binnen";"6510_hu";0,797450754551543;2014-06-12;"Atlantic";"vegetatieopname";2014;13;15,6365103746298;4065
"231702";"Binnen";"6510_hus";0,888326262181175;2014-05-27;"Atlantic";"vegetatieopname";2014;1;5,00879977187553;150
"243846";"Binnen";"6510_hu";1;2014-05-22;"Atlantic";"vegetatieopname";2014;14;15,6365103746298;4065
"258390";"Binnen";"6510_hu";1;2015-11-13;"Atlantic";"vegetatieopname";2015;15;15,6365103746298;4065
"308098";"Binnen";"6510_huk";0,831717206774397;2014-05-22;"Continental";"vegetatieopname";2014;1;9,95245647153528;498
"327153";"Buiten";"6510_hus";0,734399853701224;2016-06-15;"Atlantic";"vegetatieopname";2016;2;1,480143935589;44
"333385";"Binnen";"6510_hu";0,535834413435679;2014-06-10;"Atlantic";"vegetatieopname";2014;16;15,6365103746298;4065
"366225";"Buiten";"6510_hua";1;2014-05-30;"Atlantic";"vegetatieopname";2014;2;11,9455948882575;836
"386674";"Binnen";"6510_hu";0,826190011034674;2014-06-02;"Atlantic";"vegetatieopname";2014;17;15,6365103746298;4065
"398529";"Binnen";"6510_hu";0,313336785431129;2014-06-02;"Atlantic";"vegetatieopname";2014;18;15,6365103746298;4065
"409654";"Binnen";"6510_hu";0,844637247864529;2014-05-27;"Atlantic";"vegetatieopname";2014;19;15,6365103746298;4065
"452066";"Binnen";"6510_hu";1;2014-06-11;"Atlantic";"vegetatieopname";2014;20;15,6365103746298;4065
"501046";"Binnen";"6510_hu";1;2014-05-27;"Atlantic";"vegetatieopname";2014;21;15,6365103746298;4065
"528582";"Binnen";"6510_hu";0,731927057455778;2014-06-11;"Atlantic";"vegetatieopname";2014;22;15,6365103746298;4065
"556006";"Binnen";"6510_hu";1;2014-05-23;"Atlantic";"vegetatieopname";2014;23;15,6365103746298;4065
"576033";"Binnen";"6510_hu";0,542693794995355;2016-06-24;"Atlantic";"vegetatieopname";2016;24;15,6365103746298;4065
"589110";"Binnen";"6510_hu";1;2014-06-12;"Atlantic";"vegetatieopname";2014;25;15,6365103746298;4065
"589698";"Binnen";"6510_huk";0,59097963634118;2014-06-04;"Continental";"vegetatieopname";2014;2;9,95245647153528;498
"605493";"Binnen";"6510_hu";0,528374762306686;2014-06-06;"Atlantic";"vegetatieopname";2014;26;15,6365103746298;4065
"636561";"Buiten";"6510_hus";1;2016-06-09;"Atlantic";"vegetatieopname";2016;3;1,480143935589;44
"643970";"Binnen";"6510_hu";1;2014-06-10;"Continental";"vegetatieopname";2014;27;15,6365103746298;4065
"659794";"Binnen";"6510_hu";0,55040691510779;2014-05-20;"Atlantic";"vegetatieopname";2014;28;15,6365103746298;4065
"676914";"Binnen";"6510_hu";1;2014-05-28;"Atlantic";"vegetatieopname";2014;29;15,6365103746298;4065
"677174";"Binnen";"6510_hu";1;2014-06-12;"Atlantic";"vegetatieopname";2014;30;15,6365103746298;4065
"720369";"Buiten";"6510_hua";1;2014-06-11;"Atlantic";"vegetatieopname";2014;3;11,9455948882575;836
