"ID";"SBZH";"Habitattype";"Weight";"Date";"Regio";"TypePlot";"Jaar";"RangNr";"StratumWeight";"fps"
"734";"Binnen";"4010";1;2016-11-18;"Atlantic";"vegetatieopname";2016;1;59,3729147585655;18406
"2610";"Buiten";"4030";1;2014-08-25;"Atlantic";"vegetatieopname";2014;1;375,394417555413;7508
"3026";"Binnen";"4030";0,979180156176559;2014-09-09;"Atlantic";"vegetatieopname";2014;2;114,382132088648;40034
"5330";"Binnen";"2310";1;2014-09-16;"Atlantic";"vegetatieopname";2014;1;41,4513647749938;21555
"5422";"Binnen";"4030";1;2016-10-28;"Atlantic";"vegetatieopname";2016;3;114,382132088648;40034
"8786";"Buiten";"4030";1;2014-09-12;"Atlantic";"vegetatieopname";2014;4;375,394417555413;7508
"8893";"Binnen";"2310";1;2014-09-03;"Atlantic";"vegetatieopname";2014;2;41,4513647749938;21555
"9938";"Binnen";"4030";1;2014-09-01;"Atlantic";"vegetatieopname";2014;5;114,382132088648;40034
"10706";"Binnen";"2310";1;2015-06-01;"Atlantic";"vegetatieopname";2015;3;41,4513647749938;21555
"11218";"Binnen";"4010";0,999970507446378;2014-09-10;"Atlantic";"vegetatieopname";2014;2;59,3729147585655;18406
"11742";"Binnen";"4010";1;2016-10-27;"Atlantic";"vegetatieopname";2016;3;59,3729147585655;18406
"12274";"Binnen";"4030";1;2014-08-22;"Atlantic";"vegetatieopname";2014;6;114,382132088648;40034
"13686";"Binnen";"4030";1;2015-09-10;"Atlantic";"vegetatieopname";2015;7;114,382132088648;40034
"15070";"Binnen";"4010";1;2015-06-26;"Atlantic";"vegetatieopname";2015;4;59,3729147585655;18406
"20178";"Binnen";"2310";1;2014-09-08;"Atlantic";"vegetatieopname";2014;4;41,4513647749938;21555
"20406";"Binnen";"4030";1;2014-09-16;"Atlantic";"vegetatieopname";2014;8;114,382132088648;40034
"21430";"Binnen";"4030";0,765194370313666;2014-09-09;"Atlantic";"vegetatieopname";2014;9;114,382132088648;40034
"21714";"Binnen";"2330_bu";1;2014-09-19;"Atlantic";"vegetatieopname";2014;1;16,7230246124945;5853
"23538";"Binnen";"4010";1;2014-08-25;"Atlantic";"vegetatieopname";2014;5;59,3729147585655;18406
"23762";"Binnen";"2310";1;2014-09-11;"Atlantic";"vegetatieopname";2014;5;41,4513647749938;21555
"26322";"Binnen";"4030";1;2014-09-02;"Atlantic";"vegetatieopname";2014;10;114,382132088648;40034
"27090";"Binnen";"2310";1;2015-06-01;"Atlantic";"vegetatieopname";2015;6;41,4513647749938;21555
