"ID";"Habitattype";"Habitatsubtype";"AnalyseVariabele";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid";"Criterium";"Indicator"
"100050";"4010";"4010";"dwergstruiken";"bedekking dwergstruiken";"87.5";"Percentage";NA;"%";"Structuur";"dwergstruiken"
"100050";"4010";"4010";"veenmoslaag";"bedekking veenmoslaag";"3";"Percentage";NA;"%";"Structuur";"veenmossen"
"100050";"4010";"4010";"verbossing";"bedekking verbossing";"1";"Percentage";NA;"%";"Verstoring";"verbossing"
"100050";"4010";"4010";"vergrassing";"bedekking vergrassing";"1.5";"Percentage";NA;"%";"Verstoring";"vergrassing"
"1003230";"2330";"2330_bu";"pionierStadia";"aantal ontwikkelingsstadia";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"1003230";"2330";"2330_bu";"invasieve_exoten";"bedekking invasieve exoten";"28";"Percentage";NA;"%";"Verstoring";"invasieve exoten"
"1003230";"2330";"2330_bu";"korstmosvegetaties";"bedekking korstmosvegetaties";"0";"Percentage";NA;"%";"Structuur";"korstmosvegetaties"
"1003230";"2330";"2330_bu";"openVegetatie";"bedekking open vegetaties";"34";"Percentage";NA;"%";"Structuur";"horizontale structuur"
"1003230";"2330";"2330_bu";"naakte_bodem";"bedekking open zand";"31";"Percentage";NA;"%";"Structuur";"naakte bodem"
"1003230";"2330";"2330_bu";"verbossing";"bedekking verbossing";"21";"Percentage";NA;"%";"Verstoring";"verbossing"
"1003230";"2330";"2330_bu";"vergrassing";"bedekking vergrassing";"0.6";"Percentage";NA;"%";"Verstoring";"vergrassing"
"102098";"2310";"2310";"ouderdomstadia";"aantal ouderdomsstadia";"4";"Geheel getal";NA;NA;"Structuur";"ouderdomsstructuur Struikheide"
"102098";"2310";"2310";"ouderdomstadiaTalrijk";"aantal talrijke ouderdomsstadia";"2";"Geheel getal";NA;NA;"Structuur";"ouderdomsstructuur Struikheide"
"102098";"2310";"2310";"struikhei";"aanwezigheid struikheide";"1";"Geheel getal";NA;NA;"Vegetatie";"sleutelsoorten"
"102098";"2310";"2310";"dwergstruiken";"bedekking dwergstruiken";"87.5";"Percentage";NA;"%";"Structuur";"dwergstruiken"
"102098";"2310";"2310";"invasieve_exoten";"bedekking invasieve exoten";"1";"Percentage";NA;"%";"Verstoring";"invasieve exoten"
"102098";"2310";"2310";"moslaag";"bedekking moslaag";"1";"Percentage";NA;"%";"Structuur";"(korst)moslaag"
"102098";"2310";"2310";"openVegetatieOfKaalZand";"bedekking open vegetaties";"3";"Percentage";NA;"%";"Structuur";"horizontale structuur"
"102098";"2310";"2310";"naakte_bodem";"bedekking open zand";"1";"Percentage";NA;"%";"Structuur";"horizontale structuur"
"102098";"2310";"2310";"naakte_bodem";"bedekking open zand";"1";"Percentage";NA;"%";"Structuur";"naakte bodem"
"102098";"2310";"2310";"verbossing";"bedekking verbossing";"10";"Percentage";NA;"%";"Verstoring";"verbossing"
"102098";"2310";"2310";"vergrassing";"bedekking vergrassing";"1";"Percentage";NA;"%";"Verstoring";"vergrassing"
"102098";"2310";"2310";"vergrassingEnVerruiging";"bedekking vergrassing/verruiging";"1";"Percentage";NA;"%";"Verstoring";"vergrassing/verruiging"
"102098";"2310";"2310";"verruiging";"bedekking verruiging";"0";"Percentage";NA;"%";"Verstoring";"verruiging"
"102098";"2310";"2310";"climaxOfDegradatieStadium";"climax- of degeneratiestadium aanwezig";"2";"Geheel getal";NA;NA;"Structuur";"ouderdomsstructuur Struikheide"
"102098";"2310";"2310";"mozaiek2330";"mozaïek met 2330";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur"
"1043410";"2330";"2330_bu";"pionierStadia";"aantal ontwikkelingsstadia";"4";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"1043410";"2330";"2330_bu";"invasieve_exoten";"bedekking invasieve exoten";"75";"Percentage";NA;"%";"Verstoring";"invasieve exoten"
"1043410";"2330";"2330_bu";"korstmosvegetaties";"bedekking korstmosvegetaties";"1";"Percentage";NA;"%";"Structuur";"korstmosvegetaties"
"1043410";"2330";"2330_bu";"openVegetatie";"bedekking open vegetaties";"47";"Percentage";NA;"%";"Structuur";"horizontale structuur"
"1043410";"2330";"2330_bu";"naakte_bodem";"bedekking open zand";"0.5";"Percentage";NA;"%";"Structuur";"naakte bodem"
"1043410";"2330";"2330_bu";"verbossing";"bedekking verbossing";"6";"Percentage";NA;"%";"Verstoring";"verbossing"
"1043410";"2330";"2330_bu";"vergrassing";"bedekking vergrassing";"3";"Percentage";NA;"%";"Verstoring";"vergrassing"
"105682";"2310";"2310";"ouderdomstadia";"aantal ouderdomsstadia";"3";"Geheel getal";NA;NA;"Structuur";"ouderdomsstructuur Struikheide"
"105682";"2310";"2310";"ouderdomstadiaTalrijk";"aantal talrijke ouderdomsstadia";"2";"Geheel getal";NA;NA;"Structuur";"ouderdomsstructuur Struikheide"
"105682";"2310";"2310";"struikhei";"aanwezigheid struikheide";"1";"Geheel getal";NA;NA;"Vegetatie";"sleutelsoorten"
"105682";"2310";"2310";"dwergstruiken";"bedekking dwergstruiken";"0";"Percentage";NA;"%";"Structuur";"dwergstruiken"
"105682";"2310";"2310";"invasieve_exoten";"bedekking invasieve exoten";"1";"Percentage";NA;"%";"Verstoring";"invasieve exoten"
"105682";"2310";"2310";"moslaag";"bedekking moslaag";"1.5";"Percentage";NA;"%";"Structuur";"(korst)moslaag"
"105682";"2310";"2310";"openVegetatieOfKaalZand";"bedekking open vegetaties";"6";"Percentage";NA;"%";"Structuur";"horizontale structuur"
"105682";"2310";"2310";"naakte_bodem";"bedekking open zand";"1.5";"Percentage";NA;"%";"Structuur";"horizontale structuur"
"105682";"2310";"2310";"naakte_bodem";"bedekking open zand";"1.5";"Percentage";NA;"%";"Structuur";"naakte bodem"
