"Scenario";"Versie";"Habitattype";"Habitatsubtype";"Indicator";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4010";"4010";"dwergstruiken";"Binnen & Buiten";31;1785,859044613;58,09;40,11;74,15
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4010";"4010";"dwergstruiken";"Binnen & Buiten";31;1785,859044613;58,09;40,11;74,15
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4010";"4010";"veenmossen";"Binnen & Buiten";31;1785,859044613;29,07;15,68;47,47
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4010";"4010";"aantal veenmossen";"Binnen & Buiten";31;1785,859044613;3,32;0,45;20,68
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4010";"4010";"sleutelsoorten";"Binnen & Buiten";31;1785,859044613;32,45;18,23;50,86
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4010";"4010";"sleutelsoorten";"Binnen & Buiten";31;1785,859044613;0;0;0
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4010";"4010";"verbossing";"Binnen & Buiten";31;1785,859044613;96,68;79,32;99,55
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4010";"4010";"verbossing";"Binnen & Buiten";31;1785,859044613;80,05;61,85;90,85
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4010";"4010";"vergrassing";"Binnen & Buiten";31;1785,859044613;37,53;22,32;55,68
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4010";"4010";"vergrassing";"Binnen & Buiten";31;1785,859044613;37,53;22,32;55,68
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"horizontale structuur";"Binnen & Buiten";37;731,878328850458;95,83;86,03;98,85
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"horizontale structuur";"Binnen";35;547,883826158273;94,44;81,59;98,48
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"horizontale structuur";"Buiten";2;183,994502692185;100;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"horizontale structuur";"Binnen & Buiten";37;731,878328850458;88,98;76,63;95,21
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"horizontale structuur";"Binnen";35;547,883826158273;85,28;69,29;93,7
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"horizontale structuur";"Buiten";2;183,994502692185;100;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"korstmosvegetaties";"Binnen & Buiten";37;731,878328850458;55,85;29,14;79,55
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"korstmosvegetaties";"Binnen";35;547,883826158273;57,81;40,63;73,28
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"korstmosvegetaties";"Buiten";2;183,994502692185;50;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"naakte bodem";"Binnen & Buiten";37;731,878328850458;44,23;20,5;70,92
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"naakte bodem";"Binnen";35;547,883826158273;42,29;26,8;59,46
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"naakte bodem";"Buiten";2;183,994502692185;50;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"naakte bodem";"Binnen & Buiten";37;731,878328850458;44,23;20,5;70,92
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"naakte bodem";"Binnen";35;547,883826158273;42,29;26,8;59,46
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"naakte bodem";"Buiten";2;183,994502692185;50;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"sleutelsoorten";"Binnen & Buiten";37;731,878328850458;62,63;34,17;84,4
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"sleutelsoorten";"Binnen";35;547,883826158273;66,87;49,4;80,66
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"sleutelsoorten";"Buiten";2;183,994502692185;50;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"sleutelsoorten";"Binnen & Buiten";37;731,878328850458;2,28;0,31;14,78
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"sleutelsoorten";"Binnen";35;547,883826158273;3,05;0,42;19,16
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"sleutelsoorten";"Buiten";2;183,994502692185;0;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"invasieve exoten";"Binnen & Buiten";37;731,878328850458;80,58;44,46;95,55
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"invasieve exoten";"Binnen";35;547,883826158273;90,84;74,87;97,06
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"invasieve exoten";"Buiten";2;183,994502692185;50;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"invasieve exoten";"Binnen & Buiten";37;731,878328850458;80,58;44,46;95,55
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"invasieve exoten";"Binnen";35;547,883826158273;90,84;74,87;97,06
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"invasieve exoten";"Buiten";2;183,994502692185;50;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"verbossing";"Binnen & Buiten";37;731,878328850458;40,59;28,7;53,69
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"verbossing";"Binnen";35;547,883826158273;54,22;37,27;70,24
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"verbossing";"Buiten";2;183,994502692185;0;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"verbossing";"Binnen & Buiten";37;731,878328850458;55,44;28,82;79,27
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"verbossing";"Binnen";35;547,883826158273;57,27;40,06;72,88
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"verbossing";"Buiten";2;183,994502692185;50;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"vergrassing";"Binnen & Buiten";37;731,878328850458;80,16;66,45;89,18
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"vergrassing";"Binnen";35;547,883826158273;73,5;56,04;85,78
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2330";"2330_bu";"vergrassing";"Buiten";2;183,994502692185;100;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"vergrassing";"Binnen & Buiten";37;731,878328850458;80,16;66,45;89,18
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"vergrassing";"Binnen";35;547,883826158273;73,5;56,04;85,78
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2330";"2330_bu";"vergrassing";"Buiten";2;183,994502692185;100;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2310";"2310";"(korst)moslaag";"Binnen & Buiten";52;2043,91431583212;70,01;55,95;81,1
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2310";"2310";"dwergstruiken";"Binnen & Buiten";52;2043,91431583212;63,91;49,91;75,89
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2310";"2310";"dwergstruiken";"Binnen & Buiten";52;2043,91431583212;59,85;45,88;72,39
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2310";"2310";"naakte bodem";"Binnen & Buiten";52;2043,91431583212;53,08;39,37;66,34
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2310";"2310";"ouderdomsstructuur Struikheide";"Binnen & Buiten";52;2043,91431583212;50,87;37,29;64,32
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2310";"2310";"ouderdomsstructuur Struikheide";"Binnen & Buiten";52;2043,91431583212;31,03;19,82;45,02
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2310";"2310";"sleutelsoorten";"Binnen & Buiten";52;2043,91431583212;44,54;31,5;58,38
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2310";"2310";"sleutelsoorten";"Binnen & Buiten";52;2043,91431583212;40,48;27,9;54,46
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2310";"2310";"invasieve exoten";"Binnen & Buiten";52;2043,91431583212;85,8;72,98;93,11
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2310";"2310";"invasieve exoten";"Binnen & Buiten";52;2043,91431583212;85,8;72,98;93,11
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2310";"2310";"verbossing";"Binnen & Buiten";52;2043,91431583212;82,44;69,38;90,68
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2310";"2310";"verbossing";"Binnen & Buiten";52;2043,91431583212;78,38;64,87;87,69
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"2310";"2310";"vergrassing/verruiging";"Binnen & Buiten";52;2043,91431583212;73,87;60,22;84,08
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2310";"2310";"horizontale structuur";"Binnen & Buiten";52;2043,91431583212;52,34;38,66;65,68
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2310";"2310";"vergrassing";"Binnen & Buiten";52;2043,91431583212;73,87;60,22;84,08
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"2310";"2310";"verruiging";"Binnen & Buiten";52;2043,91431583212;100;100;100
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"dwergstruiken";"Binnen & Buiten";37;4529,08558603927;49,09;28,92;69,56
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"dwergstruiken";"Binnen";35;3778,29675092845;48,91;32,64;65,4
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"dwergstruiken";"Buiten";2;750,788835110827;50;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"dwergstruiken";"Binnen & Buiten";37;4529,08558603927;41,51;22,73;63,13
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"dwergstruiken";"Binnen";35;3778,29675092845;39,82;24,81;57,03
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"dwergstruiken";"Buiten";2;750,788835110827;50;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"ouderdomsstructuur Struikheide";"Binnen & Buiten";37;4529,08558603927;84,87;58,08;95,78
