"ID";"SBZH";"Habitattype";"Weight";"Regio";"TypePlot";"Jaar";"StratumWeight";"Date"
"100050";"Binnen";"4010";0,759792926627744;"Atlantic";"vegetatieopname";2014;59,3729147585655;2014-09-01
"1003230";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;16,7230246124945;2016-09-15
"102098";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-11
"1043410";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2017;16,7230246124945;2017-07-28
"105682";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-08
"106614";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-11-17
"10706";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2015;41,4513647749938;2015-06-01
"1076854";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;16,7230246124945;2016-10-04
"1085366";"Binnen";"2330_bu";0,683402483695316;"Atlantic";"vegetatieopname";2017;16,7230246124945;2017-07-20
"1092434";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2017;16,7230246124945;2017-07-10
"1110750";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;16,7230246124945;2016-10-03
"111326";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2014;59,3729147585655;2014-08-19
"11218";"Binnen";"4010";0,999970507446378;"Atlantic";"vegetatieopname";2014;59,3729147585655;2014-09-10
"115422";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2015;41,4513647749938;2015-06-23
"117202";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-10
"11742";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-10-27
"120018";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2014;59,3729147585655;2014-09-15
"120110";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2014;59,3729147585655;2014-09-24
"122578";"Binnen";"4010";0,7284374379628;"Atlantic";"vegetatieopname";2014;59,3729147585655;2014-08-29
"12274";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-08-22
"124278";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-23
"124382";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-10-12
"125394";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2015;41,4513647749938;2015-06-01
"125998";"Binnen";"4030";0,867530016283834;"Atlantic";"vegetatieopname";2016;114,382132088648;2016-10-24
"127710";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2016;41,4513647749938;2016-11-16
"129234";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2014;59,3729147585655;2014-09-11
"131806";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-10-20
"134098";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-09
"136402";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-16
"13686";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2015;114,382132088648;2015-09-10
"144094";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-03
"15070";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2015;59,3729147585655;2015-06-26
"151250";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-08
"152786";"Binnen";"2310";0,704694860742418;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-19
"170834";"Buiten";"2330_bu";1;"Atlantic";"vegetatieopname";2017;91,9972513460925;2017-07-07
"177078";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-09-10
"20178";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-08
"20406";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-16
"213942";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-09-05
"21430";"Binnen";"4030";0,765194370313666;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-09
"21714";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-09-19
"218322";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-19
"225910";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-09-23
"226230";"Binnen";"2330_bu";0,256367175307593;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-09-08
"23538";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2014;59,3729147585655;2014-08-25
"236370";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-08-27
"23762";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-11
"2610";"Buiten";"4030";1;"Atlantic";"vegetatieopname";2014;375,394417555413;2014-08-25
"26322";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-02
"267190";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-08
"27090";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2015;41,4513647749938;2015-06-01
"27602";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-09
"279478";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2014;59,3729147585655;2014-09-03
"28126";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-10-11
"28370";"Binnen";"2310";0,871001951894246;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-08-28
"28658";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-08-21
"29406";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-08-21
"295862";"Binnen";"2330_bu";0,223782656804328;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-09-03
"29622";"Binnen";"2310";0,698568377871301;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-08
"3026";"Binnen";"4030";0,979180156176559;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-09
"304338";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-22
"306130";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-10
"32466";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-11
"331702";"Binnen";"2310";0,76238754517531;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-16
"332726";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-05
"33502";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2016;114,382132088648;2016-10-20
"33718";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-09-02
"34514";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-08-28
"35090";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2015;59,3729147585655;2015-09-24
"35794";"Binnen";"2310";0,787287434265829;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-11
"361398";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-09-02
"37330";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-08-28
"38098";"Binnen";"2310";0,840973736859655;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-17
"386422";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-09-23
"398546";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-15
"40054";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-11-28
"40146";"Binnen";"4030";0,731121458361115;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-08
"42934";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;114,382132088648;2014-09-10
"431314";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-09-17
"43230";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;59,3729147585655;2016-11-21
"433362";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,4513647749938;2014-09-08
"43566";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2015;114,382132088648;2015-06-25
"43858";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2014;16,7230246124945;2014-08-28
