"ID";"Kenmerk";"Waarde";"Vegetatielaag";"TypeKenmerk";"Type";"Invoertype";"Eenheid"
"734";"Calluna vulgaris (L.) Hull";20;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"734";"Erica tetralix L.";40;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"734";"Molinia caerulea (L.) Moench";40;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"734";"Pinus sylvestris L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"734";"Sphagnum cuspidatum";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"734";"Sphagnum denticulatum";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"734";"Sphagnum species";2;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"2610";"Calluna vulgaris (L.) Hull";97;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"2610";"Quercus robur L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"2610";"Campylopus introflexus";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"2610";"Dicranella species";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"2610";"Dicranum scoparium";2;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"2610";"Hypnum jutlandicum";90;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"2610";"Pleurozium schreberi";4;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"2610";"Quercus robur L.";1;"struiklaag";"Soort_Latijn";"Percentage";NA;"%"
"3026";"Calluna vulgaris (L.) Hull";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"3026";"Erica tetralix L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"3026";"Molinia caerulea (L.) Moench";97;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"3026";"Hypnum jutlandicum";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"5330";"Agrostis vinealis Schreb.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"5330";"Calluna vulgaris (L.) Hull";70;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"5330";"Carex pilulifera L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"5330";"Deschampsia flexuosa (L.) Trin.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"5330";"Festuca filiformis Pourr.";12;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"5330";"Molinia caerulea (L.) Moench";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"5330";"Rumex acetosella L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"5330";"Campylopus introflexus";2;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"5330";"Hypnum jutlandicum";50;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"5330";"Polytrichum species";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"5422";"Betula";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"5422";"Calluna vulgaris (L.) Hull";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"5422";"Carex panicea L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"5422";"Erica tetralix L.";12;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"5422";"Molinia caerulea (L.) Moench";60;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"5422";"Rubus";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"5422";"Salix";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"5422";"Campylopus introflexus";70;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"8786";"Pinus sylvestris L.";4;"boomlaag";"Soort_Latijn";"Percentage";NA;"%"
"8786";"Agrostis capillaris L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"8786";"Deschampsia flexuosa (L.) Trin.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"8786";"Pinus sylvestris L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"8786";"Quercus robur L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"8786";"Rumex acetosella L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"8786";"Hypnum jutlandicum";90;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"8786";"Pleurozium schreberi";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"8786";"Pseudoscleropodium purum";4;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"8786";"Pinus sylvestris L.";30;"struiklaag";"Soort_Latijn";"Percentage";NA;"%"
"8893";"Agrostis capillaris L.";10;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"8893";"Aira praecox L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"8893";"Calluna vulgaris (L.) Hull";30;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"8893";"Carex arenaria L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"8893";"Deschampsia flexuosa (L.) Trin.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"8893";"Molinia caerulea (L.) Moench";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"8893";"Rumex acetosella L.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"8893";"Campylopus introflexus";90;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"8893";"Dicranum";2;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"8893";"Hypnum jutlandicum";2;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"8893";"Polytrichum commune";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"8893";"Polytrichum juniperinum";2;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"9938";"Calluna vulgaris (L.) Hull";52;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"9938";"Carex pilulifera L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"9938";"Deschampsia flexuosa (L.) Trin.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"9938";"Pinus sylvestris L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"9938";"Dicranella species";2;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"9938";"Hypnum jutlandicum";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"10706";"Calluna vulgaris (L.) Hull";20;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"10706";"Carex pilulifera L.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"10706";"Deschampsia flexuosa (L.) Trin.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"10706";"Molinia caerulea (L.) Moench";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"10706";"Campylopus introflexus";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"10706";"Dicranella species";7;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"10706";"Hypnum jutlandicum";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"10706";"Polytrichum juniperinum";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"11218";"Erica tetralix L.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"11218";"Molinia caerulea (L.) Moench";97;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"11218";"Drepanocladus fluitans";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"11218";"Sphagnum denticulatum";60;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"11742";"Calluna vulgaris (L.) Hull";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"11742";"Erica tetralix L.";50;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"11742";"Molinia caerulea (L.) Moench";50;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"11742";"Scirpus cespitosus L.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"12274";"Agrostis capillaris L.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"12274";"Calamagrostis epigejos (L.) Roth";52;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"12274";"Calluna vulgaris (L.) Hull";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"12274";"Deschampsia flexuosa (L.) Trin.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"12274";"Dryopteris carthusiana (Vill.) H.P. Fuchs";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"12274";"Dryopteris filix-mas (L.) Schott";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"12274";"Molinia caerulea (L.) Moench";40;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"12274";"Rubus fruticosus groep";30;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"12274";"Hypnum species";60;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"13686";"Agrostis capillaris L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"13686";"Deschampsia flexuosa (L.) Trin.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"13686";"Festuca filiformis Pourr.";60;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"13686";"Molinia caerulea (L.) Moench";20;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"13686";"Rumex acetosella L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"13686";"Campylopus introflexus";60;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"13686";"Hypnum species";30;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"15070";"Betula pubescens Ehrh.";2;"boomlaag";"Soort_Latijn";"Percentage";NA;"%"
"15070";"Erica tetralix L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"15070";"Molinia caerulea (L.) Moench";90;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"15070";"Quercus robur L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"15070";"Salix repens L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"15070";"Hypnum species";20;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"15070";"Betula pubescens Ehrh.";1;"struiklaag";"Soort_Latijn";"Percentage";NA;"%"
"20178";"Calluna vulgaris (L.) Hull";80;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20178";"Carex pilulifera L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20178";"Erica tetralix L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20178";"Molinia caerulea (L.) Moench";30;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20178";"Pinus sylvestris L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20178";"Campylopus introflexus";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"20178";"Dicranella species";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"20178";"Dicranum scoparium";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"20178";"Hypnum jutlandicum";7;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"20406";"Agrostis vinealis Schreb.";12;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20406";"Calluna vulgaris (L.) Hull";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20406";"Carex pilulifera L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20406";"Deschampsia flexuosa (L.) Trin.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20406";"Erica tetralix L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20406";"Festuca filiformis Pourr.";12;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20406";"Molinia caerulea (L.) Moench";50;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20406";"Polygonum aviculare L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20406";"Rumex acetosella L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20406";"Veronica";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"20406";"Dicranella species";2;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"20406";"Hypnum jutlandicum";4;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"21430";"Betula";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"21430";"Calluna vulgaris (L.) Hull";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"21430";"Carex pilulifera L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"21430";"Deschampsia flexuosa (L.) Trin.";40;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"21430";"Dryopteris dilatata (Hoffmann) A. Gray";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"21430";"Molinia caerulea (L.) Moench";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"21430";"Pinus nigra Arnold subsp. laricio Maire";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"21430";"Potentilla erecta (L.) Räuschel";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"21430";"Vaccinium myrtillus L.";50;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"21430";"Ctenidium molluscum";NA;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"21430";"Dicranella species";NA;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"21430";"Hypnum species";NA;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"21430";"Polytrichum commune";NA;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"21714";"Corynephorus canescens (L.) Beauv.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23538";"Betula";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23538";"Frangula alnus Mill.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23538";"Molinia caerulea (L.) Moench";97;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23538";"Myrica gale L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23538";"Pinus sylvestris L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23538";"Prunus serotina Ehrh.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23538";"Quercus robur L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23538";"Rubus fruticosus groep";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23538";"Vaccinium myrtillus L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23538";"Dicranella species";1;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"23538";"Hypnum jutlandicum";2;"moslaag";"Soort_Latijn";"Percentage";NA;"%"
"23762";"Calluna vulgaris (L.) Hull";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23762";"Carex pilulifera L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23762";"Deschampsia flexuosa (L.) Trin.";12;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23762";"Luzula campestris (L.) DC.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23762";"Molinia caerulea (L.) Moench";90;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"23762";"Rumex acetosella L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
