"ID";"Habitattype";"Habitatsubtype";"AnalyseVariabele";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid";"Criterium";"Indicator"
"1007490";"6510";"6510_huk";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"1007490";"6510";"6510_huk";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"1152657";"6510";"6510_hua";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"1152657";"6510";"6510_hua";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"118441";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"30";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"118441";"6510";"6510_hu";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"127218";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"20";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"127218";"6510";"6510_hu";"verbossing";"bedekking verbossing";"5";"Percentage";NA;"%";"Verstoring";"verbossing"
"1280278";"6510";"6510_hus";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"1280278";"6510";"6510_hus";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"143382";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"143382";"6510";"6510_hu";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"1487746";"6510";"6510_huk";"strooisellaag";"bedekking strooisellaag";"1";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"1487746";"6510";"6510_huk";"verbossing";"bedekking verbossing";"10";"Percentage";NA;"%";"Verstoring";"verbossing"
"1569666";"6510";"6510_huk";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"1569666";"6510";"6510_huk";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"1618818";"6510";"6510_huk";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"1618818";"6510";"6510_huk";"verbossing";"bedekking verbossing";"45";"Percentage";NA;"%";"Verstoring";"verbossing"
"162790";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"162790";"6510";"6510_hu";"verbossing";"bedekking verbossing";"1";"Percentage";NA;"%";"Verstoring";"verbossing"
"18546";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"18546";"6510";"6510_hu";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"20217";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"1";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"20217";"6510";"6510_hu";"verbossing";"bedekking verbossing";"42";"Percentage";NA;"%";"Verstoring";"verbossing"
"206134";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"206134";"6510";"6510_hu";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"231702";"6510";"6510_hus";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"231702";"6510";"6510_hus";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"2328854";"6510";"6510_hus";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"2328854";"6510";"6510_hus";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"243846";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"1";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"243846";"6510";"6510_hu";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"258390";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"258390";"6510";"6510_hu";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"2867990";"6510";"6510_hus";"strooisellaag";"bedekking strooisellaag";"1";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"2867990";"6510";"6510_hus";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"308098";"6510";"6510_huk";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"308098";"6510";"6510_huk";"verbossing";"bedekking verbossing";"50";"Percentage";NA;"%";"Verstoring";"verbossing"
"327153";"6510";"6510_hus";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"327153";"6510";"6510_hus";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"333385";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"35";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"333385";"6510";"6510_hu";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"366225";"6510";"6510_hua";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"366225";"6510";"6510_hua";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"38545";"6510";"6510_hua";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"38545";"6510";"6510_hua";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"386674";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"386674";"6510";"6510_hu";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"398529";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"398529";"6510";"6510_hu";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"409654";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"409654";"6510";"6510_hu";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"41814";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"41814";"6510";"6510_hu";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"452066";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"452066";"6510";"6510_hu";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"47446";"6510";"6510_hu";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"47446";"6510";"6510_hu";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
