"Schaal";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";"Versie 2.0";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"Binnen & Buiten";49;1138,44408486787;82,59;64,16;92,63
"Vlaanderen";"Versie 2.0";6510;"6510_hu; 6510_hus; 6510_huk";"Binnen";34;379,446938090481;75,1;58,2;86,73
"Vlaanderen";"Versie 2.0";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"Buiten";15;758,997146777392;86,33;59,55;96,44
"Vlaanderen";"Versie 2.0";6510;"6510_hu";"Binnen & Buiten";30;982,087412716567;89,78;72,12;96,75
"Vlaanderen";"Versie 2.0";6510;"6510_hua";"Binnen & Buiten";7;83,6191642178025;42,86;13,74;77,93
"Vlaanderen";"Versie 2.0";6510;"6510_huk";"Binnen & Buiten";6;54,8575085368337;28,77;6,13;71,41
"Vlaanderen";"Versie 2.0";6510;"6510_hus";"Binnen & Buiten";6;17,8799993966701;38,82;9,01;80,26
"Vlaanderen Atlantisch";"Versie 2.0";6510;"6510_hua; 6510_hu; 6510_hus";"Binnen & Buiten";42;1067,95006595641;85,1;66,72;94,21
"Vlaanderen Atlantisch";"Versie 2.0";6510;"6510_hu; 6510_hus";"Binnen";28;327,37464188249;77,45;58,61;89,28
"Vlaanderen Atlantisch";"Versie 2.0";6510;"6510_hua; 6510_hu; 6510_hus";"Buiten";14;740,575424073919;88,48;62,42;97,26
"Vlaanderen Atlantisch";"Versie 2.0";6510;"6510_hu";"Binnen & Buiten";29;966,450902341937;89,61;71,56;96,73
"Vlaanderen Atlantisch";"Versie 2.0";6510;"6510_hua";"Binnen & Buiten";7;83,6191642178025;42,86;13,69;78
"Vlaanderen Atlantisch";"Versie 2.0";6510;"6510_hus";"Binnen & Buiten";6;17,8799993966701;38,82;8,97;80,35
"Vlaanderen";"Versie 3";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"Binnen & Buiten";49;1138,44408486787;9,01;3,85;19,67
"Vlaanderen";"Versie 3";6510;"6510_hu; 6510_hus; 6510_huk";"Binnen";34;379,446938090481;27,03;13,99;45,75
"Vlaanderen";"Versie 3";6510;"6510_huk; 6510_hua; 6510_hu; 6510_hus";"Buiten";15;758,997146777392;0;0;0
"Vlaanderen";"Versie 3";6510;"6510_hu";"Binnen & Buiten";30;982,087412716567;8,83;3,25;21,84
"Vlaanderen";"Versie 3";6510;"6510_hua";"Binnen & Buiten";7;83,6191642178025;0;0;0
"Vlaanderen";"Versie 3";6510;"6510_huk";"Binnen & Buiten";6;54,8575085368337;28,86;6,16;71,48
"Vlaanderen";"Versie 3";6510;"6510_hus";"Binnen & Buiten";6;17,8799993966701;0;0;0
"Vlaanderen Atlantisch";"Versie 3";6510;"6510_hua; 6510_hu; 6510_hus";"Binnen & Buiten";42;1067,95006595641;8,12;3,19;19,16
"Vlaanderen Atlantisch";"Versie 3";6510;"6510_hu; 6510_hus";"Binnen";28;327,37464188249;26,49;12,58;47,43
"Vlaanderen Atlantisch";"Versie 3";6510;"6510_hua; 6510_hu; 6510_hus";"Buiten";14;740,575424073919;0;0;0
"Vlaanderen Atlantisch";"Versie 3";6510;"6510_hu";"Binnen & Buiten";29;966,450902341937;8,97;3,31;22,13
"Vlaanderen Atlantisch";"Versie 3";6510;"6510_hua";"Binnen & Buiten";7;83,6191642178025;0;0;0
"Vlaanderen Atlantisch";"Versie 3";6510;"6510_hus";"Binnen & Buiten";6;17,8799993966701;0;0;0
