"Scenario";"Schaal";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2310;"2310";"Structuur";"(korst)moslaag";"b";"Binnen & Buiten";52;2049,0623673608;70,01;55,95;81,1
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2310;"2310";"Structuur";"dwergstruiken";"b";"Binnen & Buiten";52;2049,0623673608;63,91;49,91;75,89
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2310;"2310";"Structuur";"naakte bodem";"zb";"Binnen & Buiten";52;2049,0623673608;53,08;39,37;66,34
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2310;"2310";"Structuur";"ouderdomsstructuur Struikheide";"b";"Binnen & Buiten";52;2049,0623673608;50,87;37,29;64,32
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2310;"2310";"Vegetatie";"sleutelsoorten";"b";"Binnen & Buiten";52;2049,0623673608;44,54;31,5;58,38
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2310;"2310";"Verstoring";"invasieve exoten";"zb";"Binnen & Buiten";52;2049,0623673608;85,8;72,98;93,11
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2310;"2310";"Verstoring";"verbossing";"b";"Binnen & Buiten";52;2049,0623673608;82,44;69,38;90,68
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2310;"2310";"Verstoring";"vergrassing/verruiging";"zb";"Binnen & Buiten";52;2049,0623673608;73,87;60,22;84,08
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 3";2310;"2310";"Structuur";"dwergstruiken";"b";"Binnen & Buiten";52;2049,0623673608;59,85;45,88;72,39
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 3";2310;"2310";"Structuur";"horizontale structuur";"zb";"Binnen & Buiten";52;2049,0623673608;52,34;38,66;65,68
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 3";2310;"2310";"Structuur";"ouderdomsstructuur Struikheide";"b";"Binnen & Buiten";52;2049,0623673608;31,03;19,82;45,02
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 3";2310;"2310";"Vegetatie";"sleutelsoorten";"b";"Binnen & Buiten";52;2049,0623673608;40,48;27,9;54,46
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 3";2310;"2310";"Verstoring";"invasieve exoten";"zb";"Binnen & Buiten";52;2049,0623673608;85,8;72,98;93,11
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 3";2310;"2310";"Verstoring";"verbossing";"b";"Binnen & Buiten";52;2049,0623673608;78,38;64,87;87,69
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 3";2310;"2310";"Verstoring";"vergrassing";"zb";"Binnen & Buiten";52;2049,0623673608;73,87;60,22;84,08
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 3";2310;"2310";"Verstoring";"verruiging";"zb";"Binnen & Buiten";52;2049,0623673608;100;100;100
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2330;"2330_bu";"Structuur";"horizontale structuur";"zb";"Binnen & Buiten";37;796,107316076219;95,99;85,76;98,96
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2330;"2330_bu";"Structuur";"korstmosvegetaties";"b";"Binnen & Buiten";37;796,107316076219;55,63;32,87;76,25
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2330;"2330_bu";"Structuur";"naakte bodem";"zb";"Binnen & Buiten";37;796,107316076219;44,44;23,81;67,19
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2330;"2330_bu";"Vegetatie";"sleutelsoorten";"b";"Binnen & Buiten";37;796,107316076219;62,16;37,88;81,57
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2330;"2330_bu";"Verstoring";"invasieve exoten";"zb";"Binnen & Buiten";37;796,107316076219;79,44;47;94,39
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2330;"2330_bu";"Verstoring";"verbossing";"b";"Binnen & Buiten";37;796,107316076219;39,08;21,7;59,75
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"Habitattype";"Versie 2.0";2330;"2330_bu";"Verstoring";"vergrassing";"zb";"Binnen & Buiten";37;796,107316076219;80,9;64,08;90,95
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"SBZH";"Versie 2.0";2330;"2330_bu";"Structuur";"horizontale structuur";"zb";"Binnen";35;573,807316076219;94,44;81,61;98,48
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"SBZH";"Versie 2.0";2330;"2330_bu";"Structuur";"horizontale structuur";"zb";"Buiten";2;222,3;100;NA;NA
"Combinatie cirkelplot en vegetatieplot";"Vlaanderen";"SBZH";"Versie 2.0";2330;"2330_bu";"Structuur";"korstmosvegetaties";"b";"Binnen";35;573,807316076219;57,81;40,65;73,27
