"ID";"SBZH";"Habitattype";"Weight";"Date";"Regio";"X";"Y";"TypePlot";"Jaar";"RangNr";"StratumWeight";"fps"
"18546";"Binnen";"6510_hu";0,894104962028499;2014-06-05;"Atlantic";229727,006;163889,891;"vegetatieopname";2014;1;14,8423076923077;3859
"20217";"Binnen";"6510_hu";1;2016-05-31;"Atlantic";124254,256;182637,389;"vegetatieopname";2016;2;14,8423076923077;3859
"38545";"Buiten";"6510_hua";1;2014-05-30;"Atlantic";37918,266;183977,96;"vegetatieopname";2014;1;15,1;1057
"41814";"Buiten";"6510_hu";0,637587473719097;2014-06-11;"Atlantic";176797,805;191919,556;"vegetatieopname";2014;3;304,3;12172
"47446";"Binnen";"6510_hu";0,544040717384114;2014-06-13;"Atlantic";184125,981;189199,884;"vegetatieopname";2014;4;14,8423076923077;3859
"63270";"Buiten";"6510_hu";0,576519132591985;2014-06-06;"Atlantic";208030,971;165072,965;"vegetatieopname";2014;5;304,3;12172
"78294";"Binnen";"6510_hu";1;2016-06-03;"Atlantic";180572,773;216815,692;"vegetatieopname";2016;6;14,8423076923077;3859
"79986";"Binnen";"6510_hu";0,690272672072116;2014-06-03;"Atlantic";228639,132;163377,587;"vegetatieopname";2014;7;14,8423076923077;3859
"99521";"Binnen";"6510_hu";0,560624269479122;2014-06-03;"Atlantic";87069,414;204267,951;"vegetatieopname";2014;8;14,8423076923077;3859
"118441";"Buiten";"6510_hu";0,124808913397496;2016-06-13;"Atlantic";127069,61;191566,003;"vegetatieopname";2016;9;304,3;12172
"127218";"Binnen";"6510_hu";1;2014-05-19;"Atlantic";236382,528;174962,002;"vegetatieopname";2014;10;14,8423076923077;3859
"143382";"Buiten";"6510_hu";0,922031742351525;2016-05-30;"Atlantic";167965,694;201678,025;"vegetatieopname";2016;11;304,3;12172
"162790";"Binnen";"6510_hu";0,685502935968961;2014-05-23;"Atlantic";205438,198;183632,769;"vegetatieopname";2014;12;14,8423076923077;3859
"206134";"Binnen";"6510_hu";0,797450754551543;2014-06-12;"Atlantic";192126,005;188880,308;"vegetatieopname";2014;13;14,8423076923077;3859
"231702";"Binnen";"6510_hus";0,888326262181175;2014-05-27;"Atlantic";164414,031;187247,084;"vegetatieopname";2014;1;5,06666666666667;152
"243846";"Binnen";"6510_hu";1;2014-05-22;"Atlantic";185566,261;180847,983;"vegetatieopname";2014;14;14,8423076923077;3859
"258390";"Binnen";"6510_hu";1;2015-11-13;"Atlantic";184349,591973;190318,113583;"vegetatieopname";2015;15;14,8423076923077;3859
"308098";"Binnen";"6510_huk";0,831717206774397;2014-05-22;"Continental";254527,189;159602,621;"vegetatieopname";2014;1;8,92;446
"327153";"Buiten";"6510_hus";0,734399853701224;2016-06-15;"Atlantic";44155,996;187657,354;"vegetatieopname";2016;2;1,46666666666667;44
"333385";"Binnen";"6510_hu";0,535834413435679;2014-06-10;"Atlantic";104638,411;177836,86;"vegetatieopname";2014;16;14,8423076923077;3859
"366225";"Buiten";"6510_hua";1;2014-05-30;"Atlantic";37677,551;183736,453;"vegetatieopname";2014;2;15,1;1057
