"ID";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Belang";"Voorwaarde";"Waarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"VoorwaardeID";"Combinatie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"1007490";"6510";"6510_huk";"Versie 2.0";"Structuur";"horizontale structuur";"b";"bedekking rozetplanten";"1";">=";"30";FALSE;1051;"1051";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"0";">=";"10";FALSE;1111;"1111";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"gulden sleutelbloem en/of ruige weegbree aanwezig";"0";">=";"1";FALSE;2113;"2113 AND 420";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten excl. gulden sleutelbloem";"0";">=";"4";FALSE;420;"2113 AND 420";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 2.0";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"30";TRUE;1245;"1245";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1337;"1337";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 2.0";"Verstoring";"verruiging";"zb";"bedekking verruiging";"20";"<=";"30";TRUE;1659;"1659";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 2.0";"Verstoring";"vervilting";"zb";"bedekking vervilting";"30,7";"<=";"30";FALSE;1812;"1812";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 3";"Structuur";"dominantie van één soort";"b";"dominantie van een soort excl. sleutelsoorten";"hb";"<";"D";TRUE;1951;"1951";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 3";"Structuur";"levensvormen";"b";"bedekking rozetplanten";"1";">=";"10";FALSE;1050;"1050";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"0";">=";"30";FALSE;1087;"1087";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"0";">=";"5";FALSE;395;"395";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 3";"Verstoring";"eutrofiëring";"zb";"bedekking eutrofiëring";"72,831628";"<=";"30";FALSE;737;"737";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 3";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"10";TRUE;1256;"1256";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1332;"1332";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 3";"Verstoring";"verbraming";"b";"bedekking verbraming";"0";"<=";"10";TRUE;1460;"1460";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";"bedekking vergrassing";"1";"<=";"50";TRUE;1497;"1497";"Buiten";"Continental";1;20,7;20,7
"1007490";"6510";"6510_huk";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";"bedekking verruiging";"0";"<=";"30";TRUE;1602;"1602";"Buiten";"Continental";1;20,7;20,7
"1152657";"6510";"6510_hua";"Versie 2.0";"Structuur";"dominantie van één soort";"b";"dominantie van een soort";"60";"<=";"50";FALSE;1923;"1923";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking hoge grassen";"25,6";"<=";"70";TRUE;789;"789 AND 954";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking middelhoge en lage grassen";"60";">=";"5";TRUE;954;"789 AND 954";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"2,98";">=";"10";FALSE;1141;"1141";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aanwezigheid specifieke sleutelsoorten";"1";">=";"1";TRUE;633;"633 AND 389";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"3";FALSE;389;"633 AND 389";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 2.0";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"30";TRUE;1237;"1237";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1334;"1334";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 2.0";"Verstoring";"verdroging";"zb";"bedekking verdroging";"0";"<=";"30";TRUE;1474;"1474";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 2.0";"Verstoring";"vernatting";"zb";"bedekking vernatting";"21,6";"<=";"30";TRUE;1587;"1587";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 2.0";"Verstoring";"verruiging";"zb";"bedekking verruiging";"8,86000000000001";"<=";"30";TRUE;1661;"1661";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 3";"Structuur";"dominantie van één soort";"b";"dominantie van een soort excl. sleutelsoorten";"hb";"<";"D";TRUE;1947;"1947";"Buiten";"Atlantic";1;15,1;15,1
"1152657";"6510";"6510_hua";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking hoge grassen";"25,6";"<";"70";TRUE;792;"792 AND 956";"Buiten";"Atlantic";1;15,1;15,1
