"Scenario";"ID";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Belang";"Voorwaarde";"Waarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"VoorwaardeID";"Combinatie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 2.0";"Structuur";"dwergstruiken";"b";"bedekking dwergstruiken";"87,5";">=";"a";TRUE;703;"703";"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 2.0";"Structuur";"horizontale structuur";"b";"afwisseling dopheidebulten en natte slenken";NA;">=";"r";NA;656;"656";"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 2.0";"Structuur";"veenmossen";"b";"bedekking veenmoslaag";"3";">=";"lf";TRUE;1321;"1321";"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 2.0";"Vegetatie";"aantal veenmossen";NA;"aantal veenmossen";"0";">=";"1";FALSE;549;"549";"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"4";">=";"2";TRUE;328;"328";"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"1";"<=";"30";TRUE;1441;"1441";"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 2.0";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"1";"<=";"50";TRUE;1524;"1524";"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 3";"Structuur";"dwergstruiken";"b";"bedekking dwergstruiken";"87,5";">=";"B";TRUE;704;"704";"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"3";">=";"4";FALSE;329;"329 AND 547";"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal veenmossen";"0";">=";"1";FALSE;547;"329 AND 547";"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"1";"<=";"10";TRUE;1443;"1443";"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"100050";"4010";"4010";"Versie 3";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"1";"<=";"50";TRUE;1508;"1508";"Binnen";"Atlantic";0,759792926627744;55,241935483871;41,9724318338714
"Combinatie cirkelplot en vegetatieplot";"1003230";"2330";"2330_bu";"Versie 2.0";"Structuur";"horizontale structuur";"zb";"aantal ontwikkelingsstadia";"3";">=";"2";TRUE;267;"267";"Binnen";"Atlantic";0,999970507446378;17,5142857142857;17,5137691732751
"Combinatie cirkelplot en vegetatieplot";"1003230";"2330";"2330_bu";"Versie 2.0";"Structuur";"korstmosvegetaties";"b";"bedekking korstmosvegetaties";"0";">=";"1";FALSE;944;"944";"Binnen";"Atlantic";0,999970507446378;17,5142857142857;17,5137691732751
