"ID";"Habitattype";"Habitatsubtype";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid";"Criterium";"Indicator";"Belang"
"ZSCPQ074";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"0";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ074";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"1";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ074";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ074";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ074";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ074";"91E0";"91E0_sf";"MSA";"53.1084832662";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ119";"91E0";"91E0_sf";"aandeel dood hout";"5";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ119";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"1";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ119";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"5";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ119";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ119";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ119";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ119";"91E0";"91E0_sf";"MSA";"24.9320115683686";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ120";"91E0";"91E0_sf";"aandeel dood hout";"14";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ120";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"2";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ120";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"2";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ120";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ120";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ120";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ120";"91E0";"91E0_sf";"MSA";"13.14888077122";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ122";"91E0";"91E0_sf";"aandeel dood hout";"67";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ122";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"1";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ122";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ122";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ122";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ122";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ122";"91E0";"91E0_sf";"MSA";"24.9320115683686";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ123";"91E0";"91E0_sf";"aandeel dood hout";"35";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ123";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"1";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ123";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ123";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ123";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ123";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ123";"91E0";"91E0_sf";"MSA";"24.9320115683686";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ124";"91E0";"91E0_sf";"aandeel dood hout";"26";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ124";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"6";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ124";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ124";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ124";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ124";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ124";"91E0";"91E0_sf";"MSA";"24.9320115683686";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ125";"91E0";"91E0_sf";"aandeel dood hout";"23";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ125";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"2";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ125";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"5";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ125";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ125";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ125";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ125";"91E0";"91E0_sf";"MSA";"24.9320115683686";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ126";"91E0";"91E0_sf";"aandeel dood hout";"6";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ126";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"0";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ126";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ126";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ126";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ126";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ126";"91E0";"91E0_sf";"MSA";"24.9320115683686";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ127";"91E0";"91E0_sf";"aandeel dood hout";"13";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ127";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"0";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ127";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ127";"91E0";"91E0_sf";"bosconstantie";"81";"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ127";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ127";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ127";"91E0";"91E0_sf";"MSA";"1.86627952735";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ128";"91E0";"91E0_sf";"aandeel dood hout";"5";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ128";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"0";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ128";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"2";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ128";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ128";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ128";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ128";"91E0";"91E0_sf";"MSA";"53.1084832662";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ130";"91E0";"91E0_sf";"aandeel dood hout";"15";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ130";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"0";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ130";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"2";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ130";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ130";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ130";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ130";"91E0";"91E0_sf";"MSA";"53.1084832662";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
