"Meetnet";"ID";"IDPlots";"Date";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"MONEOS";"IV2013071011522912";"ZSCPQ301";"2012-08-23";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013071011522912";"ZSCPQ301";"2012-08-23";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2013112016153156";"ZSCPQ142";"2013-09-10";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112016153156";"ZSCPQ142";"2013-09-10";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2013112016223231";"ZSCPQ145";"2013-09-10";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;2;57,1428571428571;0
"MONEOS";"IV2013112016223231";"ZSCPQ145";"2013-09-10";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2013112510491349";"ZSCPQ140";"2013-09-12";"91E0";"91E0_sf";"Versie 2.0";"Buiten";1;45,1;45,1;3;7;3;42,8571428571429;0
"MONEOS";"IV2013112510491349";"ZSCPQ140";"2013-09-12";"91E0";"91E0_sf";"Versie 3";"Buiten";1;45,1;45,1;4;8;3;50;0
"MONEOS";"IV2013112513553865";"ZSCPQ146";"2013-09-16";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;2;57,1428571428571;0
"MONEOS";"IV2013112513553865";"ZSCPQ146";"2013-09-16";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;4;8;3;50;0
"MONEOS";"IV2013112514102708";"ZSCPQ147";"2013-09-16";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;2;57,1428571428571;0
"MONEOS";"IV2013112514102708";"ZSCPQ147";"2013-09-16";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;4;8;3;50;0
"MONEOS";"IV2013112514191156";"ZSCPQ151";"2013-09-16";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112514191156";"ZSCPQ151";"2013-09-16";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2013112514444162";"ZSCPQ152";"2013-09-16";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;1;57,1428571428571;0
"MONEOS";"IV2013112514444162";"ZSCPQ152";"2013-09-16";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;4;8;2;50;0
"MONEOS";"IV2013112514541496";"ZSCPQ153";"2013-09-16";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;1;57,1428571428571;0
"MONEOS";"IV2013112514541496";"ZSCPQ153";"2013-09-16";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;4;8;2;50;0
"MONEOS";"IV2013112609480584";"ZSCPQ154";"2013-09-17";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112609480584";"ZSCPQ154";"2013-09-17";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2013112609491469";"ZSCPQ156";"2013-09-17";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112609491469";"ZSCPQ156";"2013-09-17";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2013112610383561";"ZSCPQ135";"2013-09-18";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112610383561";"ZSCPQ135";"2013-09-18";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2013112610432260";"ZSCPQ137";"2013-09-18";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;3;7;3;42,8571428571429;0
"MONEOS";"IV2013112610432260";"ZSCPQ137";"2013-09-18";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;4;8;3;50;0
"MONEOS";"IV2013112610573981";"ZSCPQ138";"2013-09-18";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112610573981";"ZSCPQ138";"2013-09-18";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2013112611191782";"ZSCPQ149";"2013-09-19";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;3;7;3;42,8571428571429;0
