"Schaal";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";"Habitattype";"Versie 2.0";"1330";"1330_hpr; 1330_da";"Vegetatie";"bedekking sleutelsoorten";"b";"Binnen & Buiten";82;163,517414179104;55,57;43,95;66,62
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"1330";"1330_da";"Vegetatie";"bedekking sleutelsoorten";"b";"Binnen & Buiten";66;107,767164179104;37,88;26,99;50,14
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"1330";"1330_hpr";"Vegetatie";"bedekking sleutelsoorten";"b";"Binnen & Buiten";16;55,75025;89,78;64,98;97,65
"Vlaanderen";"Habitattype";"Versie 3";"1330";"1330_hpr; 1330_da";"Vegetatie";"bedekking sleutelsoorten";"b";"Binnen & Buiten";82;163,517414179104;55,12;43,27;66,41
"Vlaanderen";"Habitatsubtype";"Versie 3";"1330";"1330_da";"Vegetatie";"bedekking sleutelsoorten";"b";"Binnen & Buiten";66;107,767164179104;48,48;36,67;60,47
"Vlaanderen";"Habitatsubtype";"Versie 3";"1330";"1330_hpr";"Vegetatie";"bedekking sleutelsoorten";"b";"Binnen & Buiten";16;55,75025;67,94;40,9;86,64
"Vlaanderen";"Habitattype";"Versie 2.0";"1330";"1330_hpr";"Structuur";"dominantie van één soort";"zb";"Binnen & Buiten";16;55,75025;100;100;100
"Vlaanderen";"Habitattype";"Versie 3";"1330";"1330_hpr";"Structuur";"dominantie van één soort";"zb";"Binnen & Buiten";16;55,75025;100;100;100
"Vlaanderen";"Habitattype";"Versie 2.0";"1330";"1330_hpr";"Structuur";"microreliëf";"zb";"Binnen & Buiten";16;55,75025;100;100;100
"Vlaanderen";"Habitattype";"Versie 3";"1330";"1330_hpr";"Structuur";"microreliëf";"zb";"Binnen & Buiten";16;55,75025;100;100;100
"Vlaanderen";"Habitattype";"Versie 2.0";"1330";"1330_hpr; 1330_da";"Verstoring";"overgang naar rbbmr";"zb";"Binnen & Buiten";82;163,517414179104;100;100;100
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"1330";"1330_da";"Verstoring";"overgang naar rbbmr";"zb";"Binnen & Buiten";66;107,767164179104;100;100;100
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"1330";"1330_hpr";"Verstoring";"overgang naar rbbmr";"zb";"Binnen & Buiten";16;55,75025;100;100;100
"Vlaanderen";"Habitattype";"Versie 2.0";"1330";"1330_hpr";"Verstoring";"overgang naar rbbzil";"zb";"Binnen & Buiten";16;55,75025;100;100;100
"Vlaanderen";"Habitattype";"Versie 3";"1330";"1330_hpr";"Verstoring";"overgang naar rbbzil";"zb";"Binnen & Buiten";16;55,75025;100;100;100
"Vlaanderen";"Habitattype";"Versie 2.0";"1330";"1330_hpr";"Vegetatie";"sleutelsoorten";"b";"Binnen & Buiten";16;55,75025;100;100;100
"Vlaanderen";"Habitattype";"Versie 3";"1330";"1330_hpr; 1330_da";"Vegetatie";"sleutelsoorten";"b";"Binnen & Buiten";82;163,517414179104;46,08;34,33;58,28
"Vlaanderen";"Habitatsubtype";"Versie 3";"1330";"1330_da";"Vegetatie";"sleutelsoorten";"b";"Binnen & Buiten";66;107,767164179104;18,18;10,59;29,43
"Vlaanderen";"Habitatsubtype";"Versie 3";"1330";"1330_hpr";"Vegetatie";"sleutelsoorten";"b";"Binnen & Buiten";16;55,75025;100;100;100
"Vlaanderen";"Habitattype";"Versie 3";"1330";"1330_hpr; 1330_da";"Verstoring";"rietontwikkeling";"zb";"Binnen & Buiten";82;163,517414179104;62,05;50,79;72,16
"Vlaanderen";"Habitatsubtype";"Versie 3";"1330";"1330_da";"Verstoring";"rietontwikkeling";"zb";"Binnen & Buiten";66;107,767164179104;42,42;31,08;54,63
"Vlaanderen";"Habitatsubtype";"Versie 3";"1330";"1330_hpr";"Verstoring";"rietontwikkeling";"zb";"Binnen & Buiten";16;55,75025;100;100;100
"Vlaanderen";"Habitattype";"Versie 2.0";"1330";"1330_da";"Structuur";"horizontale structuur_vegetatiegradient";"zb";"Binnen & Buiten";66;107,767164179104;93,94;84,84;97,72
"Vlaanderen";"Habitattype";"Versie 2.0";"1330";"1330_da";"Structuur";"kreken, oeverwallen en kommen";"zb";"Binnen & Buiten";66;107,767164179104;84,85;73,98;91,69
"Vlaanderen";"Habitattype";"Versie 3";"1330";"1330_da";"Structuur";"kreken, oeverwallen en kommen";"zb";"Binnen & Buiten";66;107,767164179104;84,85;73,98;91,69
"Vlaanderen";"Habitattype";"Versie 2.0";"1330";"1330_da";"Structuur";"schorklifvorming";"zb";"Binnen & Buiten";66;107,767164179104;7,58;3,17;17,04
"Vlaanderen";"Habitattype";"Versie 3";"1330";"1330_da";"Structuur";"horizontale structuur";"zb";"Binnen & Buiten";66;107,767164179104;93,94;84,84;97,72
"Vlaanderen";"Habitattype";"Versie 3";"1330";"1330_da";"Structuur";"schorklifvorming/breuksteenbestorting";"zb";"Binnen & Buiten";66;107,767164179104;43,94;32,44;56,12
"Vlaanderen";"Habitattype";"Versie 3";"1330";"1330_da";"Structuur";"verticale gradiënt";"zb";"Binnen & Buiten";66;107,767164179104;93,94;84,84;97,72
"Vlaanderen";"Habitattype";"Versie 3";"1330";"1330_da";"Verstoring";"verzoeting";"zb";"Binnen & Buiten";66;107,767164179104;100;100;100
