"ID";"IDPlots";"Kenmerk";"Waarde";"Vegetatielaag";"TypeKenmerk";"Type";"Invoertype";"Eenheid"
"IV2016121214092447";"ZSCPQ244";"Atriplex prostrata Boucher ex DC.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2016121214092447";"ZSCPQ244";"Glaux maritima L.";70;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2016121214092447";"ZSCPQ244";"Aster tripolium L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2016121214092447";"ZSCPQ244";"Cotula coronopifolia L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2016121214092447";"ZSCPQ244";"Spergularia salina J. et C. Presl";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014011315404492";"ZSCPQ225";"Glaux maritima L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014011315404492";"ZSCPQ225";"Spergularia salina J. et C. Presl";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014011317063744";"ZSCPQ248";"Glaux maritima L.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014011317063744";"ZSCPQ248";"Aster tripolium L.";42;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014011317063744";"ZSCPQ248";"Cotula coronopifolia L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014011317063744";"ZSCPQ248";"Spergularia salina J. et C. Presl";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070908573073";"ZSCPQ225";"Spergularia salina J. et C. Presl";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070909254090";"ZSCPQ234";"Atriplex prostrata Boucher ex DC.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070909254090";"ZSCPQ234";"Glaux maritima L.";72;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070909254090";"ZSCPQ234";"Aster tripolium L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070909254090";"ZSCPQ234";"Scirpus maritimus L.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070909254090";"ZSCPQ234";"Puccinellia maritima (Huds.) Parl.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2013070909254090";"ZSCPQ234";"Spergularia salina J. et C. Presl";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101314403398";"ZSCPQ184";"Aster tripolium L.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101314403398";"ZSCPQ184";"Scirpus maritimus L.";4;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101314403398";"ZSCPQ184";"Suaeda maritima (L.) Dum.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101314403398";"ZSCPQ184";"Spergularia maritima (All.) Chiov.";1;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101314403398";"ZSCPQ184";"Salicornia procumbens Smith";30;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101311295712";"ZSCPQ172";"Aster tripolium L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101311295712";"ZSCPQ172";"Scirpus maritimus L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101311295712";"ZSCPQ172";"Puccinellia maritima (Huds.) Parl.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101311295712";"ZSCPQ172";"Salicornia europaea L.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101311295712";"ZSCPQ172";"Spergularia maritima (All.) Chiov.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101311295712";"ZSCPQ172";"Salicornia procumbens Smith";20;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101311375311";"ZSCPQ173";"Aster tripolium L.";7;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101311375311";"ZSCPQ173";"Scirpus maritimus L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101311375311";"ZSCPQ173";"Triglochin maritima L.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
"IV2014101311375311";"ZSCPQ173";"Puccinellia maritima (Huds.) Parl.";2;"kruidlaag";"Soort_Latijn";"Percentage";NA;"%"
