"";"ID";"Habitattype";"RecordingGivid";"UserReference";"LocationCode";"Observer";"VagueDateBegin";"Kolom1";"Betrouwbaarheid";"Waterpeil";"Regio";"SBZH";"ID_Plas";"OppKl";"Oppervlakte_plas"
"1";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685
"2";"AN_ARE_001_3130a_18";"3130_aom";"IV2018101005532264";"AN_ARE_001_3130a_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782
"3";"AN_ARE_001_3130n_18";"3130_na";"IV2018101006000237";"AN_ARE_001_3130n_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782
"4";"AN_BAS_001_3150_17";"3150";"IV2018082010271159";"AN_BAS_001_3150_17";"AN_BAS_001";"Jo Packet";"2017-10-09";"AN_BAS_001";"hoog";"Normaal";"Atlantisch";"binnen";"BL_16954";"1 ha < Opp <= 5 ha";25126,518047
"5";"AN_BEE_001_3130a_16";"3130_aom";"IV2017032010360108";"AN_BEE_001_3130a_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903
"6";"AN_BEE_001_3130n_16";"3130_na";"IV2017032010205954";"AN_BEE_001_3130n_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903
"7";"AN_BEE_002_3130a_16";"3130_aom";"IV2017040309554429";"AN_BEE_002_3130a_16";"AN_BEE_002";"Vincent Smeekens";"2016-09-21";"AN_BEE_002";"hoog";"Normaal";"Atlantisch";"binnen";"BL_11192";"Opp <= 1 ha";629,578564
"8";"AN_BGO_001_3130a_17";"3130_aom";"IV2018020910244945";"AN_BGO_001_3130a_17";"AN_BGO_001";"Vincent Smeekens";"2017-09-06";"AN_BGO_001";"hoog";"Normaal";"Atlantisch";"binnen";NA;"Opp <= 1 ha";4787,599815
"9";"AN_BGO_001_3130n_17";"3130_na";"IV2018020910314240";"AN_BGO_001_3130n_17";"AN_BGO_001";"Vincent Smeekens";"2017-09-06";"AN_BGO_001";"hoog";"Normaal";"Atlantisch";"binnen";NA;"Opp <= 1 ha";4787,599815
"10";"AN_BGO_001_3150_17";"3150";"IV2018020910422627";"AN_BGO_001_3150_17";"AN_BGO_001";"Vincent Smeekens";"2017-09-06";"AN_BGO_001";"hoog";"Normaal";"Atlantisch";"binnen";NA;"Opp <= 1 ha";4787,599815
"11";"AN_BGO_002_3130a_17";"3130_aom";"IV2018020909312908";"AN_BGO_002_3130a_17";"AN_BGO_002";"Vincent Smeekens";"2017-09-06";"AN_BGO_002";"hoog";"Normaal";"Atlantisch";"binnen";NA;"Opp <= 1 ha";5631,651554
"12";"AN_BGO_002_3130n_17";"3130_na";"IV2018020909370337";"AN_BGO_002_3130n_17";"AN_BGO_002";"Vincent Smeekens";"2017-09-06";"AN_BGO_002";"hoog";"Normaal";"Atlantisch";"binnen";NA;"Opp <= 1 ha";5631,651554
"13";"AN_BGO_002_3140_17";"3140";"IV2018020909501549";"AN_BGO_002_3140_17";"AN_BGO_002";"Vincent Smeekens";"2017-09-06";"AN_BGO_002";"hoog";"Normaal";"Atlantisch";"binnen";NA;"Opp <= 1 ha";5631,651554
"14";"AN_BGO_002_3160_17";"3160";"IV2018020910124046";"AN_BGO_002_3160_17";"AN_BGO_002";"Vincent Smeekens";"2017-09-06";"AN_BGO_002";"laag";"Normaal";"Atlantisch";"binnen";NA;"Opp <= 1 ha";5631,651554
"15";"AN_BLA_001_3130a_17";"3130_aom";"IV2017120807491938";"AN_BLA_001_3130a_17";"AN_BLA_001";"Vincent Smeekens";"2017-07-14";"AN_BLA_001";"hoog";"Normaal";"Atlantisch";"binnen";"8267";"1 ha < Opp <= 5 ha";19186,151005
"16";"AN_BLA_001_3130n_17";"3130_na";"IV2017120807593495";"AN_BLA_001_3130n_17";"AN_BLA_001";"Vincent Smeekens";"2017-07-14";"AN_BLA_001";"hoog";"Normaal";"Atlantisch";"binnen";"8267";"1 ha < Opp <= 5 ha";19186,151005
