"";"ID";"OriginalName";"Waarde";"Kenmerk";"TypeKenmerk";"Type";"Invoertype";"Eenheid";"Vegetatielaag"
"1";"AN_MOL_003_3130a_16";"Agrostis canina L.";"o";"Agrostis canina L.";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"2";"AN_MOL_003_3130a_16";"Calamagrostis canescens (Weber) Roth";"r";"Calamagrostis canescens (Weber) Roth";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"3";"AN_MOL_003_3130a_16";"Draadwier spec.";"o";"Draadwier";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"4";"AN_MOL_003_3130a_16";"Juncus effusus L.";"a";"Juncus effusus L.";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"5";"AN_MOL_003_3130a_16";"kroossoorten";"f";"Lemna";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"6";"AN_MOL_003_3130a_16";"Molinia caerulea (L.) Moench";"o";"Molinia caerulea (L.) Moench";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"7";"AN_MOL_003_3130a_16";"Potamogeton pusillus L.";"r";"Potamogeton pusillus L.";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"8";"AN_MOL_003_3130a_16";"Typha";"r";"Typha";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"9";"AN_MOL_003_3130a_16";"Elodea nuttallii (Planch.) St John";"r";"Elodea nuttallii (Planch.) St John";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"10";"AN_MOL_003_3130a_16";"Juncus canadensis J. Gay ex Laharpe";"r";"Juncus canadensis J. Gay ex Laharpe";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"11";"AN_MOL_003_3130a_16";"Pilularia globulifera L.";"f";"Pilularia globulifera L.";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"12";"AN_MOL_003_3130a_16";"Potamogeton polygonifolius Pourr.";"a";"Potamogeton polygonifolius Pourr.";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"13";"AN_MOL_003_3130a_16";"Scirpus fluitans L.";"f";"Scirpus fluitans L.";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"14";"AN_MOL_003_3130a_16";"Agrostis canina L.";"o";"Agrostis canina L.";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"15";"AN_MOL_003_3130a_16";"Molinia caerulea (L.) Moench";"o";"Molinia caerulea (L.) Moench";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"16";"AN_MOL_003_3130a_16";"Juncus bulbosus L.";"o";"Juncus bulbosus L.";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"17";"AN_MOL_003_3130a_16";"Sphagnum";"a";"Sphagnum";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"18";"AN_MOL_003_3160_16";"Agrostis canina L.";"o";"Agrostis canina L.";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"19";"AN_MOL_003_3160_16";"Hydrocotyle vulgaris L.";"f";"Hydrocotyle vulgaris L.";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"20";"AN_MOL_003_3160_16";"Juncus effusus L.";"a";"Juncus effusus L.";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"21";"AN_MOL_003_3160_16";"kroossoorten";"f";"Lemna";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"22";"AN_MOL_003_3160_16";"Molinia caerulea (L.) Moench";"o";"Molinia caerulea (L.) Moench";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"23";"AN_MOL_003_3160_16";"Phragmites australis (Cav.) Steud.";"o";"Phragmites australis (Cav.) Steud.";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
"24";"AN_MOL_003_3160_16";"Typha";"r";"Typha";"soort_Latijn";"Categorie";"TANSLEY MEREN";NA;NA
