"";"ID";"Criterium";"Indicator";"Voorwaarde";"Type";"Invoertype";"Eenheid";"Waarde"
"1";"AN_ABH_007_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"2";"AN_ABH_007_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"3";"AN_ARE_001_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"4";"AN_ARE_001_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"5";"AN_ARE_001_3130n_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"6";"AN_BAS_001_3150_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"7";"AN_BEE_001_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"8";"AN_BEE_001_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"9";"AN_BEE_001_3130n_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"10";"AN_BEE_002_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"11";"AN_BEE_002_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"12";"AN_BGO_001_3130a_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"13";"AN_BGO_001_3130a_17";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"14";"AN_BGO_001_3130n_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"15";"AN_BGO_001_3150_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"16";"AN_BGO_002_3130a_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"17";"AN_BGO_002_3130a_17";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"18";"AN_BGO_002_3130n_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"19";"AN_BGO_002_3140_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"20";"AN_BGO_002_3140_17";"Vegetatie";"sleutelsoorten";"kranswiervelden voor > = 50 % sleutelsoorten";"Ja/nee";NA;NA;1
"21";"AN_BLA_001_3130a_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"22";"AN_BLA_001_3130a_17";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"23";"AN_BLA_001_3130n_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"24";"AN_BOG_001_3130a_17";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"25";"AN_BOG_001_3130a_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"26";"AN_BOG_001_3130n_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"27";"AN_DEB_001_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"28";"AN_DEB_001_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"29";"AN_DES_004_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"30";"AN_DES_004_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"31";"AN_DVH_001_3130n_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"32";"AN_DVH_003_3130n_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"33";"AN_DVH_004_3130n_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"34";"AN_DVH_004_3140_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"35";"AN_DVH_004_3140_16";"Vegetatie";"sleutelsoorten";"kranswiervelden voor > = 50 % sleutelsoorten";"Ja/nee";NA;NA;1
"36";"AN_DVH_005_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"37";"AN_DVH_005_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"38";"AN_DVH_005_3130n_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"39";"AN_DVH_007_3130n_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"40";"AN_E10_001_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"41";"AN_E10_001_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"42";"AN_E10_001_3130n_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"43";"AN_E10_001_3140_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"44";"AN_E10_001_3140_18";"Vegetatie";"sleutelsoorten";"kranswiervelden voor > = 50 % sleutelsoorten";"Ja/nee";NA;NA;0
"45";"AN_E10_002_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"46";"AN_E10_002_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"47";"AN_E10_002_3150_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"48";"AN_ENK_002_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"49";"AN_ENK_002_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"50";"AN_GIE_001_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"51";"AN_GIE_001_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"52";"AN_GIE_001_3130n_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"53";"AN_GKH_001_3130n_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"54";"AN_GRD_003_3130n_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"55";"AN_GRD_003_3140_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"56";"AN_GRD_003_3140_17";"Vegetatie";"sleutelsoorten";"kranswiervelden voor > = 50 % sleutelsoorten";"Ja/nee";NA;NA;1
"57";"AN_GSV_002_3130n_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"58";"AN_GSV_003_3130a_17";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"59";"AN_GSV_003_3130a_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"60";"AN_GSV_004_3140_17";"Vegetatie";"sleutelsoorten";"kranswiervelden voor > = 50 % sleutelsoorten";"Ja/nee";NA;NA;1
"61";"AN_GSV_004_3140_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"62";"AN_GSV_004_3150_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"63";"AN_HAZ_001_3140_14";"Vegetatie";"sleutelsoorten";"kranswiervelden voor > = 50 % sleutelsoorten";"Ja/nee";NA;NA;1
"64";"AN_HAZ_001_3140_14";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"65";"AN_KAL_004_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"66";"AN_KAL_004_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"67";"AN_KDN_001_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"68";"AN_KDN_001_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"69";"AN_KDN_002_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"70";"AN_KDN_002_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"71";"AN_KDN_002_3140_16";"Vegetatie";"sleutelsoorten";"kranswiervelden voor > = 50 % sleutelsoorten";"Ja/nee";NA;NA;0
"72";"AN_KDN_002_3140_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"73";"AN_KDN_003_3130a_17";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"74";"AN_KDN_003_3130a_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"75";"AN_KDN_003_3140_17";"Vegetatie";"sleutelsoorten";"kranswiervelden voor > = 50 % sleutelsoorten";"Ja/nee";NA;NA;1
"76";"AN_KDN_003_3140_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"77";"AN_KVD_003_3130a_17";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"78";"AN_KVD_003_3130a_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"79";"AN_LDL_002_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"80";"AN_LDL_002_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"81";"AN_LDL_004_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"82";"AN_LDL_004_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"83";"AN_LIL_001_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"84";"AN_LIL_001_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"85";"AN_MEC_002_3150_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"86";"AN_MOE_001_3130a_17";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"87";"AN_MOE_001_3130a_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"88";"AN_MOE_001_3140_17";"Vegetatie";"sleutelsoorten";"kranswiervelden voor > = 50 % sleutelsoorten";"Ja/nee";NA;NA;1
