"Habitattype";"OppKl";"bemonsterde_oppervlakte";"oppervlakte_Vlaanderen"
"3110";"1 ha < Opp <= 5 ha";36234,007214;79332,39699
"3110";"5 ha < Opp < 50 ha";84929,308151;84929,30815
"3130_aom";"1 ha < Opp <= 5 ha";554072,785307;2456298,8982
"3130_aom";"5 ha < Opp < 50 ha";1455230,357029;4279883,088
"3130_aom";"Opp <= 1 ha";183918,169116;1216902,1444
"3130_na";"1 ha < Opp <= 5 ha";549289,193154;1984436,872
"3130_na";"5 ha < Opp < 50 ha";1449968,016496;5095986,7515
"3130_na";"Opp <= 1 ha";98703,148386;426802,85852
"3130_na";"Opp > 50 ha";1366822,132057;2073093,637
"3140";"1 ha < Opp <= 5 ha";125449,323369;373186,06578
"3140";"5 ha < Opp < 50 ha";76612,67963;2433945,098
"3140";"Opp <= 1 ha";28387,502363;156291,92923
"3140";"Opp > 50 ha";2032333,597086;3225341,906
"3150";"1 ha < Opp <= 5 ha";114941,893535;1519615,3121
"3150";"5 ha < Opp < 50 ha";467516,721337;4093682,914
"3150";"Opp <= 1 ha";70124,788715;658501,3736
"3150";"Opp > 50 ha";2250631,314991;4368753,5922
"3160";"1 ha < Opp <= 5 ha";343010,588116;966316,69387
"3160";"5 ha < Opp < 50 ha";650802,482406;999704,3525
"3160";"Opp <= 1 ha";100392,165555;496049,04375
