"";"ID";"Habitattype";"Versie";"Criterium";"Kwaliteitsniveau";"Status_criterium";"Aggregatiemethode";"Index_min_criterium";"Index_harm_criterium"
"1";"AN_ABH_007_3130a_18";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,285714285714286;-0,285714285714286
"2";"AN_ABH_007_3130a_18";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,666666666666667;-0,666666666666667
"3";"AN_ABH_007_3130a_18";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,214285714285714;0,071794871794872
"4";"AN_ARE_001_3130a_18";"3130_aom";"Versie 3";"Structuur";1;TRUE;"RapportageHR";0,966666666666667;0,966666666666667
"5";"AN_ARE_001_3130a_18";"3130_aom";"Versie 3";"Vegetatie";1;TRUE;"RapportageHR";0,0833333333333333;0,0833333333333333
"6";"AN_ARE_001_3130a_18";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,15;0,554950026301946
"7";"AN_ARE_001_3130n_18";"3130_na";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,983333333333333;0,983333333333333
"8";"AN_ARE_001_3130n_18";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"9";"AN_ARE_001_3130n_18";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,15;0,590172807627371
"10";"AN_BAS_001_3150_17";"3150";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,333333333333333;0,333333333333333
"11";"AN_BAS_001_3150_17";"3150";"Versie 3";"Vegetatie";1;TRUE;"RapportageHR";0;0
"12";"AN_BAS_001_3150_17";"3150";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,325842696629214
"13";"AN_BEE_001_3130a_16";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,714285714285714;-0,714285714285714
"14";"AN_BEE_001_3130a_16";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"15";"AN_BEE_001_3130a_16";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,166666666666667;-0,10759212668344
"16";"AN_BEE_001_3130n_16";"3130_na";"Versie 3";"Structuur";1;TRUE;"RapportageHR";0,966666666666667;0,966666666666667
"17";"AN_BEE_001_3130n_16";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"18";"AN_BEE_001_3130n_16";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,142857142857143;-0,0872280037842952
"19";"AN_BEE_002_3130a_16";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,142857142857143;-0,142857142857143
"20";"AN_BEE_002_3130a_16";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,666666666666667;-0,666666666666667
"21";"AN_BEE_002_3130a_16";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,142857142857143;-0,0699088145896658
"22";"AN_BGO_001_3130a_17";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,533333333333333;0,533333333333333
"23";"AN_BGO_001_3130a_17";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"24";"AN_BGO_001_3130a_17";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,005;0,437152012817945
"25";"AN_BGO_001_3130n_17";"3130_na";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,142857142857143;-0,142857142857143
"26";"AN_BGO_001_3130n_17";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"27";"AN_BGO_001_3130n_17";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,005;0,437152012817945
"28";"AN_BGO_001_3150_17";"3150";"Versie 3";"Structuur";1;TRUE;"RapportageHR";0,5;0,5
"29";"AN_BGO_001_3150_17";"3150";"Versie 3";"Vegetatie";1;TRUE;"RapportageHR";0;0
"30";"AN_BGO_001_3150_17";"3150";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,005;0,334021193530396
"31";"AN_BGO_002_3130a_17";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,285714285714286;-0,285714285714286
"32";"AN_BGO_002_3130a_17";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,666666666666667;-0,666666666666667
"33";"AN_BGO_002_3130a_17";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,02;0,44432
"34";"AN_BGO_002_3130n_17";"3130_na";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,666666666666667;0,666666666666667
"35";"AN_BGO_002_3130n_17";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"36";"AN_BGO_002_3130n_17";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,02;0,44432
"37";"AN_BGO_002_3140_17";"3140";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,285714285714286;-0,285714285714286
"38";"AN_BGO_002_3140_17";"3140";"Versie 3";"Vegetatie";1;TRUE;"RapportageHR";Inf;NA
"39";"AN_BGO_002_3140_17";"3140";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,02;0,339393939393939
"40";"AN_BGO_002_3160_17";"3160";"Versie 3";"Structuur";1;TRUE;"RapportageHR";Inf;NA
"41";"AN_BGO_002_3160_17";"3160";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"42";"AN_BGO_002_3160_17";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,02;0,42207468879668
"43";"AN_BLA_001_3130a_17";"3130_aom";"Versie 3";"Structuur";1;TRUE;"RapportageHR";0,833333333333333;0,833333333333333
"44";"AN_BLA_001_3130a_17";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,666666666666667;-0,666666666666667
"45";"AN_BLA_001_3130a_17";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,005;0,46000881684696
"46";"AN_BLA_001_3130n_17";"3130_na";"Versie 3";"Structuur";1;FALSE;"RapportageHR";1;1
"47";"AN_BLA_001_3130n_17";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"48";"AN_BLA_001_3130n_17";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,005;0,46000881684696
"49";"AN_BOG_001_3130a_17";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,5;0,5
"50";"AN_BOG_001_3130a_17";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"51";"AN_BOG_001_3130a_17";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,666666666666667;-0,333218729382905
"52";"AN_BOG_001_3130n_17";"3130_na";"Versie 3";"Structuur";1;FALSE;"RapportageHR";1;1
"53";"AN_BOG_001_3130n_17";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"54";"AN_BOG_001_3130n_17";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0;0,200371367871661
"55";"AN_DEB_001_3130a_18";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,933333333333333;0,933333333333333
"56";"AN_DEB_001_3130a_18";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"57";"AN_DEB_001_3130a_18";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,005;0,481084809837811
"58";"AN_DES_004_3130a_16";"3130_aom";"Versie 3";"Structuur";1;TRUE;"RapportageHR";0,5;0,5
"59";"AN_DES_004_3130a_16";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,333333333333333;-0,333333333333333
"60";"AN_DES_004_3130a_16";"3130_aom";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,188679245283019
"61";"AN_DES_004_3160_16";"3160";"Versie 3";"Structuur";1;FALSE;"RapportageHR";Inf;NA
"62";"AN_DES_004_3160_16";"3160";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"63";"AN_DES_004_3160_16";"3160";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,323529411764706
"64";"AN_DVH_001_3130n_18";"3130_na";"Versie 3";"Structuur";1;TRUE;"RapportageHR";1;1
"65";"AN_DVH_001_3130n_18";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"66";"AN_DVH_001_3130n_18";"3130_na";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,487341096036748
"67";"AN_DVH_003_3130n_16";"3130_na";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0;0
"68";"AN_DVH_003_3130n_16";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"69";"AN_DVH_003_3130n_16";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,8;0,89146398140976
"70";"AN_DVH_004_3130n_16";"3130_na";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,285714285714286;-0,285714285714286
"71";"AN_DVH_004_3130n_16";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"72";"AN_DVH_004_3130n_16";"3130_na";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,381935483870968
"73";"AN_DVH_004_3140_16";"3140";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,142857142857143;-0,142857142857143
"74";"AN_DVH_004_3140_16";"3140";"Versie 3";"Vegetatie";1;TRUE;"RapportageHR";Inf;NA
"75";"AN_DVH_004_3140_16";"3140";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,2
"76";"AN_DVH_005_3130a_18";"3130_aom";"Versie 3";"Structuur";1;TRUE;"RapportageHR";0,983333333333333;0,983333333333333
"77";"AN_DVH_005_3130a_18";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,333333333333333;-0,333333333333333
"78";"AN_DVH_005_3130a_18";"3130_aom";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,471211118464593
"79";"AN_DVH_005_3130n_18";"3130_na";"Versie 3";"Structuur";1;TRUE;"RapportageHR";0,966666666666667;0,966666666666667
"80";"AN_DVH_005_3130n_18";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"81";"AN_DVH_005_3130n_18";"3130_na";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,487341096036748
"82";"AN_DVH_007_3130n_17";"3130_na";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,833333333333333;0,833333333333333
"83";"AN_DVH_007_3130n_17";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"84";"AN_DVH_007_3130n_17";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,005;0,491018796752126
"85";"AN_E10_001_3130a_18";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,966666666666667;0,966666666666667
"86";"AN_E10_001_3130a_18";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,666666666666667;-0,666666666666667
"87";"AN_E10_001_3130a_18";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,2;0,609570891833102
"88";"AN_E10_001_3130n_18";"3130_na";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,966666666666667;0,966666666666667
"89";"AN_E10_001_3130n_18";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"90";"AN_E10_001_3130n_18";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,2;0,609570891833102
"91";"AN_E10_001_3140_18";"3140";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,966666666666667;0,966666666666667
"92";"AN_E10_001_3140_18";"3140";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";Inf;NA
"93";"AN_E10_001_3140_18";"3140";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,2;0,485714285714286
"94";"AN_E10_002_3130a_18";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,933333333333333;0,933333333333333
"95";"AN_E10_002_3130a_18";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,333333333333333;-0,333333333333333
"96";"AN_E10_002_3130a_18";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,005;0,491018796752126
"97";"AN_E10_002_3150_18";"3150";"Versie 3";"Structuur";1;TRUE;"RapportageHR";0,933333333333333;0,933333333333333
"98";"AN_E10_002_3150_18";"3150";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,5;-0,5
"99";"AN_E10_002_3150_18";"3150";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,005;0,334021193530396
"100";"AN_ENK_001_3160_18";"3160";"Versie 3";"Structuur";1;FALSE;"RapportageHR";Inf;NA
"101";"AN_ENK_001_3160_18";"3160";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"102";"AN_ENK_001_3160_18";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,5;-0,149253731343284
"103";"AN_ENK_002_3130a_18";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,142857142857143;-0,142857142857143
"104";"AN_ENK_002_3130a_18";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,666666666666667;-0,666666666666667
"105";"AN_ENK_002_3130a_18";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,285714285714286;-0,186046511627907
"106";"AN_ENK_002_3160_18";"3160";"Versie 3";"Structuur";1;FALSE;"RapportageHR";Inf;NA
"107";"AN_ENK_002_3160_18";"3160";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"108";"AN_ENK_002_3160_18";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,244444444444444;0,0609212481426451
"109";"AN_GIE_001_3130a_18";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,833333333333333;0,833333333333333
"110";"AN_GIE_001_3130a_18";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"111";"AN_GIE_001_3130a_18";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,111111111111111;0,14319397950019
"112";"AN_GIE_001_3130n_18";"3130_na";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,5;0,5
"113";"AN_GIE_001_3130n_18";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"114";"AN_GIE_001_3130n_18";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,005;0,491018796752126
"115";"AN_GKH_001_3130n_18";"3130_na";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,966666666666667;0,966666666666667
"116";"AN_GKH_001_3130n_18";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"117";"AN_GKH_001_3130n_18";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,03;0,509133289836466
"118";"AN_GRD_003_3130n_17";"3130_na";"Versie 3";"Structuur";1;TRUE;"RapportageHR";0,5;0,5
"119";"AN_GRD_003_3130n_17";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"120";"AN_GRD_003_3130n_17";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,222222222222222;0,0788498402555911
"121";"AN_GRD_003_3140_17";"3140";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,571428571428571;-0,571428571428571
"122";"AN_GRD_003_3140_17";"3140";"Versie 3";"Vegetatie";1;TRUE;"RapportageHR";Inf;NA
"123";"AN_GRD_003_3140_17";"3140";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,0555555555555555;-0,0262182958107724
"124";"AN_GSV_002_3130n_16";"3130_na";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,971428571428571;-0,971428571428571
"125";"AN_GSV_002_3130n_16";"3130_na";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"126";"AN_GSV_002_3130n_16";"3130_na";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,0555555555555555;0,102732358003442
"127";"AN_GSV_003_3130a_17";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,571428571428571;-0,571428571428571
"128";"AN_GSV_003_3130a_17";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"129";"AN_GSV_003_3130a_17";"3130_aom";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,436619718309859
"130";"AN_GSV_004_3140_17";"3140";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,142857142857143;-0,142857142857143
"131";"AN_GSV_004_3140_17";"3140";"Versie 3";"Vegetatie";1;TRUE;"RapportageHR";Inf;NA
"132";"AN_GSV_004_3140_17";"3140";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,322033898305085
"133";"AN_GSV_004_3150_17";"3150";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,142857142857143;-0,142857142857143
"134";"AN_GSV_004_3150_17";"3150";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"135";"AN_GSV_004_3150_17";"3150";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,329608938547486
"136";"AN_GSV_005_3160_17";"3160";"Versie 3";"Structuur";1;FALSE;"RapportageHR";Inf;NA
"137";"AN_GSV_005_3160_17";"3160";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"138";"AN_GSV_005_3160_17";"3160";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,400402414486922
"139";"AN_GSV_006_3160_17";"3160";"Versie 3";"Structuur";1;FALSE;"RapportageHR";Inf;NA
"140";"AN_GSV_006_3160_17";"3160";"Versie 3";"Vegetatie";1;TRUE;"RapportageHR";0;0
"141";"AN_GSV_006_3160_17";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,142857142857143;-0,0886075949367089
"142";"AN_HAZ_001_3140_14";"3140";"Versie 3";"Structuur";1;TRUE;"RapportageHR";0,966666666666667;0,966666666666667
"143";"AN_HAZ_001_3140_14";"3140";"Versie 3";"Vegetatie";1;TRUE;"RapportageHR";Inf;NA
"144";"AN_HAZ_001_3140_14";"3140";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,0555555555555555;0,0163043478260869
"145";"AN_KAL_003_3160_16";"3160";"Versie 3";"Structuur";1;TRUE;"RapportageHR";Inf;NA
"146";"AN_KAL_003_3160_16";"3160";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,5;-0,5
"147";"AN_KAL_003_3160_16";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0;0,195945945945946
"148";"AN_KAL_004_3130a_16";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,857142857142857;-0,857142857142857
"149";"AN_KAL_004_3130a_16";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"150";"AN_KAL_004_3130a_16";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,444444444444444;-0,243697478991596
"151";"AN_KAL_006_3160_17";"3160";"Versie 3";"Structuur";1;FALSE;"RapportageHR";Inf;NA
"152";"AN_KAL_006_3160_17";"3160";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,5;-0,5
"153";"AN_KAL_006_3160_17";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,0888888888888889;0,0852941176470587
"154";"AN_KAL_007_3160_16";"3160";"Versie 3";"Structuur";1;FALSE;"RapportageHR";Inf;NA
"155";"AN_KAL_007_3160_16";"3160";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"156";"AN_KAL_007_3160_16";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,0333333333333333;0,179728797977476
"157";"AN_KDN_001_3130a_16";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0;0
"158";"AN_KDN_001_3130a_16";"3130_aom";"Versie 3";"Vegetatie";1;TRUE;"RapportageHR";0,0833333333333333;0,0833333333333333
"159";"AN_KDN_001_3130a_16";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,005;0,341905797707688
"160";"AN_KDN_002_3130a_16";"3130_aom";"Versie 3";"Structuur";1;TRUE;"RapportageHR";0,833333333333333;0,833333333333333
"161";"AN_KDN_002_3130a_16";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,666666666666667;-0,666666666666667
"162";"AN_KDN_002_3130a_16";"3130_aom";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,477455891962535
"163";"AN_KDN_002_3140_16";"3140";"Versie 3";"Structuur";1;FALSE;"RapportageHR";0,833333333333333;0,833333333333333
"164";"AN_KDN_002_3140_16";"3140";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";Inf;NA
"165";"AN_KDN_002_3140_16";"3140";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,322033898305085
"166";"AN_KDN_003_3130a_17";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,0714285714285714;-0,0714285714285714
"167";"AN_KDN_003_3130a_17";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-1;-1
"168";"AN_KDN_003_3130a_17";"3130_aom";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,344370860927152
"169";"AN_KDN_003_3140_17";"3140";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,0714285714285714;-0,0714285714285714
"170";"AN_KDN_003_3140_17";"3140";"Versie 3";"Vegetatie";1;TRUE;"RapportageHR";Inf;NA
"171";"AN_KDN_003_3140_17";"3140";"Versie 3";"Verstoring";1;TRUE;"RapportageHR";0;0,322033898305085
"172";"AN_KSV_001_3160_18";"3160";"Versie 3";"Structuur";1;TRUE;"RapportageHR";Inf;NA
"173";"AN_KSV_001_3160_18";"3160";"Versie 3";"Vegetatie";1;TRUE;"RapportageHR";0;0
"174";"AN_KSV_001_3160_18";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,357142857142857;-0,0357142857142857
"175";"AN_KSV_004_3160_17";"3160";"Versie 3";"Structuur";1;FALSE;"RapportageHR";Inf;NA
"176";"AN_KSV_004_3160_17";"3160";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,5;-0,5
"177";"AN_KSV_004_3160_17";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,222222222222222;0,0702987697715292
"178";"AN_KSV_005_3160_17";"3160";"Versie 3";"Structuur";1;FALSE;"RapportageHR";Inf;NA
"179";"AN_KSV_005_3160_17";"3160";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,5;-0,5
"180";"AN_KSV_005_3160_17";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";-0,277777777777778;0,0399999999999998
"181";"AN_KVD_003_3130a_17";"3130_aom";"Versie 3";"Structuur";1;FALSE;"RapportageHR";-0,0714285714285714;-0,0714285714285714
"182";"AN_KVD_003_3130a_17";"3130_aom";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,666666666666667;-0,666666666666667
"183";"AN_KVD_003_3130a_17";"3130_aom";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,005;0,220087190921495
"184";"AN_KVD_003_3160_17";"3160";"Versie 3";"Structuur";1;FALSE;"RapportageHR";Inf;NA
"185";"AN_KVD_003_3160_17";"3160";"Versie 3";"Vegetatie";1;FALSE;"RapportageHR";-0,5;-0,5
"186";"AN_KVD_003_3160_17";"3160";"Versie 3";"Verstoring";1;FALSE;"RapportageHR";0,005;0,234348677766895
"187";"AN_LDL_001_3160_16";"3160";"Versie 3";"Structuur";1;TRUE;"RapportageHR";Inf;NA
