"";"ID";"Habitattype";"RecordingGivid";"UserReference";"LocationCode";"Observer";"VagueDateBegin";"Kolom1";"Betrouwbaarheid";"Waterpeil";"Regio";"SBZH";"ID_Plas";"OppKl";"Oppervlakte_plas";"Versie";"Habitattype.y";"Criterium";"Indicator";"Beoordeling";"Kwaliteitsniveau";"Belang";"BeoordelingID";"Combinatie";"VoorwaardeID";"Voorwaarde";"Referentiewaarde";"Operator";"EenheidRefwaarde";"TypeRefwaarde";"InvoertypeRevwaarde";"TypeWaarde";"InvoertypeWaarde";"EenheidWaarde";"Waarde";"AfkomstWaarde";"TheoretischMaximum";"Status_voorwaarde";"Verschilscore"
"1";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 3";"3130";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m<U+00B2>";1;"zb";1235;"2103";2103;"grootste vegetatievlek in m²";"10";">=";"m²";"Decimaal getal";NA;"Decimaal getal";NA;"m²";"15";"observatie";NA;TRUE;NA
"2";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 3";"3130";"Structuur";"verticale structuur";"< 30% helofyten (uitgezonderd sleutelsoorten)";1;"zb";1243;"784";784;"bedekking helofyten";"30";"<";"%";"Percentage";NA;"Percentage";NA;"%";"50";"observatie";100;FALSE;-0,285714285714286
"3";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 3";"3130";"Vegetatie";"sleutelsoorten";">= 3 sleutelsoorten (uitgezonderd Moerashertshooi) minstens frequent aanwezig";1;"b";1234;"425";425;"aantal sleutelsoorten excl. moerashertshooi";"3";">=";NA;"Geheel getal";NA;"Geheel getal";NA;NA;"1";"berekend";15;FALSE;-0,666666666666667
"4";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 3";"3130";"Verstoring";"eutrofiëring";"< 10%";1;"zb";1242;"757";757;"bedekking eutrofiëring";"10";"<=";"%";"Percentage";NA;"Percentage";NA;"%";"1";"observatie";100;TRUE;0,9
"5";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 3";"3130";"Verstoring";"invasieve exoten";"afwezig";1;"zb";1238;"869";869;"bedekking invasieve exoten";"0";"=";"%";"Percentage";NA;"Percentage";NA;"%";"0";"observatie";100;TRUE;0
"6";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 3";"3130";"Verstoring";"verzuring";"<= 30%";1;"zb";1239;"1836";1836;"bedekking verzuring";"30";"<=";"%";"Percentage";NA;"Percentage";NA;"%";"45";"observatie";100;FALSE;-0,214285714285714
"7";"AN_ARE_001_3130a_18";"3130_aom";"IV2018101005532264";"AN_ARE_001_3130a_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 3";"3130";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m<U+00B2>";1;"zb";1235;"2103";2103;"grootste vegetatievlek in m²";"10";">=";"m²";"Decimaal getal";NA;"Decimaal getal";NA;"m²";"15";"observatie";NA;TRUE;NA
"8";"AN_ARE_001_3130a_18";"3130_aom";"IV2018101005532264";"AN_ARE_001_3130a_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 3";"3130";"Structuur";"verticale structuur";"< 30% helofyten (uitgezonderd sleutelsoorten)";1;"zb";1243;"784";784;"bedekking helofyten";"30";"<";"%";"Percentage";NA;"Percentage";NA;"%";"1";"observatie";100;TRUE;0,966666666666667
"9";"AN_ARE_001_3130a_18";"3130_aom";"IV2018101005532264";"AN_ARE_001_3130a_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 3";"3130";"Vegetatie";"sleutelsoorten";">= 3 sleutelsoorten (uitgezonderd Moerashertshooi) minstens frequent aanwezig";1;"b";1234;"425";425;"aantal sleutelsoorten excl. moerashertshooi";"3";">=";NA;"Geheel getal";NA;"Geheel getal";NA;NA;"4";"berekend";15;TRUE;0,0833333333333333
"10";"AN_ARE_001_3130a_18";"3130_aom";"IV2018101005532264";"AN_ARE_001_3130a_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 3";"3130";"Verstoring";"eutrofiëring";"< 10%";1;"zb";1242;"757";757;"bedekking eutrofiëring";"10";"<=";"%";"Percentage";NA;"Percentage";NA;"%";"2";"observatie";100;TRUE;0,8
