"";"ID";"Habitattype";"Versie";"Kwaliteitsniveau";"Status";"Aggregatiemethode";"Index_min_min";"Index_min_harm";"Index_harm_harm"
"1";"AN_ABH_007_3130a_18";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-0,666666666666667;-0,471153846153846;-0,43746635564328
"2";"AN_ARE_001_3130a_18";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";0,0833333333333333;0,303714834704636;0,446020778980328
"3";"AN_ARE_001_3130n_18";"3130_na";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"4";"AN_BAS_001_3150_17";"3150";"Versie 3";1;FALSE;"RapportageHR";0;0,0909090909090908;0,197969543147208
"5";"AN_BEE_001_3130a_16";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"6";"AN_BEE_001_3130n_16";"3130_na";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"7";"AN_BEE_002_3130a_16";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-0,666666666666667;-0,4375;-0,427680798004988
"8";"AN_BGO_001_3130a_17";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"9";"AN_BGO_001_3130n_17";"3130_na";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"10";"AN_BGO_001_3150_17";"3150";"Versie 3";1;FALSE;"RapportageHR";0;0,127102803738318;0,241577991175707
"11";"AN_BGO_002_3130a_17";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-0,666666666666667;-0,442419825072887;-0,410883033709821
"12";"AN_BGO_002_3130n_17";"3130_na";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"13";"AN_BGO_002_3140_17";"3140";"Versie 3";1;FALSE;"RapportageHR";-0,285714285714286;0,260296540362438;-0,0682967959527826
"14";"AN_BGO_002_3160_17";"3160";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"15";"AN_BLA_001_3130a_17";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-0,666666666666667;-0,339276820400439;-0,290844169741963
"16";"AN_BLA_001_3130n_17";"3130_na";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"17";"AN_BOG_001_3130a_17";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"18";"AN_BOG_001_3130n_17";"3130_na";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"19";"AN_DEB_001_3130a_18";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"20";"AN_DES_004_3130a_16";"3130_aom";"Versie 3";1;TRUE;"RapportageHR";-0,333333333333333;-0,0526315789473683;-0,00263852242744034
"21";"AN_DES_004_3160_16";"3160";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"22";"AN_DVH_001_3130n_18";"3130_na";"Versie 3";1;TRUE;"RapportageHR";-1;-1;-1
"23";"AN_DVH_003_3130n_16";"3130_na";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"24";"AN_DVH_004_3130n_16";"3130_na";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"25";"AN_DVH_004_3140_16";"3140";"Versie 3";1;FALSE;"RapportageHR";-0,142857142857143;0,384615384615384;0
"26";"AN_DVH_005_3130a_18";"3130_aom";"Versie 3";1;TRUE;"RapportageHR";-0,333333333333333;-0,00139860139860115;0,117770630617561
"27";"AN_DVH_005_3130n_18";"3130_na";"Versie 3";1;TRUE;"RapportageHR";-1;-1;-1
"28";"AN_DVH_007_3130n_17";"3130_na";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"29";"AN_E10_001_3130a_18";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-0,666666666666667;-0,309043591411842;-0,273565213480309
"30";"AN_E10_001_3130n_18";"3130_na";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"31";"AN_E10_001_3140_18";"3140";"Versie 3";1;FALSE;"RapportageHR";0,2;1,23578947368421;0,692689655172414
"32";"AN_E10_002_3130a_18";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-0,333333333333333;-0,00407210183102191;0,116103094807088
"33";"AN_E10_002_3150_18";"3150";"Versie 3";1;FALSE;"RapportageHR";-0,5;-0,145850632540419;-0,08168550040886
"34";"AN_ENK_001_3160_18";"3160";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
"35";"AN_ENK_002_3130a_18";"3130_aom";"Versie 3";1;FALSE;"RapportageHR";-0,666666666666667;-0,461077844311378;-0,443954104148279
"36";"AN_ENK_002_3160_18";"3160";"Versie 3";1;FALSE;"RapportageHR";-1;-1;-1
