"";"ID";"Habitattype";"Versie";"Habitattype.y";"Criterium";"Indicator";"Beoordeling";"Belang";"Kwaliteitsniveau";"BeoordelingID";"Status_indicator";"Verschilscore"
"1";"AN_ABH_007_3130a_18";"3130_aom";"Versie 3";"3130";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m<U+00B2>";"zb";1;1235;TRUE;NA
"2";"AN_ABH_007_3130a_18";"3130_aom";"Versie 3";"3130";"Structuur";"verticale structuur";"< 30% helofyten (uitgezonderd sleutelsoorten)";"zb";1;1243;FALSE;-0,285714285714286
"3";"AN_ABH_007_3130a_18";"3130_aom";"Versie 3";"3130";"Vegetatie";"sleutelsoorten";">= 3 sleutelsoorten (uitgezonderd Moerashertshooi) minstens frequent aanwezig";"b";1;1234;FALSE;-0,666666666666667
"4";"AN_ABH_007_3130a_18";"3130_aom";"Versie 3";"3130";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1242;TRUE;0,9
"5";"AN_ABH_007_3130a_18";"3130_aom";"Versie 3";"3130";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1238;TRUE;0
"6";"AN_ABH_007_3130a_18";"3130_aom";"Versie 3";"3130";"Verstoring";"verzuring";"<= 30%";"zb";1;1239;FALSE;-0,214285714285714
"7";"AN_ARE_001_3130a_18";"3130_aom";"Versie 3";"3130";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m<U+00B2>";"zb";1;1235;TRUE;NA
"8";"AN_ARE_001_3130a_18";"3130_aom";"Versie 3";"3130";"Structuur";"verticale structuur";"< 30% helofyten (uitgezonderd sleutelsoorten)";"zb";1;1243;TRUE;0,966666666666667
"9";"AN_ARE_001_3130a_18";"3130_aom";"Versie 3";"3130";"Vegetatie";"sleutelsoorten";">= 3 sleutelsoorten (uitgezonderd Moerashertshooi) minstens frequent aanwezig";"b";1;1234;TRUE;0,0833333333333333
"10";"AN_ARE_001_3130a_18";"3130_aom";"Versie 3";"3130";"Verstoring";"eutrofiëring";"< 10%";"zb";1;1242;TRUE;0,8
"11";"AN_ARE_001_3130a_18";"3130_aom";"Versie 3";"3130";"Verstoring";"invasieve exoten";"afwezig";"zb";1;1238;FALSE;0,15
"12";"AN_ARE_001_3130a_18";"3130_aom";"Versie 3";"3130";"Verstoring";"verzuring";"<= 30%";"zb";1;1239;TRUE;0,983333333333333
