"";"ID";"Habitattype";"Observer";"VagueDateBegin";"Betrouwbaarheid";"Waterpeil";"Versie";"% begroeid met opgaande vegetatie";"aandeel isoëtiden > overige groeivormen";"aantal sleutelsoorten abundant";"aantal sleutelsoorten excl. moerashertshooi";"aantal sleutelsoorten frequent";"bedekking eutrofiëring";"bedekking helofyten";"bedekking invasieve exoten";"bedekking verzuring";"contact met 7110 of 7140_oli";"grootste vegetatievlek in m²";"kranswiervelden voor > = 50 % sleutelsoorten"
"1";"AN_ABH_007_3130a_18";"3130_aom";"Vincent Smeekens";"2018-09-24";"matig";"Droogstaand (groot deel)";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;FALSE;TRUE;FALSE;NA;TRUE;NA
"2";"AN_ARE_001_3130a_18";"3130_aom";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"hoog";"Normaal";"Versie 3";NA;NA;NA;TRUE;NA;TRUE;TRUE;FALSE;TRUE;NA;TRUE;NA
"3";"AN_ARE_001_3130n_18";"3130_na";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"hoog";"Normaal";"Versie 3";TRUE;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;NA;FALSE;NA
"4";"AN_BAS_001_3150_17";"3150";"Jo Packet";"2017-10-09";"hoog";"Normaal";"Versie 3";NA;NA;TRUE;NA;FALSE;TRUE;TRUE;TRUE;NA;NA;FALSE;NA
"5";"AN_BEE_001_3130a_16";"3130_aom";"Vincent Smeekens";"2016-10-20";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;FALSE;FALSE;FALSE;NA;FALSE;NA
"6";"AN_BEE_001_3130n_16";"3130_na";"Vincent Smeekens";"2016-10-20";"hoog";"Uitzonderlijk laag";"Versie 3";TRUE;NA;NA;NA;FALSE;FALSE;NA;FALSE;FALSE;NA;TRUE;NA
"7";"AN_BEE_002_3130a_16";"3130_aom";"Vincent Smeekens";"2016-09-21";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;FALSE;TRUE;FALSE;NA;TRUE;NA
"8";"AN_BGO_001_3130a_17";"3130_aom";"Vincent Smeekens";"2017-09-06";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;FALSE;TRUE;NA;FALSE;NA
"9";"AN_BGO_001_3130n_17";"3130_na";"Vincent Smeekens";"2017-09-06";"hoog";"Normaal";"Versie 3";FALSE;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;NA;FALSE;NA
"10";"AN_BGO_001_3150_17";"3150";"Vincent Smeekens";"2017-09-06";"hoog";"Normaal";"Versie 3";NA;NA;TRUE;NA;TRUE;TRUE;TRUE;FALSE;NA;NA;TRUE;NA
"11";"AN_BGO_002_3130a_17";"3130_aom";"Vincent Smeekens";"2017-09-06";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;FALSE;FALSE;TRUE;NA;FALSE;NA
"12";"AN_BGO_002_3130n_17";"3130_na";"Vincent Smeekens";"2017-09-06";"hoog";"Normaal";"Versie 3";TRUE;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;NA;FALSE;NA
"13";"AN_BGO_002_3140_17";"3140";"Vincent Smeekens";"2017-09-06";"hoog";"Normaal";"Versie 3";NA;NA;NA;NA;NA;TRUE;FALSE;FALSE;NA;NA;FALSE;TRUE
"14";"AN_BGO_002_3160_17";"3160";"Vincent Smeekens";"2017-09-06";"laag";"Normaal";"Versie 3";NA;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;TRUE;NA;NA
"15";"AN_BLA_001_3130a_17";"3130_aom";"Vincent Smeekens";"2017-07-14";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;FALSE;TRUE;NA;TRUE;NA
"16";"AN_BLA_001_3130n_17";"3130_na";"Vincent Smeekens";"2017-07-14";"hoog";"Normaal";"Versie 3";TRUE;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;NA;FALSE;NA
"17";"AN_BOG_001_3130a_17";"3130_aom";"Vincent Smeekens";"2017-09-28";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;TRUE;FALSE;TRUE;NA;FALSE;NA
"18";"AN_BOG_001_3130n_17";"3130_na";"Vincent Smeekens";"2017-09-28";"hoog";"Uitzonderlijk laag";"Versie 3";TRUE;NA;NA;NA;FALSE;FALSE;NA;FALSE;TRUE;NA;FALSE;NA
"19";"AN_DEB_001_3130a_18";"3130_aom";"Vincent Smeekens";"2018-09-25";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;FALSE;TRUE;NA;FALSE;NA
"20";"AN_DES_004_3130a_16";"3130_aom";"Vincent Smeekens & Kevin Scheers";"2016-09-15";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;TRUE;TRUE;NA;TRUE;NA
"21";"AN_DES_004_3160_16";"3160";"Vincent Smeekens & Kevin Scheers";"2016-09-15";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;FALSE;TRUE;NA;TRUE;TRUE;FALSE;NA;NA
"22";"AN_DVH_001_3130n_18";"3130_na";"Vincent Smeekens & Kevin Scheers";"2018-10-03";"hoog";"Uitzonderlijk laag";"Versie 3";TRUE;NA;NA;NA;FALSE;TRUE;NA;TRUE;TRUE;NA;TRUE;NA
"23";"AN_DVH_003_3130n_16";"3130_na";"Vincent Smeekens";"2016-09-21";"hoog";"Normaal";"Versie 3";FALSE;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;NA;TRUE;NA
"24";"AN_DVH_004_3130n_16";"3130_na";"Vincent Smeekens";"2016-08-23";"hoog";"Normaal";"Versie 3";FALSE;NA;NA;NA;FALSE;TRUE;NA;TRUE;TRUE;NA;TRUE;NA
"25";"AN_DVH_004_3140_16";"3140";"Vincent Smeekens";"2016-08-23";"hoog";"Normaal";"Versie 3";NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;NA;NA;TRUE;TRUE
"26";"AN_DVH_005_3130a_18";"3130_aom";"Vincent Smeekens & An Leyssen";"2018-07-26";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;TRUE;TRUE;NA;TRUE;NA
"27";"AN_DVH_005_3130n_18";"3130_na";"Vincent Smeekens & An Leyssen";"2018-07-26";"hoog";"Uitzonderlijk laag";"Versie 3";TRUE;NA;NA;NA;FALSE;TRUE;NA;TRUE;TRUE;NA;TRUE;NA
"28";"AN_DVH_007_3130n_17";"3130_na";"Vincent Smeekens";"2017-09-14";"hoog";"Uitzonderlijk laag";"Versie 3";TRUE;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;NA;FALSE;NA
"29";"AN_E10_001_3130a_18";"3130_aom";"Vincent Smeekens & Kevin Scheers";"2018-09-20";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;FALSE;TRUE;NA;FALSE;NA
"30";"AN_E10_001_3130n_18";"3130_na";"Vincent Smeekens & Kevin Scheers";"2018-09-20";"hoog";"Uitzonderlijk laag";"Versie 3";TRUE;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;NA;FALSE;NA
"31";"AN_E10_001_3140_18";"3140";"Vincent Smeekens & Kevin Scheers";"2018-09-20";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;NA;TRUE;TRUE;FALSE;NA;NA;FALSE;FALSE
"32";"AN_E10_002_3130a_18";"3130_aom";"Vincent Smeekens & Kevin Scheers";"2018-07-25";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;FALSE;TRUE;NA;FALSE;NA
"33";"AN_E10_002_3150_18";"3150";"Vincent Smeekens & Kevin Scheers";"2018-07-25";"hoog";"Normaal";"Versie 3";NA;NA;FALSE;NA;FALSE;TRUE;TRUE;FALSE;NA;NA;TRUE;NA
"34";"AN_ENK_001_3160_18";"3160";"Vincent Smeekens";"2018-08-24";"hoog";"Normaal";"Versie 3";NA;NA;NA;NA;FALSE;FALSE;NA;TRUE;TRUE;FALSE;NA;NA
"35";"AN_ENK_002_3130a_18";"3130_aom";"Vincent Smeekens";"2018-08-24";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;FALSE;TRUE;FALSE;NA;FALSE;NA
"36";"AN_ENK_002_3160_18";"3160";"Vincent Smeekens";"2018-08-24";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;FALSE;FALSE;NA;TRUE;TRUE;FALSE;NA;NA
"37";"AN_GIE_001_3130a_18";"3130_aom";"Vincent Smeekens & Kevin Scheers";"2018-09-28";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;TRUE;FALSE;TRUE;NA;FALSE;NA
"38";"AN_GIE_001_3130n_18";"3130_na";"Vincent Smeekens & Kevin Scheers";"2018-09-28";"hoog";"Uitzonderlijk laag";"Versie 3";TRUE;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;NA;FALSE;NA
"39";"AN_GKH_001_3130n_18";"3130_na";"Vincent Smeekens & Kevin Scheers";"2018-09-27";"hoog";"Uitzonderlijk laag";"Versie 3";TRUE;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;NA;FALSE;NA
"40";"AN_GRD_003_3130n_17";"3130_na";"Vincent Smeekens";"2017-09-06";"hoog";"Normaal";"Versie 3";TRUE;NA;NA;NA;FALSE;FALSE;NA;FALSE;TRUE;NA;TRUE;NA
"41";"AN_GRD_003_3140_17";"3140";"Vincent Smeekens";"2017-09-06";"hoog";"Normaal";"Versie 3";NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;NA;NA;FALSE;TRUE
"42";"AN_GSV_002_3130n_16";"3130_na";"Vincent Smeekens";"2016-09-30";"hoog";"Normaal";"Versie 3";FALSE;NA;NA;NA;FALSE;FALSE;NA;FALSE;TRUE;NA;FALSE;NA
"43";"AN_GSV_003_3130a_17";"3130_aom";"Vincent Smeekens";"2017-08-18";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;FALSE;TRUE;TRUE;NA;FALSE;NA
"44";"AN_GSV_004_3140_17";"3140";"Vincent Smeekens";"2017-08-18";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;NA;NA;FALSE;TRUE
"45";"AN_GSV_004_3150_17";"3150";"Vincent Smeekens";"2017-08-18";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;FALSE;NA;FALSE;TRUE;FALSE;TRUE;NA;NA;FALSE;NA
"46";"AN_GSV_005_3160_17";"3160";"Vincent Smeekens";"2017-09-29";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;FALSE;TRUE;NA;TRUE;TRUE;FALSE;NA;NA
"47";"AN_GSV_006_3160_17";"3160";"Vincent Smeekens";"2017-08-18";"hoog";"Droogstaand (groot deel)";"Versie 3";NA;NA;NA;NA;TRUE;FALSE;NA;TRUE;FALSE;FALSE;NA;NA
"48";"AN_HAZ_001_3140_14";"3140";"Jo Packet & Luc Denys";"2014-09-08";"hoog";"Normaal";"Versie 3";NA;NA;NA;NA;NA;FALSE;TRUE;FALSE;NA;NA;TRUE;TRUE
"49";"AN_KAL_003_3160_16";"3160";"Vincent Smeekens";"2016-09-20";"hoog";"Normaal";"Versie 3";NA;NA;NA;NA;FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA;NA
"50";"AN_KAL_004_3130a_16";"3130_aom";"Vincent Smeekens & Kevin Scheers";"2016-11-04";"matig";"Droogstaand (groot deel)";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;FALSE;TRUE;FALSE;NA;FALSE;NA
"51";"AN_KAL_006_3160_17";"3160";"Vincent Smeekens & Kevin Scheers";"2017-10-27";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;FALSE;FALSE;NA;TRUE;TRUE;FALSE;NA;NA
"52";"AN_KAL_007_3160_16";"3160";"Vincent Smeekens & Kevin Scheers";"2016-11-04";"hoog";"Normaal";"Versie 3";NA;NA;NA;NA;FALSE;FALSE;NA;TRUE;TRUE;FALSE;NA;NA
"53";"AN_KDN_001_3130a_16";"3130_aom";"Vincent Smeekens & Kevin Scheers";"2016-10-14";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;TRUE;NA;TRUE;FALSE;FALSE;TRUE;NA;TRUE;NA
"54";"AN_KDN_002_3130a_16";"3130_aom";"Vincent Smeekens";"2016-10-14";"hoog";NA;"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;TRUE;TRUE;NA;TRUE;NA
"55";"AN_KDN_002_3140_16";"3140";"Vincent Smeekens";"2016-10-14";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;NA;NA;FALSE;FALSE
"56";"AN_KDN_003_3130a_17";"3130_aom";"Vincent Smeekens";"2017-06-23";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;FALSE;TRUE;TRUE;NA;FALSE;NA
"57";"AN_KDN_003_3140_17";"3140";"Vincent Smeekens";"2017-06-23";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;NA;NA;TRUE;TRUE
"58";"AN_KSV_001_3160_18";"3160";"Vincent Smeekens";"2018-09-25";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;TRUE;TRUE;NA;TRUE;FALSE;TRUE;NA;NA
"59";"AN_KSV_004_3160_17";"3160";"Vincent Smeekens";"2017-10-10";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;FALSE;FALSE;NA;TRUE;TRUE;FALSE;NA;NA
"60";"AN_KSV_005_3160_17";"3160";"Vincent Smeekens";"2017-10-06";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;FALSE;FALSE;NA;TRUE;TRUE;FALSE;NA;NA
"61";"AN_KVD_003_3130a_17";"3130_aom";"Vincent Smeekens";"2017-09-15";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;FALSE;FALSE;TRUE;NA;FALSE;NA
"62";"AN_KVD_003_3160_17";"3160";"Vincent Smeekens";"2017-09-15";"hoog";"Normaal";"Versie 3";NA;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;FALSE;NA;NA
"63";"AN_LDL_001_3160_16";"3160";"Vincent Smeekens";"2016-09-08";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;TRUE;FALSE;NA;TRUE;FALSE;TRUE;NA;NA
"64";"AN_LDL_002_3130a_16";"3130_aom";"Vincent Smeekens & Kevin Scheers";"2016-09-15";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;FALSE;TRUE;TRUE;NA;TRUE;NA
"65";"AN_LDL_003_3160_16";"3160";"Vincent Smeekens";"2016-09-08";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA;NA
"66";"AN_LDL_004_3130a_18";"3130_aom";"Vincent Smeekens en Jonathan Verborgt";"2018-08-31";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;FALSE;TRUE;FALSE;NA;TRUE;NA
"67";"AN_LIL_001_3130a_16";"3130_aom";"Vincent Smeekens";"2016-10-13";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;FALSE;TRUE;TRUE;NA;TRUE;NA
